title,description,photographer,date original,date is approximate?,subject,latitude,longitude,source,holding institution,format original,type,format digital,digital publisher,identifier,digital identifier,rights,rightsstatement,date digital,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,,objectid
Idaho Football Player No. 94,#94 TE. Chris Slater sitting on a bench with his hand on his face out of frustration of tiredness.,,1985,y,sports; American football (sports); universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-366,PG52-366.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/13,13,280.jp2,/p17254coll3/image/280.jp2,,argonautphotos13
Playing the banjo,A student singing and playing the banjo.,Bruce L. Kessler,1985,y,banjos; music; musicians; students; singing,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-491,PG52-491.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/14,14,204.jp2,/p17254coll3/image/204.jp2,,argonautphotos14
The End of an Era,"Man speaking into microphone. Banner reads """"The End of An Era"""". Other sign reads """"Cougs Are #1. Go Swimmers""""",,1986-04-10,,speeches; presentations; sports; swimming,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-580,PG52-580.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/15,15,61.jp2,/p17254coll3/image/61.jp2,,argonautphotos15
Mark Hiske,Mark Hiske shooting a basketball. The physical photograph has been cut-out around the basketball.,,1985,y,sports; basketball; athletes,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-094,PG52-094.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/16,16,567.jp2,/p17254coll3/image/567.jp2,,argonautphotos16
Astronomy,Two men talking in a room with astronomy equipment.,,1984,y,equipment; astronomy,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-281,PG52-281.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/17,17,402.jp2,/p17254coll3/image/402.jp2,,argonautphotos17
Sitting by the fountain,Three students sitting by a fountain in front of the University Classroom Center (now the Teaching and Learning Center).,,1986,y,students; fountains; buildings; architecture,46.727368,-117.013327,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-189,PG52-189.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/18,18,84.jp2,/p17254coll3/image/84.jp2,,argonautphotos18
PIP (Postharvest Institute for Perishables) Group Photo [02],Postharvest Institute for Perishables group photo in front of the library.,,1985,y,agriculture; food preparation; academic libraries,46.727315,-117.014063,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-507,PG52-507.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/19,19,644.jp2,/p17254coll3/image/644.jp2,,argonautphotos19
Vandal basketball player Tom Stalick,Vandal basketball player Tom Stalick after shooting.,,1983,y,sports; basketball; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-047,PG52-047.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/20,20,17.jp2,/p17254coll3/image/17.jp2,,argonautphotos20
Vandals Women's Basketball game [02],Vandals Women's Basketball game.,,1985,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-129,PG52-129.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/21,21,46.jp2,/p17254coll3/image/46.jp2,,argonautphotos21
"Dan Akins, Forward [02]","Dan Akins, Forward",,1983,y,sports; basketball; athletes; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-107,PG52-107.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/22,22,132.jp2,/p17254coll3/image/132.jp2,,argonautphotos22
Coach vs. referee,An interaction between a basketball coach and referee during a game.,,1985,y,sports; basketball; coaches; referees,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-095,PG52-095.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/23,23,334.jp2,/p17254coll3/image/334.jp2,,argonautphotos23
Vandals Women's Basketball vs. Utah State University,Vandals Women's Basketball vs. Utah State University.,,1986,y,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-128,PG52-128.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/24,24,183.jp2,/p17254coll3/image/183.jp2,,argonautphotos24
A dispute between men's basketball coach Bill Trumbo and a referee,A dispute between men's basketball coach Bill Trumbo and a referee.,Scott Spiker,1983,,coaches; sports; basketball,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-043,PG52-043.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/25,25,161.jp2,/p17254coll3/image/161.jp2,,argonautphotos25
Susan Deskines vs. East Tennessee State Lady Buccaneers [02],Vandals Women's Basketball player Susan Deskines (22) vs. East Tennessee State Lady Buccaneers.,Gerry Snyder,1985-01,,sports; basketball; athletes; jerseys,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-145,PG52-145.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/26,26,607.jp2,/p17254coll3/image/607.jp2,,argonautphotos26
Robin Jordan,Robin Jordan,,1985,y,sports; volleyball; athletes; competitions; portraits,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-607,PG52-607.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/27,27,103.jp2,/p17254coll3/image/103.jp2,,argonautphotos27
Idaho Football Player No. 8,"Idaho football player, wearing jersey number 8, tackling opposing player with the football.",Randy Hayes,1983,y,sports; American football (sports); universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-350,PG52-350.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/28,28,666.jp2,/p17254coll3/image/666.jp2,,argonautphotos28
"Ron Whittenburg, Junior Wide Receiver","Portrait of Ron Whittenburg, junior wide receiver, wearing an IDAHO shirt.",,1985,y,sports; American football (sports); universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-395,PG52-395.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/29,29,604.jp2,/p17254coll3/image/604.jp2,,argonautphotos29
Looking through the microscope [01],A person looking through a microscope.,,1986,,science; microscopes; research,,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-655n,PG52-655n.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/30,30,366.jp2,/p17254coll3/image/366.jp2,,argonautphotos30
1985 Big Sky Conference Football Coaches Roster,"1985 Big Sky Conference Football Coaches. Lyle Setencich, Boise State. Dennis Erickson, University of Idaho. Jim Koetter, Idaho State. Larry Donovan, University of Montana. Dave Arnold, Montana State. Chris Ault, University of Nevada, Reno. Larry Kentera, Northern Arizona University. Mike Price, Weber State College.",,1985,,sports; American football (sports); universities (institution); coaches (people),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-424,PG52-424.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/31,31,228.jp2,/p17254coll3/image/228.jp2,,argonautphotos31
Video Editing Equipment [02],Woman operating video editing equipment.,,1983,y,equipment; videos; visuals; audio; universities (institution),,,"PG52, The Argonaut Photograph Collection","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",photograph,Image; StillImage,image/jpg,University of Idaho Library Digital Initiatives,PG52-258,PG52-258.jpg,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2019-01-28,eng,,,2019-01-29,2019-01-29,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/p17254coll3/id/32,32,267.jp2,/p17254coll3/image/267.jp2,,argonautphotos32
