title,description,creator,date,date is approximate?,scientific name,subject,subject (lcsh),subject (lctgm),location,location (lcsh),region,collection,source,identifier,digital identifier,rights,rightsstatement,format original,type,format,date digital,digitization specifications,scanner technician,metadata cataloger,metadata assistants,collection administrator,filename,latitude,longitude,oclc number,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
"County Courthouse Payette, 1967","Image of the Payette County Courthouse in Payette, Idaho.","Laughlin, Kyle (1905-1984)",1967,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,Idaho;Payette County;Payette,United States--Idaho--Payette County--Payette,Payette,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 854, Negative 99-854-002",99-854-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,44.078108,-116.930049,669842684,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1372,1372,1373.jpg,/spec_kl/image/1373.jpg,spec_kl1372
"County Courthouse Power, 1967","Image of the Power County Courthouse in American Falls, Idaho.","Laughlin, Kyle (1905-1984)",1967-09-21,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,Idaho;Power County,United States--Idaho--Power County,American Falls,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 853, Negative 99-853-003",99-853-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,42.783019,-112.849889,669843034,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1369,1369,1370.jpg,/spec_kl/image/1370.jpg,spec_kl1369
"County Courthouse Twin Falls, 1967","Image of the Twin Falls County Courthouse in Twin Falls, Idaho.","Laughlin, Kyle (1905-1984)",1967,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,Idaho;Twin Falls County;Twin Falls,United States--Idaho--Twin Falls County--Twin Falls,Twin Falls,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 859, Negative 99-859-004",99-859-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,42.559243,-114.465652,669843042,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1391,1391,1392.jpg,/spec_kl/image/1392.jpg,spec_kl1391
"County Courthouse Washington, 1967","Image of the Washington County Courthouse in Weiser, Idaho.","Laughlin, Kyle (1905-1984)",1967,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,Idaho;Washington County;Weiser,United States--Idaho--Washington County--Weiser,Weiser North,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 857, Negative 99-857-001",99-857-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,44.24664,-116.96605,669840544,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1382,1382,1383.jpg,/spec_kl/image/1383.jpg,spec_kl1382
"County Courthousem Teton, 1967","Image of the Teton County Courthouse in Driggs, Idaho.","Laughlin, Kyle (1905-1984)",1967,,,county courthouses,"Courthouses -- Idaho; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Courthouses--Idaho;,Idaho;Teton County;Driggs,United States--Idaho--Teton County--Driggs,Driggs,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 856, Negative 99-856-001",99-856-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4x5 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,43.723533,-111.110981,669842384,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1378,1378,1379.jpg,/spec_kl/image/1379.jpg,spec_kl1378
"Crocus, 1952 [1]",View of Crocus,"Laughlin, Kyle (1905-1984)",1952-03-31,,,flower (plant material),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-011-005",99-H-011-005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842574,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1178,1178,1179.jpg,/spec_kl/image/1179.jpg,spec_kl1178
"Crocus, 1952 [2]",View of Crocus,"Laughlin, Kyle (1905-1984)",1952-03-31,,,flower (plant material),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho;Latah County,United States--Idaho--Latah County,Moscow East,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-011-007",99-H-011-007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842624,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1179,1179,1180.jpg,/spec_kl/image/1180.jpg,spec_kl1179
"Dad Ward [?], 1939 [1]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs;desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-002",99-766-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842356,2009-05-26,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/951,951,904.jpg,/spec_kl/image/904.jpg,spec_kl951
"Dad Ward [?], 1939 [2]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs;desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-003",99-766-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842333,2009-05-26,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/952,952,905.jpg,/spec_kl/image/905.jpg,spec_kl952
"Dad Ward [?], 1939 [3]",Dad Ward [?] at office,"Laughlin, Kyle (1905-1984)",1939,,,office chairs;desks,"Laughlin, Kyle E., 1905-1984; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs; Idaho -- Social life and customs -- Pictorial works;",Interiors -- Offices; Office furniture; People;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 766, Negative 99-766-004",99-766-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins and Seth Williams,Deborah Green and Nathan Bender,,46.734481,-116.993797,669842999,2009-05-26,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/953,953,906.jpg,/spec_kl/image/906.jpg,spec_kl953
Dad Ward holding John and Helen Laughlin [1],"Dad Ward, John and Helen Laughlin","Laughlin, Kyle (1905-1984)",1932,y,,groups of people;chairs,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Children--Idaho;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 788, Negative 99-788-002",99-788-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734481,-116.993797,669842347,2009-10-14,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1225,1225,1226.jpg,/spec_kl/image/1226.jpg,spec_kl1225
Dad Ward holding John and Helen Laughlin [2],Dad Ward holding Helen and John Laughlin.,"Laughlin, Kyle (1905-1984)",1932,y,,groups of people;chairs,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Children--Idaho;,Idaho;Latah County;Moscow,United States--Idaho--Latah County--Moscow,East Moscow,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","MG99, Box 04, Sheet 788, Negative 99-788-004",99-788-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",Tisa Madson,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,46.734481,-116.993797,669842408,2009-10-14,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1226,1226,1227.jpg,/spec_kl/image/1227.jpg,spec_kl1226
"Dam used for flaming, 1959",Dam used for flaming,"Laughlin, Kyle (1905-1984)",1959-08,,,dams;trees,"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",,Idaho;Clearwater County,United States--Idaho--Clearwater County,Pot Mountain;Little Green Mountain,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-255, Slide 99-C-255-001",99-C-255-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,46.730621,-116.093559,669842307,2009-05-26,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/997,997,950.jpg,/spec_kl/image/950.jpg,spec_kl997
Dan Warren,Portrait of Dan Warren.,"Laughlin, Kyle (1905-1984)",1952,y,,groups of people,"Idaho -- Social life and customs -- Pictorial works; Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Adults--Idaho;,Idaho,United States--Idaho,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 04, Sheet 870, Negative 99-870-003",99-870-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negatives,Image;StillImage,image/jpeg,2009,"150 dpi, 8-bit grayscale (displayed); Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF.",,Deborah Green,"Kevin Dobbins, Seth Williams, Nathanael Caires",Deborah Green and Nathan Bender,,,,669842667,2009-12-02,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1420,1420,1421.jpg,/spec_kl/image/1421.jpg,spec_kl1420
"Denver (Colo.), 1961","View of Denver, Colorado","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado State Capitol (Denver, Colo.);",Cities & towns--Colorado;,Colorado;Denver County,United States--Colorado--Denver County,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-004",99-305-004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842344,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1116,1116,1117.jpg,/spec_kl/image/1117.jpg,spec_kl1116
"Denver (Colo.), Capital building, 1961 [1]","View of the capital building in Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",Capitals--Colorado--Denver;,Colorado;Denver County,United States--Colorado--Denver County,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-001",99-305-001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842642,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1113,1113,1114.jpg,/spec_kl/image/1114.jpg,spec_kl1113
"Denver (Colo.), Capital building, 1961 [2]","View of the capital building in Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",Capitals--Colorado--Denver;,Colorado;Denver County,United States--Colorado--Denver County,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-003",99-305-003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842998,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1115,1115,1116.jpg,/spec_kl/image/1116.jpg,spec_kl1115
"Denver (Colo.), Denver City and County building, 1961","View of the Denver City and County building, Denver, Colorado.","Laughlin, Kyle (1905-1984)",1961,,,buildings (structures),"Laughlin, Kyle E., 1905-1984; Colorado -- Capital and capitol; Colorado State Capitol (Denver, Colo.);",,Colorado;Denver County,United States--Colorado--Denver County,Denver,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG99, Box 03, Sheet 305, Negative 99-305-002",99-305-002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white film negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Seth Williams,Deborah Green,Seth Williams,Deborah Green and Nathan Bender,,39.739154,-104.984703,669842545,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1114,1114,1115.jpg,/spec_kl/image/1115.jpg,spec_kl1114
"Dog-Tooth Violet, 1952 [1]",View of Dog-Tooth Violet,"Laughlin, Kyle (1905-1984)",1952,,,flower (plant material),"Laughlin, Kyle E., 1905-1984; Northwest, Pacific -- Photographs;",Wildflowers--Idaho;,Idaho,United States--Idaho,,"Kyle Laughlin Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/Laughlin/","PG 99, Kyle Laughlin Photographs, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 099, Box 01, Sheet C-269, Slide 99-H-013-009",99-H-013-009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,120mm black and white negative,Image;StillImage,image/jpeg,2009,"150 dpi, 24-bit depth, color, Epson Expression 1640 XL Scanner, SilverFast v6.6.0r1. Jpg is digitaly enhanced in Adobe Photoshop 7.0. Archival Master file is a  1200 dpi 24-bit depth TIFF",Kevin Dobbins,Deborah Green,Kevin Dobbins,Deborah Green and Nathan Bender,,,,669842986,2009-06-23,2015-09-11,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_kl/id/1194,1194,1195.jpg,/spec_kl/image/1195.jpg,spec_kl1194
