title,description,creator,contributors,source,date,date is approximate,subject,location,latitude,longitude,identifier,rights,rightsstatement,type,format,format-original,language,file name,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Portrait of Lyle and Fay Packard,Lyle and Fay Packard were Wilma's parents. Lyle was born in Washington and Fay was born in Oregon.,,Wilma Daniels,,1947,yes,portraits; families; men; women,"Moscow, ID",46.725892,-116.988462,CH_DanielsW_019,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/10,10,19.jp2,/lcheritage/image/19.jp2,lcheritage10
Lyle Packard and his 8 horse team,"A picture of Lyle Packard with his 8 horse team. The back of the picture reads """"Here's my 8 horse team when I was plowing last fall. To Jack from Lyle.""""",,Wilma Daniels,,1928,yes,farming; horses; plows,"Genesee, ID",46.651938,-116.91762,CH_DanielsW_002,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-05-25,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/11,11,2.jp2,/lcheritage/image/2.jp2,lcheritage11
Lyle Packard with plow,Lyle Packard sits on his plow while being pulled by two horses. Tilled dirt can be seen in the foreground.,,Wilma Daniels,,1928,yes,farming; horses; plows,"Genesee, ID",46.651938,-116.91762,CH_DanielsW_003,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/12,12,3.jp2,/lcheritage/image/3.jp2,lcheritage12
Two men holding buckets of peaches,Jack Rogers with Lyle Packard each holding a bucket of fruit picked in the orchard.,,Wilma Daniels,,1928,yes,fruit picking; orchards,Wawawai,46.636191,-117.371278,CH_DanielsW_004,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/13,13,4.jp2,/lcheritage/image/4.jp2,lcheritage13
Family farmhouse,"The Packard family in front of their farmhouses; the house is no longer standing near the meat locker. Individuals named from left to right: Julia Packard (from WIsconsin), Lyle, Irma Packard (from Wisconsin), Wilma Packard, and Tippy the dog and her pups.",,Wilma Daniels,,1948,yes,houses; families; dogs; portraits,"Moscow, ID",46.749789,-117.00405,CH_DanielsW_006,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/14,14,5.jp2,/lcheritage/image/5.jp2,lcheritage14
Couple dressed in white standing in front of trees,"Lyle and Fay Packard at the Grange or American Legion in Moscow, Idaho.",,Wilma Daniels,,1943,yes,portait; families,"Moscow, ID",46.749789,-117.00404,CH_DanielsW_005,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/15,15,6.jp2,/lcheritage/image/6.jp2,lcheritage15
Cows on hill,Cows out on a hill looking toward Mrs. Guys house (north of Moscow),,Wilma Daniels,,1948,yes,farming; cows,"Moscow, ID",46.749789,-117.00407,CH_DanielsW_008,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/16,16,7.jp2,/lcheritage/image/7.jp2,lcheritage16
Wilma Packard with puppies,Wilma with TIppy the dog and her puppies in the yard.,,Wilma Daniels,,1948,yes,children; dogs; houses; farming,"Moscow, ID",46.749789,-117.00406,CH_DanielsW_007,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/17,17,8.jp2,/lcheritage/image/8.jp2,lcheritage17
Melton couple,Photograph of Bill and Minnie Melton who came from Montana with Wilma's family.,,Wilma Daniels,,1950,yes,houses; men; women,"Viola, ID",46.838358,-117.024447,CH_DanielsW_009,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/18,18,9.jp2,/lcheritage/image/9.jp2,lcheritage18
New treatment shop,New shop building construction around 1973,,City of Moscow,,1973-01-01,yes,construction; buildings; men; workers,"Moscow, ID",46.731431,-117.031461,063,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/19,19,100.jp2,/lcheritage/image/100.jp2,lcheritage19
New treatment shop,New shop building construction around 1973,,City of Moscow,,1973-01-01,yes,construction; buildings; men; workers,"Moscow, ID",46.731491,-117.031507,064,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/20,20,101.jp2,/lcheritage/image/101.jp2,lcheritage20
Sludge truck,Sludge Truck spreading liquid sludge on U of I farm fields (pre 1980),,City of Moscow,,1973-01-01,yes,automobiles; water; irrigation; workers,"Moscow, ID",46.728805,-117.031684,065,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/21,21,102.jp2,/lcheritage/image/102.jp2,lcheritage21
New treatment shop,New shop building construction around 1973,,City of Moscow,,1973-01-01,yes,constuction; men; workers; buildings,"Moscow, ID",46.731257,-117.031517,066,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/22,22,103.jp2,/lcheritage/image/103.jp2,lcheritage22
New treatment shop,New shop building construction around 1973,,City of Moscow,,1973-01-01,yes,constuction; men; workers; buildings,"Moscow, ID",46.73138,-117.031421,067,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/23,23,104.jp2,/lcheritage/image/104.jp2,lcheritage23
Primary digester,"Pre 1943 Primary Digester Front, Secondary Digester in the rear, with Floating Dome elevated with Methane gas.",,City of Moscow,,1941-01-01,yes,machinery; water; wastewater,"Moscow, ID",46.731528,-117.03109,068,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/24,24,105.jp2,/lcheritage/image/105.jp2,lcheritage24
Trickling filter,Pre 1948 Trickling Filter #2 towards the East showing Bioler room and Secondary Digester,,City of Moscow,,1945-01-01,yes,machinery; water; wastewater,"Moscow, ID",46.731446,-117.031059,069,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/25,25,106.jp2,/lcheritage/image/106.jp2,lcheritage25
Gravity thickener,Construction of Gravity Thickener,,City of Moscow,,1990-01-01,yes,machinery; water; wastewater,"Moscow, ID",46.731743,-117.030882,070,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/26,26,107.jp2,/lcheritage/image/107.jp2,lcheritage26
Flow diagram,Pre 1973 Overview flow diagram before Cl2 Contact Chamber.,,City of Moscow,,1972-01-01,yes,buildings; plans; water,"Moscow, ID",46.730925,-117.032457,071,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image;Stillimage,image/jpg,Photograph,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/27,27,108.jp2,/lcheritage/image/108.jp2,lcheritage27
Newspaper clipping,"Newspaper clipping, photo with caption: """"Plant workers at the Moscow wastewater treatment plant had a busy Monday�""""",,City of Moscow,,1961-01-01,yes,newspapers; buildings; wastewater,"Moscow, ID",46.731366,-117.03304,NP-Oops,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/28,28,20.jp2,/lcheritage/image/20.jp2,lcheritage28
Letters from Troy students,"Letters from Troy 5th and 6th graders sent in 1971 to Mr. Crooks & Mr. Brown, thank yous for class field trip",,City of Moscow,,1971-09-24,,mail; teachers; children; correspondence,"Moscow, ID",46.731661,-117.031475,Student Letters,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Letters,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/29,29,21.pdf,/lcheritage/image/21.pdf,lcheritage29
Moscow Water Treatment Plant Layouts,"Four page document showing the Moscow Wastewater Treatment Plant Layouts for 1919, 1975, 1958, 1939",,City of Moscow,,1988-10-18,,buildings; plans; water,"Moscow, ID",46.731381,-117.031494,AsConstructed,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/30,30,22.pdf,/lcheritage/image/22.pdf,lcheritage30
Newspaper clipping,"Newspaper clipping, titled """"City's Modern Sewage Plant Can Be Complete With Final Phase Started"""", bottom half",,City of Moscow,,1961-08-05,no,newspapers; buildings; wastewater,"Moscow, ID",46.730508,-117.032206,NP2-Modern,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/31,31,23.jp2,/lcheritage/image/23.jp2,lcheritage31
Sewage Treatment Plant records,"Sewage treatment plant records, average by month 1942-1950, part I",,City of Moscow,,1940-01-01,yes,municipal records; water treatment; work,"Moscow, ID",46.731549,-117.030764,Average1,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Record,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/32,32,24.pdf,/lcheritage/image/24.pdf,lcheritage32
Envelope with letters,Envelope containg letters from 6th grade class field trippers to Mr. Crooks & Mr. Brown,,City of Moscow,,1971-09-27,,mail; teachers; children; correspondence,"Moscow, ID",46.731649,-117.031579,Envelope,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Postage,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/33,33,25.jp2,/lcheritage/image/25.jp2,lcheritage33
Sewage Treatment Plant records,"Sewage treatment plant records, average by month 1942-1950, part II",,City of Moscow,,1940-01-01,yes,municipal records; water treatment; work,"Moscow, ID",46.731427,-117.030782,Average2,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Record,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/34,34,26.pdf,/lcheritage/image/26.pdf,lcheritage34
Newspaper article,"Full page newspaper article from the Idahonian, April 22, 1970, """"Water Treatment Plant Serves Moscow"""". Part 2",,City of Moscow,,1970-04-22,,newspapers; water treatment; community,"Moscow, ID",46.731052,-117.032511,Wastewater2,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/35,35,27.jp2,/lcheritage/image/27.jp2,lcheritage35
Sewage Treatment Plant history,"Plant History, with sections on Sewage Treatment, Equipment Specifications, Personnel & Training, Equipment, General Operation",,City of Moscow,,1980-01-01,yes,water treatment; working conditions; buildings,"Moscow, ID",46.731369,-117.03149,PlantHistory,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Document,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/36,36,28.pdf,/lcheritage/image/28.pdf,lcheritage36
Specifications for Sewage Disposal Plant,"Specifications for Sewage Disposal Plant, Feb 1918, by consulting engineer, Philip H. Dater. Note: Unable to scan second page of Bidding Blank and Engineer's Estimate near end of doc, pages stuck together",,City of Moscow,,1918-02-01,,water treatment; working conditions; buildings,"Moscow, ID",46.731547,-117.031285,Specifications,"No Known Copyright. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,text,application/pdf,Document,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/37,37,29.pdf,/lcheritage/image/29.pdf,lcheritage37
Letters from H.D.J. Smith,"Letter from HDJ Smith, City Engineer, to Mayor and City Council, on construction of a new sewer line, dated Feb 23, 1933",,City of Moscow,,1933-02-23,,university of idaho; sewers; wastewater treatment; reports,"Moscow, ID",46.731586,-117.031467,EngineerLetter,"No Known Copyright. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,text,application/pdf,Letters,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/38,38,30.pdf,/lcheritage/image/30.pdf,lcheritage38
"Pipe proposal from Washington Brick, Lime, & Sewer Pipe Company","Washington Brick, Lime & Sewer Pipe Co.'s proposal to the City of Moscow for quantities and sizes of sewer pipe, dated Apr. 28, 1919",,City of Moscow,,1919-04-28,,sewers; wastewater; projects; work; construction,"Moscow, ID",46.731178,-117.031344,WashingtonBrick,"No Known Copyright. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,text,application/pdf,Document,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/39,39,31.pdf,/lcheritage/image/31.pdf,lcheritage39
Notarized proposal,Notarized proposal approving construction of sewage line no. 3,,City of Moscow,,1915-01-06,,sewers; wastewater; projects; work; construction,"Moscow, ID",46.731353,-117.034041,Proposal,"No Known Copyright. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,text,application/pdf,Document,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/40,40,32.pdf,/lcheritage/image/32.pdf,lcheritage40
Pricing quote on additonal work,"Quote from Witter-Fisher Co., Inc. Plumbing & Heating, regarding extra work on No. 3",,City of Moscow,,1915-01-18,,sewers; wastewater; projects; work; construction,"Moscow, ID",46.73162,-117.030934,Witter-Fisher,"No Known Copyright. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,text,application/pdf,Document,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/41,41,33.pdf,/lcheritage/image/33.pdf,lcheritage41
Orrin Crooks nominated for Idaho Operator of the Year,"Presentation of Orrin Crooks, in nomination for Idaho Operater of the Year Award, 1968",,City of Moscow,,1968-01-01,yes,workers; municipal employees; water; public service,"Moscow, ID",46.731691,-117.031669,OrrinCrooks,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,application/pdf,Documents,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/42,42,34.pdf,/lcheritage/image/34.pdf,lcheritage42
Newspaper clipping,"Newspaper clipping, titled """"City's Modern Sewage Plant Can Be Complete With Final Phase Started"""", top half",,City of Moscow,,1961-08-05,no,newspapers; buildings; wastewater,"Moscow, ID",46.730627,-117.03235,NP1-Modern,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/43,43,35.jp2,/lcheritage/image/35.jp2,lcheritage43
Newspaper article,"Full page newspaper article from the Idahonian, April 22, 1970, """"Water Treatment Plant Serves Moscow"""". Part 1",,City of Moscow,,1970-04-22,,newspapers; water treatment; community,"Moscow, ID",46.731063,-117.033008,Wastewater1,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/44,44,36.jp2,/lcheritage/image/36.jp2,lcheritage44
Newspaper Article,"Full page newspaper article from the Idahonian, April 22, 1970, """"Water Treatment Plant Serves Moscow"""". Part 3",,City of Moscow,,1970-04-22,,newspapers; water treatment; community,"Moscow, ID",46.731278,-117.032516,Wastewater3,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,image/jpg,Newspaper,eng,,,2017-03-10,2017-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lcheritage/id/45,45,37.jp2,/lcheritage/image/37.jp2,lcheritage45
