title,description,creator,recipient,date,date-is-approximate?,item-information,subject,related-publication,publisher-digital,source,original-identifier,identifier,rights,rightsstatement,type,format,language,relation,reference-url,cdmid,contentdm-file-name,contentdm-file-path,objectid
The Living Among The Dead,"Typescript of an article discussing the nature of the infallibility of all orthodox religions. Robinson argues if they all claim to be right, then they may all be false. Robinson uses a biblical quote--'Why seek ye the living among the dead?'--to claim these religions believe in 'dead gods,' particularly those that are crucified.","Robinson, Frank B.",,1939-03-15,,multiple-page; typescripts,Crucified God; Bible Criticism; Criticizing Orthodox Reilgions,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/10,10,108.pdf,/psychiana/image/108.pdf,psychiana10
Surrounded by God,"Typescript of an article begins with the example of goldfish swimming in water, which allows them to live. Robinson uses this as a metaphor for the Spirit of God around us and goes on to explain how this power works on earth.","Robinson, Frank B.",,1939-04-12,,multiple-page; typescripts,Spirit of God; God on Earth,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_015,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/11,11,109.pdf,/psychiana/image/109.pdf,psychiana11
"The Pioneer, Chapter 1","The title for this 20 page typescript is taken from the first sentence in which Robinson states that man has a desire to pioneer into the unknowable Realm of God. It is a restatement of his belief in the God-Power, comparing contacting the 'Power' to the use of electricity in the home: flip the switch and it's there. This typescript also contains a reference to the Spirit of God as the 'Flame'","Robinson, Frank B.",,1937,yes,multiple-page; chapters,Spirit of God; God-Power,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 17",MG101_b5_f17_a,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/12,12,11.pdf,/psychiana/image/11.pdf,psychiana12
Getting Used to God,"Typescript of an article discussing the difference, according to Robinson, between recognizing the Spirit of God and the ability to use it in order to draw on its power. Robinson then digresses, admittedly, to claim that Psychiana grows as it refutes other religions' doctrines that believers live apart from God.' [1 of 49 lead articles apparently written for publication in Psychiana Weekly]","Robinson, Frank B.",,1939-04-19,,multiple-page; typescripts,Spirit of God; Psychiana Growth; Criticizing Orthodox Reilgions,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_016,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/13,13,110.pdf,/psychiana/image/110.pdf,psychiana13
The Secret,"Typescript of an article begins with Robinson reporting criticisms of Psychiana, and refutes the validity of other religions based on the grounds of the 'crucified god' or dead god, as he calls it. Robinson uses a quote from Henry Ward Beecher, a minister, about connecting with the Spirit of God, as Psychiana teaches.","Robinson, Frank B.",,1939-04-26,,multiple-page; typescripts,Crucified God; Henry Ward Beecher; Spirit of God,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_017,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/14,14,111.pdf,/psychiana/image/111.pdf,psychiana14
The Urge of the New,"Typescript of an article in which Robinson details his prophesy of a time when no churches will exist in the world, but the world will be more 'Godly' than ever. Robinson calls this the Day of God and discusses what this day will be like.","Robinson, Frank B.",,1939-05-03,,multiple-page; typescripts,Day of God; Church in Decline; Psychiana Prophecies,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_018,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/15,15,112.pdf,/psychiana/image/112.pdf,psychiana15
In the Public Interest,Typescript of an article discussing the resistance churches and orthodox religions will have to the teachings of Psychiana. Robinson regards Psychiana as his 'great responsibility' and expresses his fear that the 'world of religion' will oppose him in his teachings.,"Robinson, Frank B.",,1939-07-20,,multiple-page; typescripts,Religious Resistance; Psychiana Criticism; God-Power,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/16,16,113.pdf,/psychiana/image/113.pdf,psychiana16
Keep Your Eyes Open,Typescript of an article responding to three other articles reporting on a reformation within the Catholic Church in America. Robinson uses these articles to discuss falsities he finds in Catholicism and accuses it of being 'the greatest system of  paganism and idolatry in the world today.',"Robinson, Frank B.",,1939-08-10,,multiple-page; typescripts,Catholicism; Crucified God; Jesus Christ; Paganism; Idolatry,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_020,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/17,17,114.pdf,/psychiana/image/114.pdf,psychiana17
Losing Ones Faith,"Typescript of an article beginning with a quote from a woman who's husband has read many Psychiana lessons, but abandons them as they conflict with his Catholic faith. Robinson uses this to prompt a discussion in which he defines Psychiana as not a 'faith' but an 'experience.'","Robinson, Frank B.",,1939-08-10,,multiple-page; typescripts,Losing Faith; Psychiana Lessons; Catholicism,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_021,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/18,18,115.pdf,/psychiana/image/115.pdf,psychiana18
Wise Virgins,"Typescript of an and article beginning with Robinson's prophecy that 1940 is going to be a calamitous and bloody year. He also asserts that people must be thinking more about the Spirit of God in the face of such calamity, and goes on to explain the steps to become a Psychiana member.","Robinson, Frank B.",,1939-08-17,,multiple-page; typescripts,World War; Psychiana Membership; Spirit of God; Psychiana Prophecies,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_022,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/19,19,116.pdf,/psychiana/image/116.pdf,psychiana19
Practical Power,"Typescript of an article begins with a letter from a Baptist minister inquiring the difference between God in orthodox religion and God in Psychiana. Robinson responds with a discussion of the importance of how one preaches about God, rather than any difference between Gods. Robinson emphasizes how he preaches about God as a 'living spirit' on earth.","Robinson, Frank B.",,1939-08-17,,multiple-page; typescripts,Crucified God; God on Earth; Preaching,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_023,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/20,20,117.pdf,/psychiana/image/117.pdf,psychiana20
Cessat Superstition,"Typescript of an article beginning with Robinson discussing resistance from other religions, in the form of signs, during his convention in Los Angeles. Robinson equates this 'madness' with Hitler and Stalin, and uses this as an example of the necessity of Psychiana to save the population.","Robinson, Frank B.",,1939-03-22,,multiple-page; typescripts,World War II; Los Angeles; Religious Resistance,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/21,21,118.pdf,/psychiana/image/118.pdf,psychiana21
Good News,"Typescript of an article begins with a report that Psychiana headquarters continues to receive testimonials, but reminds followers that the battle with orthodox religion continues. Robinson discusses tools against orthodox religious systems, including public opinion.","Robinson, Frank B.",,1939-08-24,,multiple-page; typescripts,Testimonials; Psychiana Growth; Criticizing Orthodox Reilgions,Psychiana Weekly,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","MG 101, Frank Bruce Robinson. Papers, 1929-1951, University of Idaho Library Special Collections and Archives, http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana","MG-101, Box 5, Folder 40",MG101_B5_F40_024,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,application/pdf,eng,http://archiveswest.orbiscascade.org/ark:/80444/xv97133/op=fstyle.aspx?t=k&q=psychiana,http://digital.lib.uidaho.edu:80/cdm/ref/collection/psychiana/id/22,22,119.pdf,/psychiana/image/119.pdf,psychiana22
