file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,standardized-rights,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid
,Lake Chatcolet Shelter,,Exterior view of Lake Chatcolet Shelter at Heyburn State Park.,1935,y,SP-1,C-1995,state parks; shelters (single built works); lakes (bodies of water),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_008,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/25,25,32.jpg,/cccidaho/image/32.jpg,cccidaho25
,Class of CCC Men,,Several CCC men sit around a table reading while attending a class at Camp Heyburn.,1935,y,SP-1,C-1995,group portraits; adult education; reading,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_009,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/26,26,33.jpg,/cccidaho/image/33.jpg,cccidaho26
,Heyburn State Park Entrance Sign,,The rear view of the Heyburn State Park entrance sign. The sign reads 'Leaving Heyburn State Park'. A man is seated on the sign and there is also some graffiti reading 'C. Hill'.,1935,,SP-1,C-1995,identification signs; state parks; portraits; graffiti,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_010,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/27,27,34.jpg,/cccidaho/image/34.jpg,cccidaho27
,Mess Hall,,A view of the mess hall at Camp Heyburn.,1935,y,SP-1,C-1995,lunchrooms,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_011,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/28,28,35.jpg,/cccidaho/image/35.jpg,cccidaho28
,Lodge Construction,,Lodge under construction at Heyburn State Park.,1935,y,SP-1,C-1995,construction (assembly); winter; snow; state parks; lodges (public accommodations),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_012,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/29,29,36.jpg,/cccidaho/image/36.jpg,cccidaho29
,Lodge Construction,,Lodge under construction at Heyburn State Park.  A man poses on the roof.,1935,y,SP-1,C-1995,construction (assembly); winter; snow; state parks; lodges (public accommodations),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_013,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/30,30,37.jpg,/cccidaho/image/37.jpg,cccidaho30
,Lodge Construction,,Lodge under contruction at Heyburn State Park. Men pose on top the structure.,1935,y,SP-1,C-1995,construction (assembly); state parks; portraits; construction workers; lodges (public accommodations),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_015,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/31,31,38.jpg,/cccidaho/image/38.jpg,cccidaho31
,Lodge Construction,,Lodge under contruction at Heyburn State Park.,1935,y,SP-1,C-1995,construction (assembly); winter; snow; state parks; lodges (public accommodations),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_016,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/32,32,39.jpg,/cccidaho/image/39.jpg,cccidaho32
,Camp Deep Creek,United States Forest Service,"A view of flagpole, tents, and buildings at Camp Deep Creek. A young man stands in the foreground. Note tents have changed and become more permanent.",1935,y,F-45,C-952,tents (portable buildings); forests (plant communities); flagpoles; aerial views; barracks,Bitterroot National Forest,"Deep Creek, Idaho; darby, montana; Bitterroot National Forest",45.7204,-114.5121,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,BitterrootNF_004,Image;StillImage,Bitterroot National Forest,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/33,33,4.jpg,/cccidaho/image/4.jpg,cccidaho33
,CCC Company 1995,,Group picture of the CCC Company stationed at Camp Heyburn.,1935,y,SP-1,C-1995,group portraits,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_014,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/34,34,40.jpg,/cccidaho/image/40.jpg,cccidaho34
,Lodge Construction,,Lodge under contruction at Heyburn State Park. Men assembling the roof.,1935,y,SP-1,C-1995,construction (assembly); state parks; construction workers; group portraits; lodges (public accommodations),Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_017,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/35,35,41.jpg,/cccidaho/image/41.jpg,cccidaho35
,Completed Lodge,,Exterior view of the completed lodge at Heyburn State Park.,1935,y,SP-1,C-1995,lodges (public accommodations); state parks,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_018,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/36,36,42.jpg,/cccidaho/image/42.jpg,cccidaho36
,Mess Hall,,A view of the mess hall at Camp Heyburn.,1935,y,SP-1,C-1995,lunchrooms,Heyburn State Park,Heyburn State Park; Lake Chatcolet,47.3611,-116.761,newspaper clipping,Idaho Civilian Conservation Corps,image/jpeg,HeyburnStatePark_019,Image;StillImage,Heyburn State Park,eng,"In Copyright - Educational Use Permitted. For more information, please contact University of Idaho Library Special Collections and Archives at libspec@uidaho.edu.",http://rightsstatements.org/vocab/NKC/1.0/,,2014-12-02,2014-12-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/37,37,43.jpg,/cccidaho/image/43.jpg,cccidaho37
