object-id,title,catalog-number,source,description,site-location,site-date,subjects,functional-category,material,vessel-form,artifact-dimensions,pigment-application,decoration-type,exterior-decoration-method,exterior-decoration-color,exterior-decoration-elements,interior-decoration-method,interior-decoration-color,interior-decoration-elements,marks,manufacture-origin,manufacture-range,publisher,rights,standardized-rights,preferred-image-citation,identifier,metadata-creator,format,type,cdm-number,compound-numbers,timeline-era
hjccc-141,Doban Yin-Yo Gohan Jawan (rice/soup bowl with transferprint yin-yang),45SN398B/2007/223,"Burke Museum of Natural History and Culture, US Air Force Collection","The size and shape of this vessel fragment indicate that is likely from a gohan chawan. The interior is undecorated, but the exterior contains images of yin-yang elements in transferprint cobalt blue and green.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Doban or Doban Tensha (transferprinted);Cobalt blue;Green;Yin-Yo (yin-yang),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim= 12 cm; height= 7 cm,Shita-Etsuke (underglaze),Other,Doban or Doban Tensha (transferprinted),Cobalt blue; Green,Yin-Yo (yin-yang),,,,,Japan,Meiji era (1868-1912) through Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/223, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-223_1of1,Renae Campbell,image/jpg,Image;StillImage,141,,Late Meiji (1895-1912);Taisho (1912-1926);Showa (1926-1989)
hjccc-14,Doban Chawan (transferprint bowl),45SN398B/2007/224,"Burke Museum of Natural History and Culture, US Air Force Collection","Base and footring of a rice or side bowl. Decoration is an abstract botanical design with blue trellis-like shapes, leaves, and brown flowers. The Kikusui export mark has been identified at sites throughout the West that were occupied between approximately 1900 and 1945 (Burton 2005:96; Costello et al. 2001:33-34; Costello and Maniery 1988:27,83; Ross 2012:25-26).  Research by Bibb (2007:5) suggests that this mark may have been applied to Japanese ceramics as early as 1902 in accordance with British import laws, although the US customs did not require the ""Japan"" mark until 1921.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Chawan (indeterminate bowl);Shita-Etsuke (underglaze);Iro Doban (colored transferprint);Doban or Doban Tensha (transferprinted);Cobalt blue,Mealtime Tableware,Jiki (porcelain),Chawan (indeterminate bowl),Footring= 4.5 cm,Shita-Etsuke (underglaze),Iro Doban (colored transferprint),Doban or Doban Tensha (transferprinted),Cobalt blue,Indeterminate,,,,"Transferprint mark on base: 'TRADEMARK/[Kikusui, or chrysanthemum on water ]/MADE IN/JAPAN'",Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/224, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-224,Renae Campbell,image/jpg,Image;StillImage,14,,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-20,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [1],45SN398B/2007/226,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel is a near-complete, deep bowl with an inverted rim that may have been intended as a soup bowl. A hand-painted design that resembles the lien-tzu, or lotus seedpod, motif commonly found on Chinese ceramics covers the exterior of the bowl and a partial mark appears on the base.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 10.75 cm; footring= 4.8 cm; height= 7 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band; Indeterminate,,,,"A hand-painted, incomplete base mark reads  Arashi-yama (嵐山).  Arashiyama is the name of a district, located on the outskirts of western Kyoto, and is also the name of a nearby mountain.  Although several kilns were historically located in Arashiyama, neither is known to have produced pottery with this mark.  Morse (1901:253) mentions several stonewares bearing the Arashiyama mark but notes that no information is available about the maker or kiln and speculates that these wares may have been made elsewhere and only sold at Arashiyama. The meaning and the provenience of this mark remain unknown.  ",Japan,Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/226, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-226,Renae Campbell,image/jpg,Image;StillImage,20,18;19,
hjccc-23,Sometsuke Doban Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt transferprint three friends design),45SN398B/2007/228.1,"Burke Museum of Natural History and Culture, US Air Force Collection","These five sherds mend, forming what is likely a small rice bowl. The vessel's decoration consists of pine (matsu) elements inside the petals of a plum (ume) blossom with bamboo (take) in the background. The vessel also has flattened facets around the footring. Pine, plum, and bamboo (Sho Chiku Bai) are a very common motif in Chinese and Japanese ceramics.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Sho Chiku Bai (three friends),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 10.5 cm; footring= 4.5 cm; height= 4.8 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Sho Chiku Bai (three friends),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/228.1, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-228.1,Renae Campbell,image/jpg,Image;StillImage,23,21;22,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-26,Sometsuke Gohan Jawan (hand-painted cobalt rice/soup bowl) [2],45SN398B/2007/229A,"Burke Museum of Natural History and Culture, US Air Force Collection","This near-complete gohan chawan is decorated with a hand-painted abstract design and three senbori (incised lines/bands). The base of the vessel has a tokin kodai or 'helmet foot' that is characterized by the raised cone in the center of this footring (Simpson et al. 2014:54, 60).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted); Choka (carving);Cobalt blue;Incised band,Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 10.5 cm; footring= 4 cm; height= 5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted); Choka (carving),Cobalt blue,Senbori (incised lines/bands); Indeterminate,,,,"This hand-painted base mark is likely a stylized signature; it resembles a three-petaled flower with a 'L'-shaped stem","Possibly the Seto or Mino region, Japan",Minimalistic hand-painted sometsuke was increasingly popular during the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/229A, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-229A,Renae Campbell,image/jpg,Image;StillImage,26,24;25,Taisho (1912-1926);Showa (1926-1989)
hjccc-30,Sometsuke Botan Doban Mamezara (sauce dish with cobalt transferprint peony),45SN398B/2007/232 and 45SN398B/2007/279,"Burke Museum of Natural History and Culture, US Air Force Collection","Mamezara are very small dishes traditionally used for condiments or sweets (Walter 2012:128). These mending sherds have slightly everted rims and a greyish-white paste, grainy with temper, which may be hanjiki (half porcelain) (Crueger et al. 2006:284).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Hanjiki (half porcelain);Mamezara (sauce dish);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Botan (peony),Mealtime Tableware,Hanjiki (half porcelain),Mamezara (sauce dish),Rim= 7.2 cm; footring= 2.6 cm; height= 2 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Botan (peony),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog nos. 45SN398B/2007/232 and 45SN398B/2007/279, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-232 and 45SN398B-2007-279,Renae Campbell,image/jpg,Image;StillImage,30,27;28;29,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-33,Sometsuke Jawan No Futa (hand-painted cobalt bowl lid),45SN398B/2007/234J,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel has a shallow shape and an elongated footring. The size, shape, and decorative placement indicate that it is most likely a futa for a rice or soup bowl. The abstracted elements encircling the footring may be fish or seigaiha (blue sea waves).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Futa (lid);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band,Mealtime Tableware,Jiki (porcelain),Futa (lid),Rim~ 9.5 cm; footring= 4 cm; height= 3 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band; Indeterminate,,,,,Japan,Minimalistic hand-painted sometsuke was increasingly popular during the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234J, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-234J,Renae Campbell,image/jpg,Image;StillImage,33,31;32,Taisho (1912-1926);Showa (1926-1989)
hjccc-13,Sometsuke (hand-painted cobalt) Vessel [2],45SN398B/2007/234P,"Burke Museum of Natural History and Culture, US Air Force Collection",This base fragment is from a small vessel with thin walls that may be a tea or sake cup but that is too incomplete to definitively identify.,"Near Mukilteo, Washington",1903-1928,Indeterminate Tableware;Jiki (porcelain);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring~ 4.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band; Indeterminate,,,,"Partial hand-painted base mark with only one complete character, which may be gi (祇)",Japan,Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234P, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-234P,Renae Campbell,image/jpg,Image;StillImage,13,,
hjccc-17,Sometsuke (hand-painted cobalt) Vessel [1],45SN398B/2007/234Q,"Burke Museum of Natural History and Culture, US Air Force Collection","This sherd is possibly from a small bowl, teacup, or sake cup. The decoration present consists of bands around the footring and linear elements that may be matsu (pine) needles, which are a common symbol of strength, fidelity, prosperity, and, when depicted as needle pairs, of unfailing devotion. Depictions of pine can be highly stylized (Gorham 1971:209-210; Ross 2012:20).","Near Mukilteo, Washington",1903-1928,Indeterminate Tableware;Jiki (porcelain);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Matsu (pine);Horizontal band,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring= 4 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Matsu (pine); Horizontal band; Indeterminate,,,,Hand-painted base mark is too stylized to translate,"Possibly the Seto or Mino region, Japan",Minimalistic hand-painted sometsuke was increasingly popular during the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234Q, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-234Q,Renae Campbell,image/jpg,Image;StillImage,17,,Taisho (1912-1926);Showa (1926-1989)
hjccc-36,Sometsuke (hand-painted cobalt) Cup,45SN398B/2007/234R,"Burke Museum of Natural History and Culture, US Air Force Collection","Vessel height and rim diameter could not be determined for this small sherd, but the footring size and wall shape suggest a cup. The hand-painted decoration is too incomplete to identify elements; a partial mark appears on the base.","Near Mukilteo, Washington",1903-1928,Indeterminate Tableware;Jiki (porcelain);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band,Indeterminate Tableware,Jiki (porcelain),Unknown,Footring= 3.4 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band,,,,"Hand-painted base mark that is too stylized to translate fully, but the second character is likely kaze or fu (wind).","Possibly the Seto or Mino region, Japan",Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/234R, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-234R,Renae Campbell,image/jpg,Image;StillImage,36,34;35,
hjccc-39,Sumi Hajiki Kaede Kozara (small dish with ink resist maple leaves ),45SN398B/2007/236,"Burke Museum of Natural History and Culture, US Air Force Collection",The veins in the maple leaves on this kozara sherd were created using a sumi hajiki (ink resist) technique that allows the white porcelain to show through the blue and pink pigment. The base of this dish has a tokin kodai or 'helmet foot' with a raised cone in the center of its footring (Simpson et al. 2014:54).,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Kozara (small dish);Shita-Etsuke (underglaze);Etsuke (hand painted);Cobalt blue;Horizontal band;Sumi Hajiki (ink resist);Cobalt blue;Pink;Kaede (maple),Mealtime Tableware,Jiki (porcelain),Kozara (small dish),Rim~ 12 cm; footring~ 6.5 cm; height= 2.5 cm,Shita-Etsuke (underglaze),Other,Etsuke (hand painted),Cobalt blue,Horizontal band,Sumi Hajiki (ink resist),Cobalt blue; Pink,Kaede (maple),,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/236, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-236,Renae Campbell,image/jpg,Image;StillImage,39,37;38,Late Meiji (1895-1912);Taisho (1912-1926);Showa (1926-1989)
hjccc-42,Dobin No Futa (teapot lid),45SN398B/2007/254,"Burke Museum of Natural History and Culture, US Air Force Collection","This futa (lid) is most likely for a teapot based on the presence of a small vent hole, which is offset from the molded top handle. The bright lead glazes on the exterior were popular at various kilns in Kyushu (Cort 2000:252).","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Sekki (vitrified stoneware);Futa (lid);Iroyu (colored glaze);Red;Green;Yellow;Cobalt blue;Black;Iroyu (colored glaze);Grey,Mealtime Tableware,Sekki (vitrified stoneware),Futa (lid),Rim= 8 cm,,Other,Iroyu (colored glaze),Red; Green; Yellow; Cobalt blue; Black,,Iroyu (colored glaze) or possible slip,Grey,,,"Likely the Kyushu area, Japan",Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/254, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-254,Renae Campbell,image/jpg,Image;StillImage,42,41;40,
hjccc-45,Kyusu No Totte (teapot handle),45SN398B/2007/270,"Burke Museum of Natural History and Culture, US Air Force Collection","This small, hollow handle is almost certainly from a kyusu-style teapot. The diameter is approximately 2 cm at the rim and narrows to approximately 1 cm at the neck; the bore diameter measures approximately 0.5 cm. Simpson et al. (2014:106) note that unless thrown by an experienced potter, teapot handles are often weak points in the vessel that may break off with repeated use.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Kyusu (small teapot),Mealtime Tableware,Jiki (porcelain),Kyusu (small teapot),See Description,,Undecorated,,,,,,,,Japan,Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/270, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-270,Renae Campbell,image/jpg,Image;StillImage,45,43;44,
hjccc-48,Sometsuke Katagami Sho Chiku Bai Gohan Jawan (rice/soup bowl with cobalt stenciled three friends design),45SN398B/2007/278 and 45SN398B/2007/295,"Burke Museum of Natural History and Culture, US Air Force Collection",These are mending sherds of a katagami-stenciled gohan chawan. The interior decoration consists of a pendant yoraku (rim design) and a center medallion containing sho chiku bai (three friends) elements. The bowl exterior also has depictions of sho chiku bai in rounded and arched medallions and horizontal bands around the footring.,"Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Sho Chiku Bai (three friends);Horizontal band;Katagami (paper stencil);Cobalt blue;Pendant Yoraku (rim design);Horizontal band;Sho Chiku Bai (three friends),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 11 cm; footring= 4 cm; height= 5 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends); Horizontal band,Katagami (paper stencil),Cobalt blue,Pendant Yoraku (rim design); Horizontal band; Sho Chiku Bai (three friends),,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/278 and 295, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-278&295,Renae Campbell,image/jpg,Image;StillImage,48,46;47,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-11,Ume Sometsuke Gohan Jawan (rice/soup bowl with cobalt hand-painted plum),45SN398B/2007/285 and 45SN398B/2007/234I,"Burke Museum of Natural History and Culture, US Air Force Collection","These mending sherds are likely from a gohan chawan. The exterior is hand-painted; decoration consists of slightly abstracted ume (plum) branches, flowers, and horizontal bands around the vessel rim and footring.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke (hand-painted cobalt);Etsuke (hand painted);Cobalt blue;Horizontal band;Ume (plum),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 11 cm; footring~ 4.5 cm; height= 5.5 cm,Shita-Etsuke (underglaze),Sometsuke (hand-painted cobalt),Etsuke (hand painted),Cobalt blue,Horizontal band; Ume (plum),,,,,Japan,Minimalistic hand-painted sometsuke was increasingly popular during the Taisho era (1912-1926),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/285 and 234I, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-285 and 45SN398B-2007-234I,Renae Campbell,image/jpg,Image;StillImage,11,,Taisho (1912-1926);Showa (1926-1989)
hjccc-10,Suyehiro Sometsuke Doban Gohan Jawan (rice/soup bowl with cobalt transferprint fans),45SN398B/2007/286 and 45SN398B/2007/225,"Burke Museum of Natural History and Culture, US Air Force Collection","This vessel is most likely a small rice bowl or large teacup. The exterior is transferprinted and the interior is undecorated. Exterior decoration consists of overlapping fans that contain cherry blossom, bat, and moon elements.","Near Mukilteo, Washington",1903-1928,Mealtime Tableware;Jiki (porcelain);Gohan Chawan (rice/soup bowl);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Komori (bats);Sakura (cherry);Suyehiro (fans);Tsuki (moon),Mealtime Tableware,Jiki (porcelain),Gohan Chawan (rice/soup bowl),Rim~ 11 cm; footring~ 4.5 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),Doban or Doban Tensha (transferprinted),Cobalt blue,Komori (bats); Sakura (cherry); suyehiro (fans); Tsuki (moon),,,,,Japan,Most popular in the Meiji (1868-1912) and Taisho (1912-1926) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/286 and 225, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-286 and 45SN398B-2007-225,Renae Campbell,image/jpg,Image;StillImage,10,,Middle Meiji (1885-1895);Late Meiji (1895-1912);Taisho (1912-1926)
hjccc-51,Toki (porous stoneware) Cup,45SN398B/2007/291,"Burke Museum of Natural History and Culture, US Air Force Collection",This toki cup sherd has an undecorated and unglazed exterior and a white slip interior that exhibits crazing. The cup has an everted rim but the overall size is consistent with either a tea or sake cup (Ross 2012:10).,"Near Mukilteo, Washington",1903-1928,Indeterminate Tableware;Toki (porous stoneware);Kohiki (slip dipped);White,Indeterminate Tableware,Toki (porous stoneware),Unknown,Rim~ 7 cm; footring~ 3 cm; height= 5 cm,,Other,,,,Kohiki (slip dipped),White,,Impressed base mark that is not complete enough to translate,Japan,Meiji era (1868-1912) through early Showa era (1926-1989),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Burke Museum of Natural History and Culture, catalog no. 45SN398B/2007/291, US Air Force Collection, held in trust at the Burke Museum, Seattle.",45SN398B-2007-291,Renae Campbell,image/jpg,Image;StillImage,51,49;50,
hjccc-154,Sometsuke Katagami Sho Chiku Bai Namasu-Zara (pickle dish with cobalt stenciled three friends design),AACC-2000-224,Asian American Comparative Collection,This katagami-stenciled namasu-zara features depictions of sho chiku bai in a central medallion and a linear katagami design on the exterior. The pickle dish also has a scalloped rim and a janome (bull's-eye or snake-eye) recess on the base (Ross 2012:10).,,,Mealtime Tableware;Jiki (porcelain);Namasu-Zara (pickle dish/plate);Shita-Etsuke (underglaze);Sometsuke Katagami (stencil cobalt);Katagami (paper stencil);Cobalt blue;Horizontal band;Katagami (paper stencil);Cobalt blue;Sho Chiku Bai (three friends),Mealtime Tableware,Jiki (porcelain),Namasu-Zara (pickle dish/plate),Rim= 14 cm; footring= 8.5 cm; height= 3.8 cm,Shita-Etsuke (underglaze),Sometsuke Katagami (stencil cobalt),Katagami (paper stencil),Cobalt blue,Indeterminate; Horizontal band,Katagami (paper stencil),Cobalt blue,Sho Chiku Bai (three friends),,Japan,Most popular during the Meiji era (1868-1912),University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-2000-224.",AACC-2000-224,Renae Campbell,image/jpg,Image;StillImage,154,151;152;153,Early Meiji (1868-1885);Middle Meiji (1885-1895);Late Meiji (1895-1912)
hjccc-137,Ho-o Zara (Phoenix Ware dish/plate),AACC-2008-077,Asian American Comparative Collection,"This Western-style dish is in the form of a saucer. The interior transferprint design of Ho-o birds, karakusa tendrils, and paulownia and chrysanthemum flowers identify it as what is known in the West as Phoenix Ware (Dower 1971:52, 68-69; Ross 2012:20,23; Walter 2012:125, 129). The rim of the plate features an adaption of the Chinese cloud and mountain motif (Oates 1984:18). Commonly misidentified as a Phoenix or a turkey in the West, the Ho-o, or houou, bird is a composite animal adapted from Chinese mythology that incorporates parts of several creatures such as the rooster, mandarin duck, peacock, crane, and pheasant. Both the paulownia flower and the Ho-o bird are symbols of the Empress (Walter 2012:125, 129). Ho-o designs became immensely popular exports on Western forms just prior to 1914 and remained so until the 1930s (Van Patten 1994:60).",,,Mealtime Tableware;Jiki (porcelain);Sara (indeterminate dish/plate);Shita-Etsuke (underglaze);Sometsuke Doban (transferprint cobalt);Doban or Doban Tensha (transferprinted);Cobalt blue;Ho-o-o Bird;Karakusa (tendrils);Kiri (paulownia);Kiku (chrysanthemum),Mealtime Tableware,Jiki (porcelain),Sara (indeterminate dish/plate),Rim= 14 cm; footring= 8 cm; height= 2 cm,Shita-Etsuke (underglaze),Sometsuke Doban (transferprint cobalt),,,,Doban or Doban Tensha (transferprinted),Cobalt blue,Ho-o-o Bird; Karakusa (tendrils); Kiri (paulownia); Kiku (chrysanthemum),'MADE IN JAPAN' on base,Japan,Most popular in the Taisho (1912-1926) and very early Showa (1926-1989) eras,University of Idaho Library Digital Initiatives,Copyright under creative commons license. Images available for reuse in educational (non-commercial) instances; see license details at Creative Commons.,https://creativecommons.org/licenses/by-nc/4.0/,"Photo courtesy of the Asian American Comparative Collection, University of Idaho, catalog no. AACC-2008-077.",AACC-2008-077,Renae Campbell,image/jpg,Image;StillImage,137,134;135;136,Taisho (1912-1926);Showa (1926-1989)
