objectid,filename,headline,title,creator,description,date,date is approximate?,subject,location,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
spanishflu049,arg1918_10_30p1f.png,Flu is on the Wane in Sec. B Barracks ,Flu is on the Wane in Sec. B Barracks - Page 1,University Argonaut,"Subheaded 'Prompt Attention Checks Spread of Disease - Men Vaccinated,' the article discusses how the number of cases of influenza appears to be decreasing and the work of all those who had helped during the trying time. ",1918-10-30,,patients; Section B; S.A.T.C; Student Army Training Corps; hospitas; supplies; Red Cross; disease; illness; spanish influenza,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p1f,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu050,arg1918_10_30p1g.png,Co-Ed Safe from Spanish Influenza ,Co-Ed Safe from Spanish Influenza - Page 1,University Argonaut,The article discusses how no female students have contracted the flu and the quarantines role in preventing the spread of the disease. ,1918-10-30,,Co-eds; girls; women; students; quarantine; disease; illness; pandemic; epidemic; spanish influenza,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p1g,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu051,arg1918_10_30p2a.png,Editorial Notes (top left) ,Editorial Notes (top left) - Page 2,University Argonaut,"The editorial notes comment on the fortunate circumstances of the university due to the attention of President Lindley, the cooperation between the university and town, as well as how those in quarantine a fairing during the trying times.",1918-10-30,,University of Idaho; town; deaths; quarantine; students; illness; disease; spanish influenza; epidemic; pandemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p2a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu052,arg1918_10_30p2b.png,University Library Being Fumigated ,University Library Being Fumigated - Page 2,University Argonaut,"Subheaded 'Authorities Take Advantage of Quarantine to Kill Mischievous Germs,' the article mentions how the university is using the time it has been ordered to close to fumigate.",1918-10-30,,University of Idaho; library; disinfectant; fumigate; closures; spanish influenza,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p2b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu053,arg1918_10_30p3a.png,Quarantine Notes ,Quarantine Notes - Page 3,University Argonaut,Lists activities of living groups and individuals on campus during the campus quarantine. ,1918-10-30,,University of Idaho; living groups; Delta Gamma; Phi Delta Phi; Sigma Nu; entertainment; Chi delta Phi; Section B; spanish flue; quarantine; illness; disease; pandemic; epidemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p3a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu054,arg1918_10_30p3b.png,Moscow People Care for the Sick ,Moscow People Care for the Sick - Page 3,University Argonaut,"Subheaded 'Victims of Influenza Are Being Cared for Better Here Than Elsewhere,' the article praises the work of the university and military administration, as well as the women in Moscow in their care for influenza patients.",1918-10-30,,University of Idaho; S.A.T.C; Student Army Training Corps; patients; Red Cross; care; epidemic; pandemic; illness; disease; town; Moscow; townspeople,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p3b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu055,arg1918_10_30p3c.png,Deans Meet to Study Influenza Situation ,Deans Meet to Study Influenza Situation - Page 3,University Argonaut,"Subheaded 'Outlook on Local Conditions is More Encouraging - Optimism Prevails,' the article discusses a meeting of university deans on how best to combat the influenza epidemic, and possible other disease outbreaks.",1918-10-30,,University of Idaho; spanish influenza; deans; disease; illness; epidemic; pandemic; cases; examinations; doctors; physicians; nurses; quarantine,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_30p3c,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1209/filename/ARG-1918-10-30.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu056,arg1918_11_06p1a.png,Prominent Idaho Man Dies of Influenza ,Prominent Idaho Man Dies of Influenza - Page 1,University Argonaut,"Subheaded 'Ralph Gochnour Dies at Inland Hospital after Three Weeks' Illness,' the article details the life of Ralph Gochnour, a student at the university, after he dies from the spanish influenza. ",1918-11-06,,Students; Sigma Nu; deaths; illness; disease; pandemic; epidemic; spanish influenza; Inland Hospital,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p1a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu057,arg1918_11_06p1b.png,Influenza Is Being Stamped Out Rapidly ,Influenza Is Being Stamped Out Rapidly - Page 1,University Argonaut,"Subheaded 'Numbers New Cases Grows Smaller - Co-Eds Immune from Epidemic,' the article indicates that the worst of the influenza has passed at the university with few new cases and rapidly emptying hospitals. ",1918-11-06,,students; co-eds; disease; illness; pandemic; epidemic; spanish influenza; cases; hospitals; faculty; women; girls; patients,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p1b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu058,arg1918_11_06p1c.png,Gauze Masks Are No More ,Gauze Masks Are No More - Page 1,University Argonaut,"Subheaded 'War Department Rescinds Former Order Requiring Masks to be Worn,' the article looks back on the attitudes of men as they were forced to wear masks. Their major grievance was the inability to smoke.",1918-11-06,,students; men; masks; flu masks; spanish influenza; smoking; snoring; S.A.T.C; Student Army Training Corps,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p1c,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu059,arg1918_11_06p1d.png,University is Praised by Men from Jerome ,University is Praised by Men from Jerome - Page 1,University Argonaut,"After visiting the university to investigate the death of his son, Mr. R.C. Frazer praises the care given to the S.A.T.C. ",1918-11-06,,deaths; University of Idaho; care; S.A.T.C.; Student Army Training Corps; pneumonia; illness; disease; pandemic; epidemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p1d,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu060,arg1918_11_06p1e.png,S. A. T. C. Officers Fight Attacks of Flu,S. A. T. C. Officers Fight Attacks of Flu - Page 1,University Argonaut,"Two S.A.T.C. officers are victims of the influenza, but appear to be recovering well.",1918-11-06,,patients; S.A.T.C.; Student Army Training Corps; officers; spanish influenza; illness; disease; pandemic; epidemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p1e,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu061,arg1918_11_06p2a.png,Football Practice Is Postponed ,Football Practice Is Postponed - Page 2,University Argonaut,"Subheaded 'Lieut. Meehan Looks Forward to Brilliant Seaseon for Teams,' the article discusses the postponement of football practice due to the influenza epidemic. The acting coach is waiting on word from Dr. Kotalik before practices may restart.",1918-11-06,,football; activities; sport; S.A.T.C.; Student Army Training Corps; practice; spanish influenza; illness; disease; epidemic; pandemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p2a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu062,arg1918_11_06p2b.png,Flu Mask Wearers Not Very Optimistic ,Flu Mask Wearers Not Very Optimistic - Page 2,University Argonaut,"The article relates that attitudes of men ordered to wear flu masks, and the outcome for not doing so. ",1918-11-06,,flu masks; masks; students; S.A.T.C.; Student Army Training Corps; spanish influenza; illness; disease; epidemic; pandemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p2b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu063,arg1918_11_06p2c.png,"Men Give ""Flu"" Birds A Freeze-Out ","Men Give ""Flu"" Birds A Freeze-Out - Page 2",University Argonaut,"The article describes an order from company commanders that all blankets and clothing be exposed to the air during the day to kill the ""flu"" bugs.",1918-11-06,,spanish influenza; S.A.T.C.; Student Army Training Corps; illness; disease; epidemic; pandemic; cold,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p2c,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu064,arg1918_11_06p3.png,Quarantine Notes - ,Quarantine Notes - Page 3,University Argonaut,Lists activities of living groups and individuals on campus during the campus quarantine. ,1918-11-06,,Kappa Kappa Gamma; Gamma Phi Beta; parties; activities; quarantine; students; living groups; spanish influenza; disease; illness; pandemic; epidemic,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_06p3,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1210/filename/ARG-1918-11-06.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu065,arg1918_11_13p2a.png,Flu Causes Two Deaths ,Flu Causes Two Deaths - Page 2,University Argonaut,"Subheaded 'Two More Section B Men Are Victims of Spanish Influenza,' the article details the deaths of two S.A.T.C. men who died of the influenza.",1918-11-13,,S.A.T.C.; Student Army Training Corps; Section B; vocational division; deaths; illness; disease; pandemic; epidemic; spanish influenza,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_13p2a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/11220/filename/ARG-1918-11-13.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu066,arg1918_11_13p2b.png,Home Ec. Girls Give Their Service ,Home Ec. Girls Give Their Service - Page 2,University Argonaut,"Subheaded 'Senior Girls in Dietics Make Tempting Dishes for Flu Victims,' the article describes the work home economics students are doing for influenza patients, including cooking meals for approximately 40 patients. ",1918-11-13,,Home Economics; students; food; spanish influenza; illness; disease; epidemic; pandemic; meals; patients,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_11_13p2b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/11220/filename/ARG-1918-11-13.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
