title,dates,start_date,end_date,year span,description,person of interest,document type,publisher,subject,location,file type,identifier_old,identifier,source,type,format,rightsstatement,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Dwaine Baccus Folder,1996-03-20/1997-03-20,1996-03-20,1997-03-20,1996 - 1997,3 pages of family history documents containing and related to Dwaine Baccus - including: Race car driver news articles,Dwaine Baccus,newspaper clippings;,,Meridian Speedway; car racing,Meridian,Family History Files,Baccus-Dwaine,Baccus-Dwaine,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/112,112,20.pdf,/mccall/image/20.pdf,mccall112
Barbara & Clay Morgan Folder,1981-06-13/2015-05-21,1981-06-13,2015-05-21,1981 - 2015,"81 page of family history documents containing and related to Barbara Morgan; Clay Morgan; Christa McAuliffe; Jim Beaver; Nasa - including: Idaho Statesman, Star News and Idaho Art Journal",Barbara Morgan; Clay Morgan; Christa McAuliffe; Jim Beaver; Nasa,newspaper clippings;,Star News;Idaho Statesman;,Astronaut; Teacher; Writer,McCall,Family History Files,Morgan-Barbara-and-Clay,Morgan-Barbara-and-Clay,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/113,113,200.pdf,/mccall/image/200.pdf,mccall113
John D. Parker Folder,1873-11-05/1965-03-27,1873-11-05,1965-03-27,1873 - 1965,2 pages of family history documents containing and related to John D. Parker; Idaho Forest Service - including: Personal history note,John D. Parker; Idaho Forest Service,,,Forest Servicel; Homesteader;,Round Valley; Thunder City,Family History Files,Parker-John-D,Parker-John-D,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/114,114,201.pdf,/mccall/image/201.pdf,mccall114
Carmel Parks Folder,1979-08-05/1983-08-05,1979-08-05,1983-08-05,1979 - 1983,2 pages of family history documents containing and related to Carmel Parks; Clyde A Parks; Betty Parks - including: The Idaho Statesman,Carmel Parks; Clyde A Parks; Betty Parks,,Idaho Statesman;,Logger; Handy Man,McCall,Family History Files,Parks-Carmel,Parks-Carmel,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/115,115,202.pdf,/mccall/image/202.pdf,mccall115
Clyde A. & Betty Parks Folder,1954-05-12/1956-12-31,1954-05-12,1956-12-31,1954 - 1956,2 pages of family history documents containing and related to Clyde A. Parks; Betty Parks; Carmel Parks - including: Personal death announcements,Clyde A. Parks; Betty Parks; Carmel Parks,,,Browns Tie and Lumber Mill,McCall,Family History Files,Parks-Clyde-A-and-Betty,Parks-Clyde-A-and-Betty,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/116,116,203.pdf,/mccall/image/203.pdf,mccall116
Horace Patterson Folder,1894-12-20/1981-10-29,1894-12-20,1981-10-29,1894 - 1981,"52 pages of family history documents containing and related to Horace Patterson; Bertha Patterson; Valley County Commissioner - including: Star News' Reflections, Idaho History Project",Horace Patterson; Bertha Patterson; Valley County Commissioner,newspaper clippings;,Star News;,Homesteader; Logger; County Commissioner; Congressman,Crawford,Family History Files,Patterson-Horace,Patterson-Horace,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/117,117,204.pdf,/mccall/image/204.pdf,mccall117
Mae Osborn Folder,1885-08-12/1975-08-14,1885-08-12,1975-08-14,1885 - 1975,1 page of family history documents containing and related to Mae Osborn - including: The Star News,Mae Osborn,newspaper clippings;,Star News;,Teacher; Rancher,New Meadows,Family History Files,Osborn-Mae,Osborn-Mae,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/118,118,205.pdf,/mccall/image/205.pdf,mccall118
Kent Peterson Folder,1969-05-29/1989-12-31,1969-05-29,1989-12-31,1969 - 1989,"2 pages of family history documents containing and related to Kent Peterson; Judi Peterson - including: Idaho Statesman, Star News, ""The Lost Art"" Totem Poles",Kent Peterson; Judi Peterson,newspaper clippings;,Star News;Idaho Statesman;,Totem Pole Carver; Painter,McCall,Family History Files,Peterson-Kent,Peterson-Kent,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/119,119,206.pdf,/mccall/image/206.pdf,mccall119
Kathy Phelan Folder,1988-04-16,1988-04-16,,1988 - 1988,1 page of family history documents containing and related to Kathy Phelan; US West Outstanding Teacher Program - including: Idaho Statesman,Kathy Phelan; US West Outstanding Teacher Program,,Idaho Statesman;,Teacher; Award,McCall; Donnelly,Family History Files,Phelan-Kathy,Phelan-Kathy,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/120,120,207.pdf,/mccall/image/207.pdf,mccall120
Ivan Phelps Folder,1993-12-16,1993-12-16,,1993 - 1993,1 page of family history documents containing and related to Ivan Phelps; Visions in Art Gallery - including: The Star News,Ivan Phelps; Visions in Art Gallery,newspaper clippings;,Star News;,Woodworker; Artist,Donnelly,Family History Files,Phelps-Ivan,Phelps-Ivan,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/121,121,208.pdf,/mccall/image/208.pdf,mccall121
John Phillips Folder,1940-01-01/1940-12-31,1940-01-01,1940-12-31,1940 - 1940,"1 page of family history documents containing and related to John Phillips; Mrs. John Phillips - including: The Statesman, 50th Wedding Announcement",John Phillips; Mrs. John Phillips,wedding announcement;,Idaho Statesman;,Homesteader,Roseberry; McCall,Family History Files,Phillips-John,Phillips-John,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/122,122,209.pdf,/mccall/image/209.pdf,mccall122
Joe Bennett Folder,1980-03-18/1988-04-24,1980-03-18,1988-04-24,1980 - 1988,90 pages of family history documents containing and related to Joseph Richard Bennett - including: News articles; Oral History; obit,Joseph Richard Bennett,oral histories;obituary;newspaper clippings;,,Ranch; Pioneer; Logging,Boise; Lardo,Family History Files,Bennett-Joe,Bennett-Joe,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/123,123,21.pdf,/mccall/image/21.pdf,mccall123
Dennis Pierce Folder,1989-12-17/1990-11-15,1989-12-17,1990-11-15,1989 - 1990,"3 pages of family history documents containing and related to Dennis Pierce; Clayton Anderson; Judge George Carey - including: The Star News, The Idaho Statesman",Dennis Pierce; Clayton Anderson; Judge George Carey,newspaper clippings;,Star News;Idaho Statesman;,Chamber of Commerce Director; Crime,McCall,Family History Files,Pierce-Dennis,Pierce-Dennis,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/124,124,210.pdf,/mccall/image/210.pdf,mccall124
Gerald Pizzuto Folder,1986-03-19/1986-03-29,1986-03-19,1986-03-29,1986 - 1986,"2 pages of family history documents containing and related to Gerald Pizzuto; Alberta L. Herndon; Dale D. Herdon' Judge George Reinhart - including: The Star News, The Idaho Statesman",Gerald Pizzuto; Alberta L. Herndon; Dale D. Herdon' Judge George Reinhart,newspaper clippings;,Star News;Idaho Statesman;,Crime; Murder,Ruby Meadows,Family History Files,Pizzuto-Gerald,Pizzuto-Gerald,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/125,125,211.pdf,/mccall/image/211.pdf,mccall125
Greg Randolph Folder,1993-07-29/1997-09-04,1993-07-29,1997-09-04,1993 - 1997,"11 page of family history documents containing and related to Greg Randolph - including: Greg Randolph of McCall. a competitive cyclist, who raced in the Atlanta Olympics, and Tour de France and became professional.",Greg Randolph,,,Bicycle Racer; Olympian,McCall,Family History Files,Randolph-Greg,Randolph-Greg,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/126,126,212.pdf,/mccall/image/212.pdf,mccall126
Ralph Raymond Folder,1970-09-01,1970-09-01,,1970 - 1970,"1 page of family history documents containing and related to Ralph Raymond - including: Ralph Raymond of McCall becomes a Rhodes Scholar bound for Oxford on October 6, 1970.",Ralph Raymond,,,Oxford Rhodes Scholar,McCall,Family History Files,Raymond-Ralph,Raymond-Ralph,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/127,127,213.pdf,/mccall/image/213.pdf,mccall127
Mildred Selement Reddick Folder,1996-05-14,1996-05-14,,1996 - 1996,1 page of family history documents containing and related to Mildred Selement Reddick; Frank Selement; Dr. Harry E. Reddick - including: Personal account,Mildred Selement Reddick; Frank Selement; Dr. Harry E. Reddick,,,Artist,McCall; California,Family History Files,Reddick-Mildred-Selement,Reddick-Mildred-Selement,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/128,128,214.pdf,/mccall/image/214.pdf,mccall128
Tom Reedy Folder,1912-03-01/1978-11-01,1912-03-01,1978-11-01,1912 - 1978,"1 page of family history documents containing and related to Tom Reedy; Eldon Starr; Marie Starr; Ready Road - including: Newspaper clipping ""up to Now""",Tom Reedy; Eldon Starr; Marie Starr; Ready Road,newspaper clippings;,Star News;,Homesteader; Reedy Home,Long Valley; McCall,Family History Files,Reedy-Tom,Reedy-Tom,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/129,129,215.pdf,/mccall/image/215.pdf,mccall129
Don & Susie Park Folder,2000-10-20,2000-10-20,,2000 - 2000,"1 page of family history documents containing and related to Don Park, USFS; Susan LaDell Barron - including: Personal wedding announcement","Don Park, USFS; Susan LaDell Barron",wedding announcement;,,Browns Tie and Lumber Mill; Forest Service,McCall,Family History Files,Park-Don-and-Susie,Park-Don-and-Susie,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/130,130,216.pdf,/mccall/image/216.pdf,mccall130
Routson Family Folder,1873-01-01/1997-01-01,1873-01-01,1997-01-01,1873 - 1997,"83 pages of family history documents containing and related to John W. Routson; John Wl Routson Jr.; John W Routson Snr.; Eugene Routson; Lettie McRoberts; Jap Griffith; Edna Routson; Emmit Routson; Noel Routson; Dave Lewis; Joe Elliott; Archie Bacon; Neva Letrace; Leonard Routson; Letty Routson Tucker; Robert G. Routson; Jack Walker; Robin McRae; Peter Preston - including: Memoirs of An Old Timer by Adelia L Routson; ""Memoirs of An Old Prospector"" by Noel Routson",John W. Routson; John Wl Routson Jr.; John W Routson Snr.; Eugene Routson; Lettie McRoberts; Jap Griffith; Edna Routson; Emmit Routson; Noel Routson; Dave Lewis; Joe Elliott; Archie Bacon; Neva Letrace; Leonard Routson; Letty Routson Tucker; Robert G. Routson; Jack Walker; Robin McRae; Peter Preston,,,Pioneer; Farmer; Saw Mill; Lumbermen; Loerdenhoff Mine; Logan Creek; Trappers; Freighters; Sheep Herders; Cashwell Ranch; 1800s,Logan Creek,Family History Files,Routson-Family,Routson-Family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/131,131,217.pdf,/mccall/image/217.pdf,mccall131
Rowland Family Folder,1913-07-25/2007-12-20,1913-07-25,2007-12-20,1913 - 2007,"27 pages of family history documents containing and related to Arthur Rowland; Minnie Davis Rowland; Emory Rowland; .Vera Rowland; Marion Rowland; Dewey Rowland; Shirley Rowland Wilkerson; Warren Rowland: Sophie Rowland; Kenneth Rowland; John & Wilma Rowland - including: Ad in Meadows Eagle, Statesman obit, Oral history with Dewey Rowland & obit., Star News Rowland obit., personal Wedding announcements, obits for Kenneth & Elaine Rowland, obits for May ""Billie"" Rowland, also Wilma Rowland",Arthur Rowland; Minnie Davis Rowland; Emory Rowland; .Vera Rowland; Marion Rowland; Dewey Rowland; Shirley Rowland Wilkerson; Warren Rowland: Sophie Rowland; Kenneth Rowland; John & Wilma Rowland,oral histories;obituary;newspaper clippings;wedding announcement;,Star News;Idaho Statesman;,Mail Carrier; Tom McCall Friend; Helped layout McCall Townsite: Lardo Post Office; Rowland's Timber; 1940's; Roland's Gravel,McCall; Lardo,Family History Files,Rowland-Family,Rowland-Family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/132,132,218.pdf,/mccall/image/218.pdf,mccall132
F.P. the Founding of McCall Rowland Folder,1892-04-01/1960-12-31,1892-04-01,1960-12-31,1892 - 1960,20 pages of family history documents containing and related to The Rowlands; Frank P; Tom McCall; Newt Williams; Roy May; W. B. Boydstun; Lardo; Shore Lodge; Rowland Bros. Garage; Jack Wyatte - including: Eye witness oral account of the McCall's start; Lardo; Elo; Saw Mills; Hotels; Newspapers; Railroads; Churches; The Early Days & Moonshine,The Rowlands; Frank P; Tom McCall; Newt Williams; Roy May; W. B. Boydstun; Lardo; Shore Lodge; Rowland Bros. Garage; Jack Wyatte,newspaper clippings;,Star News;,City of McCall; Built Schools; Trappers; Outdoorsmen,McCall; Long Valley,Family History Files,Rowland-FP-the-Founding-of-McCall,Rowland-FP-the-Founding-of-McCall,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/133,133,219.pdf,/mccall/image/219.pdf,mccall133
Esther Binning Folder,1987-11-11/1988-05-03,1987-11-11,1988-05-03,1987 - 1988,3 pages of family history documents containing and related to Esther Binning - including: News articles; obit,Esther Binning,obituary;newspaper clippings;,,Organist,Weiser,Family History Files,Binning-Esther,Binning-Esther,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/134,134,22.pdf,/mccall/image/22.pdf,mccall134
Hazel Ruska Folder,1943-01-01/1982-05-31,1943-01-01,1982-05-31,1943 - 1982,1 page of family history documents containing and related to Hazel Ruska; McCall H.S. - including: Article in The Land and It's People,Hazel Ruska; McCall H.S.,,,Librarian; Teacher,McCall,Family History Files,Ruska-Hazel,Ruska-Hazel,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/135,135,220.pdf,/mccall/image/220.pdf,mccall135
Mitch Ruska Folder,1995-04-20/1998-05-28,1995-04-20,1998-05-28,1995 - 1998,3 pages of family history documents containing and related to Mitch Ruska; Idaho State Trooper - including: Star News articles,Mitch Ruska; Idaho State Trooper,newspaper clippings;,Star News;,Idaho State Police Trooper; McCall Smokejumper,McCall,Family History Files,Ruska-Mitch,Ruska-Mitch,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/136,136,221.pdf,/mccall/image/221.pdf,mccall136
Sabala Family Folder,1995-07-27/1996-05-02,1995-07-27,1996-05-02,1995 - 1996,2 pages of family history documents containing and related to John A. Sabala; Lael Kathleen Manchester Sabala; Louis A Sabala; Susanne A. Roulston Sabala; Ron and Diana Sabala; Sabala Bros. of SLC - including: Star News Wedding announcements,John A. Sabala; Lael Kathleen Manchester Sabala; Louis A Sabala; Susanne A. Roulston Sabala; Ron and Diana Sabala; Sabala Bros. of SLC,newspaper clippings;wedding announcement;,Star News;,Basque; Homesteader; Sabala Brothers and Company;Manchester Ice Rink,McCall,Family History Files,Sabala-Family,Sabala-Family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/137,137,222.pdf,/mccall/image/222.pdf,mccall137
Neil Sanders Folder,1995-06-29/1996-06-28,1995-06-29,1996-06-28,1995 - 1996,"7 pages of family history documents containing and related to Neil Sanders; French Creek Tram; Payette National Forest; Salmon River - including: Star News, Idaho Statesman",Neil Sanders; French Creek Tram; Payette National Forest; Salmon River,newspaper clippings;,Star News;Idaho Statesman;,Salmon River Rancher; French Creek Tram,Salmon River; French Creek,Family History Files,Sanders-Neil,Sanders-Neil,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/138,138,223.pdf,/mccall/image/223.pdf,mccall138
C. L. Schoenhut Folder,1927-05-12/1981-03-05,1927-05-12,1981-03-05,1927 - 1981,"2 pages of family history documents containing and related to C.L. Schoenhut; Courtney Schoenhut; Larry Schoenhut; Hilma Norton Schoenhut; Mac's Cafe; Stiburek Bakery; Chief Lounge Cascade - including: Star News ""Reflactions""",C.L. Schoenhut; Courtney Schoenhut; Larry Schoenhut; Hilma Norton Schoenhut; Mac's Cafe; Stiburek Bakery; Chief Lounge Cascade,newspaper clippings;,Star News;,Forest Service; Civilian Conservation Corps,Cascade,Family History Files,Schoenhut-C-L,Schoenhut-C-L,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/139,139,224.pdf,/mccall/image/224.pdf,mccall139
Roberts Family Folder,1997-08-21,1997-08-21,,1997 - 1997,2 pages of family history documents containing and related to Alaska Levi Roberts; Ken Roberts; Mary Jo Roberts; Phil Davis; Yvette Davis; Long Valley (Idaho) Agriculture - including: The Star News,Alaska Levi Roberts; Ken Roberts; Mary Jo Roberts; Phil Davis; Yvette Davis; Long Valley (Idaho) Agriculture,newspaper clippings;,Star News;Long Valley Advocate;,Homesteader; Farmer; Rancher,Long Valley,Family History Files,Roberts-Family,Roberts-Family,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/140,140,225.pdf,/mccall/image/225.pdf,mccall140
James Lawrence Schoenhut Folder,1985-01-11/1995-01-16,1985-01-11,1995-01-16,1985 - 1995,7 pages of family history documents containing and related to James Lawrence Schoenhut; Larry Schoenhut - including: newspaper articles involving court proceedings and resignations of Prosecutor Larry Schoenhut.,James Lawrence Schoenhut; Larry Schoenhut,newspaper clippings;,,Valley County Prosecuting Attorney; Resignation,McCall; Valley County,Family History Files,Schoenhut-James-Lawrence,Schoenhut-James-Lawrence,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/141,141,226.pdf,/mccall/image/226.pdf,mccall141
Fela Dawson Scott Folder,1990-04-21/1995-06-15,1990-04-21,1995-06-15,1990 - 1995,3 pages of family history documents containing and related to Fela Dawson Scott; Shadow of Desire; Ghost Dancer; Spirit of the Mountain - including: Articles on Books published by author Fela Scott,Fela Dawson Scott; Shadow of Desire; Ghost Dancer; Spirit of the Mountain,,,Author; Romance Historical Novels,McCall,Family History Files,Scott-Fela-Dawson,Scott-Fela-Dawson,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/142,142,227.pdf,/mccall/image/227.pdf,mccall142
Lillian Scrogham Folder,1994-10-06,1994-10-06,,1994 - 1994,1 page of family history documents containing and related to Lilian Scrogham; Maggie Colton - including: Article nof Lillian Scrogham's flower garden,Lilian Scrogham; Maggie Colton,,,Gardiner; Prolific Flowers,McCall,Family History Files,Scrogham-Lillian,Scrogham-Lillian,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/143,143,228.pdf,/mccall/image/228.pdf,mccall143
Quentin Seoby Folder,1991-10-30,1991-10-30,,1991 - 1991,1 page of family history documents containing and related to Quentin Selby; Pastor Tom Penry; Quentin E Selby; Nancy Gestrin - including: Article on Auctioneer Quentin Shelby,Quentin Selby; Pastor Tom Penry; Quentin E Selby; Nancy Gestrin,,,Auctioneer;Philanthropist,Cascade,Family History Files,Seoby-Quentin,Seoby-Quentin,"McCall Public Library Family Records Collection, held in the Idaho Room at the library. (<a href='https://www.mccall.id.us/departments/library' target='_blank' rel='noopener'>https://www.mccall.id.us/departments/library</a>)",Text,application/pdf,http://rightsstatements.org/page/InC-EDU/1.0/?language=en,eng,,,2016-10-28,2016-10-28,http://digital.lib.uidaho.edu:80/cdm/ref/collection/mccall/id/144,144,229.pdf,/mccall/image/229.pdf,mccall144
