title,opponent,abbreviation,sport,date,year,location,stadium,latitude,longitude,score,notes,identifier,original collection,digital collection,publisher,rights,standardized rights,format-original,format,type,duration,digital preservation filename,id number,disc number,youtube-id,reference url,cdm-id,object-id
"University of Idaho vs. Washington State University (Football), 10/23/1954",Washington State University,WSU,Football,1954-10-23,1954,"Pullman, WA",Rodgers Field,46.731806,-117.160444,10 - 0 (W),,UG64-WSU1954-1_129,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:39:29,UG64-WSU1954-1_129.avi,1_129,129,NPwn68iO89s,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/10,10,vandalvideo10
"University of Idaho vs. Washington State University (Football), 11/01/1952",Washington State University,WSU,Football,1952-11-01,1952,"Pullman, WA",Rodgers Field,46.731806,-117.160444,6 - 36 (L),,UG64-WSU1952-1_127,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:08:19,UG64-WSU1952-1_127.avi,1_127,127,gWVAWPez6xE,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/11,11,vandalvideo11
"University of Idaho vs. Boise State University (Football), 09/11/1971",Boise State University,"Boise, IDSt",Football,1973-09-08,1973,"Boise, ID",Bronco Stadium,43.602798,-116.195833,14 - 42 (L),,"UG64-Boise, IDSt1973-1_4a",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:58:05,"UG64-Boise, IDSt1973-1_4a.avi",1_4a,4,ivTBB7qhAxI,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/12,12,vandalvideo12
"University of Idaho vs. Washington State University (Football), 10/15/1955",Washington State University,WSU,Football,1955-10-15,1955,"Moscow, ID",Neale Stadium,46.726113,-117.015671,0 - 9 (L),,UG64-WSU1955-1_130,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:39:36,UG64-WSU1955-1_130.avi,1_130,130,9_ABMCJ3zKA,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/13,13,vandalvideo13
"University of Idaho vs. Washington State University (Football), 10/11/1958",Washington State University,WSU,Football,1958-10-11,1958,"Moscow, ID",Neale Stadium,46.726113,-117.015671,0 - 8 (L),,UG64-WSU1958-1_133,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:34:58,UG64-WSU1958-1_133.avi,1_133,133,RmcNYX_Q4Gs,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/14,14,vandalvideo14
"University of Idaho vs. Washington State University (Football), 10/05/1946",Washington State University,WSU,Football,1946-10-05,1946,"Pullman, WA",Rodgers Field,46.731806,-117.160444,0 - 32 (L),,UG64-WSU1946-1_122,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:35:44,UG64-WSU1946-1_122.avi,1_122,122,xTatL5zNOsQ,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/15,15,vandalvideo15
"University of Idaho vs. Washington State University (Football), 11/16/1957",Washington State University,WSU,Football,1957-11-16,1957,"Pullman, WA",Rodgers Field,46.731806,-117.160444,13 - 21 (L),,UG64-WSU1957-1_132,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:38:49,UG64-WSU1957-1_132.avi,1_132,132,7jfboQwCzGc,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/16,16,vandalvideo16
"University of Idaho vs. Washington State University (Football), 11/10/1951",Washington State University,WSU,Football,1951-11-10,1951,"Moscow, ID",Neale Stadium,46.726113,-117.015671,6 - 9 (L),,UG64-WSU1951-1_126,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:01:13,UG64-WSU1951-1_126.avi,1_126,126,Y6sSIIGNfR4,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/17,17,vandalvideo17
"University of Idaho vs. Washington State University (Basketball), 01/03/1954",Washington State University,WSU-bb,Basketball,1954-01-03,1954,"Pullman, WA",Bohler Gymnasium,46.732783,-117.162173,50 - 49 (W),,UG64-WSU-bb1954-1_128,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:38:25,UG64-WSU-bb1954-1_128.avi,1_128a,128,4iVdOr7anb0,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/18,18,vandalvideo18
"University of Idaho vs. Washington State University (Football), 10/28/1950",Washington State University,WSU,Football,1950-10-28,1950,"Pullman, WA",Rodgers Field,46.731806,-117.160444,7 - 7 (L),,UG64-WSU1950-1_125,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:26:14,UG64-WSU1950-1_125.avi,1_125,125,VzI6I0tksKw,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/19,19,vandalvideo19
"University of Idaho vs. Washington State University (Football), 10/24/1959",Washington State University,WSU,Football,1959-10-24,1959,"Pullman, WA",Rodgers Field,46.731806,-117.160444,5 - 27 (L),,UG64-WSU1959-1_134,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:36:05,UG64-WSU1959-1_134.avi,1_134,134,sDiy_LHqUfk,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/20,20,vandalvideo20
"University of Idaho vs. Washington State University (Football), 10/06/1956",Washington State University,WSU,Football,1956-10-06,1956,"Moscow, ID",Neale Stadium,46.726113,-117.015671,19 - 33 (L),,UG64-WSU1956-1_131,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:43:29,UG64-WSU1956-1_131.avi,1_131,131,KInwI_Ar8yM,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/21,21,vandalvideo21
"University of Idaho vs. Washington State University (Football), 11/17/1962",Washington State University,WSU,Football,1962-11-17,1962,"Moscow, ID",Neale Stadium,46.726113,-117.015671,14 - 22 (L),,UG64-WSU1962-1_137,Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,0:27:28,UG64-WSU1962-1_137.avi,1_137,137,m2lChKbsS50,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/22,22,vandalvideo22
"University of Idaho vs. Boise State University (Football), 11/04/1978",Boise State University,"Boise, IDSt",Football,1978-11-04,1978,"Boise, ID",Bronco Stadium,43.602798,-116.195833,10 - 48 (L),,"UG64-Boise, IDSt1978-1_11",Original Collection consisted of a series of 16mm Film reels.  This collection was digitized and put on DVD by Graham Warger in 2011. The DVD collection is referred to as the Collection on Vandal Training and Scouting Films - nwda-db.orbiscascade.org/findaid/ark:/80444/xv56115,Vandal Video Collection - Vandal Training and Scouting Films http://www.lib.uidaho.edu/digital/vandalvideo/,University of Idaho Digital Initiatives http://www.lib.uidaho.edu/digital/,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu and University of Idaho Athletic Department.",http://rightsstatements.org/page/InC-EDU/1.0/?language=en,16mm Film,video/avi,Image;MovingImage,1:44:32,"UG64-Boise, IDSt1978-1_11.avi",1_11,11,sj9u54lipG8,http://digital.lib.uidaho.edu:80/cdm/ref/collection/vandalvideo/id/23,23,vandalvideo23
