title,creator,date,description,subject,location,region,latitude,longitude,source,identifier,publisher,digital collection,holding institution,collection website,Language,date digital,type,format,rights,rights (standardized),digitization specifications,filename,OCLC number,Date created,Date modified,Reference URL,cdm-id,CONTENTdm file name,CONTENTdm file path,object-id
Canal lining and construction-- tooth ripper excavation,United States. Army. Corps of Engineers.,1950-04-04,"Columbia Basin Project, Irrigation Division, Third Section West Canal, Specifications 2844, Schedule 3. Looking downstream at approximate station 2015.00 at caterpillar dozer with one tooth ripper doing rough excavation for chute. Winnin and Shilling--contractor. H. E. Foss--photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington,,47.961587,-118.972685,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3619",94-4-3619,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054691,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1239,1239,898.jp2,/crbproj/image/898.jp2,crbproj345
"Canal lining and construction-- view of completed lining, and curing jumbo","Foss, H.E.",1950-03-03,"Columbia Basin Project, Irrigation Division, 2nd Section West Canal, Specs. 2541. View of curing jumbo and completed lining from the finishing jumbo. Four workmen are applying white pigmented curing compound to the concrete lining. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above Specifications. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.225483,-119.848566,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3743",94-4-3743,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055167,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1272,1272,931.jp2,/crbproj/image/931.jp2,crbproj378
Canal lining and construction-- view of finisher's platform from inside the canal,"Pomeroy, F.B.",1948-04-07,"West Canal, Specs. 1286, Winston-Utah Co. Finishers' platform following Guntert and Zimmerman paver.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.270315,-119.591846,"PG 94, Box 1, Folder Canal Lining and Construction,  3 16995",94-3-16995,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055654,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1273,1273,932.jp2,/crbproj/image/932.jp2,crbproj379
Canal lining and construction-- W 645 drain excavation,"Foss, H.E.",1950-04-04,"Columbia Basin Project, Irrigation Division, Third Section West Canal, Specifications 2844, Schedule 2. View looking northwesterly into ditch being excavated for W 645 drain culvert under third section of the West Canal at station 1632.25. The buildings in the background are a portion of homes and businesses in the incorporated city limits of Quincy, Washington. Marshall, Haas and Royce and Haas and Rothschild--Contractor. H.E.Foss, Photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.206011,-119.89234,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3621",94-4-3621,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,250 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055701,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1242,1242,901.jp2,/crbproj/image/901.jp2,crbproj348
Canal lining and construction--a view of work being performed on fresh concrete at Winchester Wasteway,"Foss, H.E.",1950-05-18,"Columbia River Basin Project, Irrigation Division, Winchester Wasteway, Specs. 2648. A general view of operations in the chute seen from the highway bridge at station 12+27. The floor pour in the immediate foreground has just been completed and the concrete finisher is setting bolts in the fresh concrete which will be used to anchor wall form bracing. Work is being performed by J.A. Tertling and Sons, Inc. under Schedule 2 of above Specifications. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Winchester,Winchester SW,47.130866,-119.170866,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3805",94-4-3805,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055750,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1262,1262,921.jp2,/crbproj/image/921.jp2,crbproj368
Canal lining and construction--blasting,"Foss, H.E.",1949-10-26,"Columbia Basin Project, Irrigation division, Specifications No. 2648, Winchester Wasteway, Earthwork and Structures Station 1/28.67 to station 964/00. Contractor: J.A. Tertling and Sons, Inc. Blasting in the vicinity of Station 7/00 in the chute section. The picture is taken, looking north, from the highway 8 miles east of Quincy, Wash. Harold Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Winchester,Winchester SW,47.128921,-119.630578,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3286",94-4-3286,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054782,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1248,1248,907.jp2,/crbproj/image/907.jp2,crbproj354
Canal lining and construction--bridge bents and abutments,"Foss, H.E.",1950-06-16,"Columbia Basin Project, Irrigation Division, 2nd Section West Canal, Specs. 2541. Bridge bents and abutments for the county road bridge at station 1151+87. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above Specifications. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.270362,-119.603734,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3956",94-4-3956,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054689,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1283,1283,942.jp2,/crbproj/image/942.jp2,crbproj389
Canal lining and construction--car parked in completed section of Main Canal,"Foss, H.E.",1949-10-11,"Columbia Basin Project, Irrigation Division, Main Canal. General view of completed section of Main Canal, looking west (downstream). H. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Little Soap Lake,Little Soap Lake,47.434052,-119.516959,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3227",94-4-3227,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055686,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1296,1296,955.jp2,/crbproj/image/955.jp2,crbproj402
Canal lining and construction--cat with ripper,"Foss, H.E.",1950-11-09,"Columbia Basin Project, Irrigation Division, Third Section, West Canal, Specifications 2844, Schedule No. 1 and 2. View in bottom of West Canal as excavated at Statio 1272/00 looking downstream at D 8 Cat with ripper working at loosening caliche for excavation by 54B Dragling shown at Station 1272/00. Marshall Haas, and Royce, Haas and Rothschild--Contractor. He. E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington,,46.900971,-119.630591,"PG 94, Box 1, Folder Canal Lining and Construction,  4 4578",94-4-4578,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664054762,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1247,1247,906.jp2,/crbproj/image/906.jp2,crbproj353
Canal lining and construction--close up of lining machine,"Foss, H.E.",1950-05-05,"Columbia Basin Project, Irrigation Division, 2nd Section West Canal, Specs. 2541. Close-up of lining machine showing trailing edge of slip form and hinged spring-loaded pressure plate extending the full length of the slope to trowel the concrete. Longitudinal groove cutters are attached to the under-side of the pressure plate. The man watching the action of the machine is Loyd C. Russell, Chief Inspector. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above Specifications. H.E. Foss, photographer",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.226967,-119.843159,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3736",94-4-3736,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055680,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1269,1269,928.jp2,/crbproj/image/928.jp2,crbproj375
Canal lining and construction--close-up of drive mechanism,"Foss, H.E.",1950-06-16,"Columbia Basin Project, Irrigation Division, 2nd Section West Canal, Specs. 2541. Close-up showing drive mechanism excavating buckets and conveyor belts on the right front side of the trimmer. Left side is similar. Work is being performed by Morrison-Knudsen, Inc. under Schedule 2 of above Specifications. H.E. Foss, photographer.",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Grant County--Quincy,Quincy,47.242291,-119.84951,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3950",94-4-3950,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055706,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1253,1253,912.jp2,/crbproj/image/912.jp2,crbproj359
Canal lining and construction--compacted core bank construction,"Foss, H.E.",1950-06-22,"Columbia Basin Project, Irrigation Division, 1st Section Potholes East Canal, Specs. 2787. Compacted core bank construction in thoro-fill section Sta. 330 to 348. All material hauled from borrow areas by WD-10 scrapers and rolled with sheepsfoot roller. Work was performed by Guy F. Atkinson Co. under above specifications. H.E. Foss, photographer",Columbia Basin Reclamation Project (U.S.);,United States--Washington--Franklin County--Basin City,Basin City,46.630429,-119.118662,"PG 94, Box 1, Folder Canal Lining and Construction,  4 3974",94-4-3974,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Columbia River Basin Project Collection,University of Idaho Library Special Collections and Archives,http://www.lib.uidaho.edu/digital/crbp/,eng,2010-06,Image;StillImage,image/jpg,"Material produced by the United States Army Corp of Engineers. In Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,200 dpi  grayscale jpg displayed. Scanned with Epson Expression 1640XL scanner using VueScan 8.6.35 scanning software. Master file is a 400 dpi Tiff.,,664055188,2010-08-17,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/crbproj/id/1249,1249,908.jp2,/crbproj/image/908.jp2,crbproj355
