title,creator,description,date,subject,source,ids,publisher,format-original,type,format,location,latitude,longitude,object-id
Typographical error,,A letter to Bert Curtis from the secretary of K.M. Robinson correcting an error,5/11/1955,,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-006,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,9
Letter from the Governor,"Smylie, Robert E.",A letter to Bert Curtis regarding a meeting with Senator Dworshak,5/25/1956,"bert curtis; Dworshak, Henry C.; Smylie, Robert E.; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-034,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,82
Letter to Bert Curtis,Bill,A letter to Bert Curtis relating information on the Bruces Eddy partnership project.,7/13/1955,"Dworshak, Henry Clarence; bert curtis;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-014,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,23
Bruces Eddy information request,"Kester, Linda J.; Curtis, Bert",A letter to Bert Curtis requesting information on the Bruces Eddy Dam and Bert Curtis's response,4/24/1957,"bert curtis; Bruces Eddy; Kester, Linda J.; Wellesley College;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-040,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,96
Bruces Eddy information request,"Kester, Linda J.; Curtis, Bert",A letter to Bert Curtis requesting information on the Bruces Eddy Dam and Bert Curtis's response,5/8/1957,"bert curtis; Bruces Eddy; Kester, Linda J.; Wellesley College;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-041,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,99
Letter from Bert Curtis,"Curtis, Bert",A letter to Howard Stinson regarding Bruces Eddy,4/8/1957,"bert curtis; Stinson, Howard; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-039,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,92
The Washington Water Power Company,"Robinson, K.M.","A letter to K.M. Robinson from Bert Curtis, discussing General Sturgis",4/29/1955,"bert curtis; Robinson, K.M.; Penny Cliffs; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-004,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,11
The Washington Water Power Company,"Curtis, Bert","A letter to K.M. Robinson from Bert Curtis, discussing the congressional bill on Trinity River",12/22/1955,"bert curtis; Robinson, K.M.; Penny Cliffs; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-017,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,21
Letter to Len Jordan,"Curtis, Bert","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",5/12/1955,"bert curtis; Jordan, Len; Penny Cliffs; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-008,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,13
Letter to Len Jordan,"Curtis, Bert","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",6/2/1955,"bert curtis; Jordan, Len; Penny Cliffs; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-010,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,19
Letter to Len Jordan,"Curtis, Bert","A Letter to Len Jordan from Bert Curtis, advocating the Clearwater dam projects.",4/19/1955,"bert curtis; Jordan, Len; Penny Cliffs; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-003,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,37
Letter to Major General Samuel D. Sturgis Jr.,"Curtis, Bert","A Letter to Major General Samuel D. Sturgis, in which, Burt Curtis discusses the proposed Bruces Eddy and Penny Cliffs Projects.",3/10/1955,"bert curtis; Sturgis Jr., Samuel D.; Penny Cliffs; Bruces Eddy;","MG 147, Box 3, Folder 7a",03-7a-002,,Correspondence Files,text,,Dworshak Dam (Idaho),,,5
Flood Control Projects,House of Representatives (US),A listing of flood control projects throughout the United States,9/19/1962,Flood control; House of Representatives;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-037,,,text,application/pdf,Dworshak Dam (Idaho),,,409
Message to Nixon,"Curtis, Bert","A message from Bert Curtis to Vice President Nixon, demanding the introduction of the Bruces Eddy project.",3/9/1956,"bert curtis; Nixon, Richard; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-025,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,61
Message from Senator Dworshak,"Curtis, Bert",A message to Senator Dworshak urging for a partnership on the Bruces Eddy Bill.,7/15/1955,"Dworshak, Henry Clarence; bert curtis;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-013,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,1
Dworshak Dam Project 23 (Ahsahke),,"A nice view of Ahsahka & the forks of the river. Note on back: 'Note the work by Murphy Bros. of  Spokane has just started in the construction of the access road up to dam site. See the clearing on the left. Ahsahka mill, lower, and Orofino in the distance, upstream on upper right. Canoe camp is marked by wax pencil. This is where Lewis and Clark stopped in 1805 and changed their horses for canoes to continue their trip to the mouth of the Columbia. This is now a part of the Nez perce Historical Park. Bet they never thought of a dam when they were there.  (A. B. Curtis)'",1966, Ahsahka mill; forks; river; Murphy Bros.; construction; access road; clearing; Orofino; Canoe camp; Lewis; Clark; 1805; Nez perce Historical Park,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00721,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,509
Letter from a dam hater,"Storholt, Frank",A North Idahoan expresses unhappiness at the construction of the dam.,1/17/1965,"bert curtis; Storholt, Frank; ","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-062,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,158
Dworshak Dam Project 59 (Army),,"A number of Army people looking over the project on Aug. 19. Note on back: 'Left to Right: Robert Oud, Orofino; Bob Owsley, Corps of Engineers, local project supt. for a time; A.B. Curtis, Mayor of Orofino; Col. Frank D. McElwee, chief of construction for the Army; and a couple other Corps of Engineers people.'",8/19/1965,  Army; August 19,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00790,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,545
The Washington Water Power Company Press Release,The Washington Water Power Company,"A press release issued by the Washington Water Power Company, with handwritten notes by Bert Curtis",6/21/1956,"bert curtis; Robinson, K.M.; Bruces Eddy; The Washington Water Power Company","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-037,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,88
"Proponents Say Approval Voiced for 3 Dams by Army Engineers Fish and Game will Suffer, Hear",,A proposal by the Army Engineers for three dams on the Clearwater and Snake Rivers won approval,11/21/1953,Army; Engineers; Dams; Clearwater;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-039,Coeur D'Alene Press,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,803
Resolution 18,,A resolution on the Bruces Eddy Project,6/21/1956,"bert curtis; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-038,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,90
Reply to Curtis from the Office of the Vice President,"King, Robert L.",A response to Bert Curtis's letter to the Vice President,3/15/1956,"bert curtis; Nixon, Richard; Bruces Eddy;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-026,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,63
Response to the Bruces Eddy Bill,"Curtis, Bert",A response to the Bruces Eddy Bill from Bert Curtis,1/9/1956,Bruces Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-021,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,43
Response to the Bruces Eddy Bill,"Smith, Allan A.",A response to the Bruces Eddy Bill to Bert Curtis,1/11/1956,Bruces Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-022,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,55
Radio transcript,"Thomas, Don","A scathing indictment of the Dworshak Dam, broadcast over the radio",9/28/1971,"Thomas, Don;  Criticism;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-051,,,text,application/pdf,Dworshak Dam (Idaho),,,476
Resource Tour,Le Gresley  Kooskia,A stop was made at the site of the proposed Dworshak Dam.,1959, Resource Tour; Bruce's Eddy; 1959,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00368,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.515758,-116.298196,610
Bruce's Eddy study,,A study on the Bruce's Eddy Project,9/21/1960,Bruces Eddy;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-033,,,text,application/pdf,Dworshak Dam (Idaho),,,396
Critical Acreage of Forests,,A summary of Critical Acreage in North Idaho forests,3/9/1955,"bert curtis; Robinson, K.M.; Selway; Lochsa; Clearwater National Forest;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-003,,,text,application/pdf,Dworshak Dam (Idaho),,,221
Dworshak Dam Project 60 (A.B. Curtis at first concrete pour),"Cronk & Associates, Angwin, Ca.",A.B. Curtis - taken at the time of the first concrete pour on the job.,1968,  A.B. Curtis; concrete pour,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00791,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,546
Curtis Urges Good Water Management,,"A.B. Curtis, Orofino mayor said that Idaho water resources must have the best possible management",7/30/1958,A.B. Curtis; Mayor; Idaho; Water; Resources;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-079,Coeur D'Alene Press,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,879
Proposed Dam Not Damaging,,"A.B. Curtis, said that the proposed Bruce's Eddy project on the Clearwater river would not endanger elk herds",10/7/1953,A.B. Curtis; Republican; Bruce's Eddy; Clearwater river; Elk;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-053,,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,831
Letter from A.P. Rollins Jr.,"Rollins Jr., A.P.",A.P. Rollins thanks Curtis for his work on Dworshak Dam,6/22/1973,"bert curtis; Connell, Richard M.; Corps of Engineers; ","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7a-081,,Correspondence Files,text,application/pdf,Dworshak Dam (Idaho),,,209
Letter to Bert Curtis,"Aandahl, Fred G.","Aandahl answers some questions of Curtis's, and encloses a copy of an address given by Ralph A. Tudor to the Municipal Forum, New York City, regarding cooperation between the federal government and private power companies.",3/23/1954,"bert curtis; Aandahl, Fred G.; Tudor, Ralph A;","MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7b-008,,,text,application/pdf,Dworshak Dam (Idaho),,,238
Lewiston Write Takes Issue with Columnist On Dam Issue,Jack O'Connor,About people who want dams built on Clearwater drainage at Penny Cliffs,1/18/1954,Penny Cliffs; Clearwater; Drainage;,"MG 147, Albert Bruce Curtis. Papers, 1927-1977, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",03-7c-028,Lewiston Morning Tribune,Newspaper Clipping,text,application/pdf,Dworshak Dam (Idaho),,,781
Dworshak Dam Project 99 (coffer dam),"Curtis, A.B. Orofino","Aerial view looking upstream.  The very base of the dam is being laid.  Also shown are the tubes coming out, the penstocks for power & coffer dam.",1969,  base; tubes; penstocks; coffer dam,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00850,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,586
Dworshak Dam Project 27 (Foot bridge),,Aerial view of dam site. Also shown is foot bridge to the Merry place.,1955, aerial view; dam site; foot bridge; Merry; 1955,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00725,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,513
Dworshak Dam Project 28 (Merry place),,Aerial view of dam site. Also shown is the Merry place.,1955, aerial view; dam site; Merry; 1955,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00726,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,514
Dworshak Dam Project 26 (Aerial view of dam site),,Aerial view of dam site. Showing a little farm land - the Merry place just under the plane.,1955, aerial view; dam site; farm; plane; Merry,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00724,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,512
Dworshak Dam Project 95 (fish hatchery),"Curtis, A.B. Orofino",Aerial view of fish hatchery.  Lower Orofino can be seen on the lower side of the photo.,1969,  fish hatchery; Orofino,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00846,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.501508,-116.321354,581
Dworshak Dam Project 67 (Aerial view before construction),,Aerial view of site before anything happened,1954,  aerial view; before; site,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00798,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,552
"Dworshak Dam Project 49 (June 2, 1965)",,Aerial view of site before diversion tunnel & other work got underway. You can see the foot bridge & road upstream to location.,6/2/1965,  Aerial view; June 2; site; diversion tunnel; foot bridge; road,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00776,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,535
Dworshak Dam Project 66 (Clearing completed),,Aerial view of site. Clearing for dam location has been done- Orofino in distance.,1966,  aerial view; clearing; dam location; Orofino; done,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00797,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,551
Dworshak Dam Project 94 (Elk creek),"Curtis, A.B. Orofino",Aerial view of the clearing up the pool near Elk creek.,1968,  clearing; creek,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00845,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,580
Dworshak Dam Project 96 (fish hatchery),"Curtis, A.B. Orofino",Aerial view of the forks of the river & fish hatchery.  Lower Orofino can be seen on the lower side of the photo.,1969,  fish hatchery; Orofino,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00847,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.501508,-116.321354,582
Dworshak Dam Project 93 (project area),"Curtis, A.B. Orofino",Aerial view of the project area.,1968,  dam,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00844,,color photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),46.513913,-116.297579,579
Dworshak Dam Project 25 (Valley),,Aerial view of the valley before any work started. Looking right at the mouth of the N. Fk. of the Clearwater River and Ahsahka.  Orofino in distance.,1965, aerial view; valley; mouth; North Fork; Clearwater River; Ahsahka; Orofino,"PG 13, A.B. Curtis Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",13-00723,,black and white photograph,image;stillImage,image/jpg,Dworshak Dam (Idaho),,,511
