title,description,creator,date,source,identifier,format_original,type,format,rights,rightsstatement,language,datedigital,referenceurl,cdmid,cdmfilename,objectid,subject
"Lewiston Orchards Life, 1913 July","Vol. 2 no. 07, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,7/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191307,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/233,233,232.pdf,spec_lof233,harvesting;horticulture;social networking;societies (associations);clubs (associations);Fourth of July;weather;roads;recipes;pruning;summer (season);pear (genus);peaches (fruits)
"Lewiston Orchards Life, 1913 October","Vol. 2 no. 10, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,10/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191310,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/234,234,233.pdf,spec_lof234,grain (seed);country houses;social networking;societies (associations);clubs (associations);experts (qualified people);groundcover;agricultural cooperatives;evergreens;evaporation;market conditions;market prices;elementary schools (institutions);peaches (fruits);fairs;rose (genus)
"Lewiston Orchards Life, 1914 March","Vol. 3 no. 03, Printed in Lewiston, ID",Lewiston Orchards Life Publishing Company,3/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",191403,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/235,235,234.pdf,spec_lof235,market gardens;orchards;social networking;societies (associations);clubs (associations);apples (fruits);elementary school students;advertising;recipes;pigs (genus);livestock;schoolyards;highways;spring (season)
"Lewiston Orchards Life, 1912 June (Vol. 1 no. 01)","Vol. 1 no. 01, Printed in Lewiston, ID.",Lewiston Orchards Life Publishing Company,6/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191206,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/244,244,243.cpd,spec_lof244,schools (buildings);social networking;societies (associations);clubs (associations);country houses;harvesting;packing (preparation for storage and transporting);pest control;pests (organisms);water supply systems;agricultural cooperatives
"Lewiston Orchards Life, 1912 July (Vol. 1 no. 02)","Vol. 1 no. 02, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,7/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191207,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/253,253,252.cpd,spec_lof253,country houses;agricultural cooperatives;packing houses;social networking;societies (associations);clubs (associations);advertising;roads;pruning;summer (season);harvesting;packing houses;selling;land development
"Lewiston Orchards Life, 1912 October (Vol. 1 no. 05)","Vol. 1 no. 05, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,10/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191210,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/262,262,261.cpd,spec_lof262,roads;social networking;societies (associations);clubs (associations);landscaping;rivers;fairs;advertising;publishing;journeys;vocational training;schools (institutions);pears (genus);apples (fruits);marketing;peaches (fruits);recipes
"Lewiston Orchards Life, 1912 September (Vol. 1 no. 04)","Vol. 1 no. 04, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,9/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191209,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/271,271,270.cpd,spec_lof271,packing houses;social networking;societies (associations);clubs (associations);country houses;children (people by age group);summer (season);fruit (plant components);pruning;vocational training;schools (institutions);residents;landscaping
"Lewiston Orchards Life, 1912 August (Vol. 1 no. 03)","Vol. 1 no. 03, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,8/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191208,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/280,280,279.cpd,spec_lof280,"pictorial views;land development;social networking;societies (associations);clubs (associations);residents;youth clubs;agriculture (farming, activity);irrigation;agricultural cooperatives;marketing;country houses"
"Lewiston Orchards Life, 1913 January (Vol. 2 no. 01)","Vol. 2 no. 01, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,1/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191301,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/289,289,288.cpd,spec_lof289,apples (fruits);social networking;societies (associations);clubs (associations);agricultural cooperatives;pears (genus);walnuts (nuts);pruning;vocational training;schools (institutions);winter;entomology;groundcover
"Lewiston Orchards Life, 1914 May (Vol. 3 no. 05)","Vol. 3 no. 05, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,5/1/1914,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191405,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/298,298,297.cpd,spec_lof298,planting plans;social networking;societies (associations);clubs (associations);community development;landscaping;highways;bee (Avis genus);baseball (field sport);orchards;irrigation
"Lewiston Orchards Life, 1913 May (Vol. 2 no. 05)","Vol. 2 no. 05, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,5/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191305,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/308,308,307.cpd,spec_lof308,pears (genus);social networking;societies (associations);clubs (associations);advertising;bee (Avis genus);pests (organisms);telephone systems;horticulture;railroads (infrastructure);floriculturists;apples (fruits);obituaries;residents;dairy farms
"Lewiston Orchards Life, 1912 December (Vol. 1 no. 07)","Vol. 1 no. 07, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,12/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191212,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/321,321,320.cpd,spec_lof321,pears (genus);social networking;societies (associations);clubs (associations);market prices;taxes;orchards;irrigation systems;boys;typical floor plans;plant trellis;pruning;horticulture;obituraries;country houses;vocational training;continuing education;songs (musical compositions);horticulture;apples (fruits)
"Lewiston Orchards Life, 1912 November (Vol. 1 no. 06)","Vol. 1 no. 06, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,11/1/1912,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191211,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/334,334,333.cpd,spec_lof334,irrigation systems;peaches (fruits);social networking;societies (associations);clubs (associations);orchards;apples (fruits);planting;rural development;horticulture;canneries;vocational training;schools (institutions);studying;flower gardens;community development;continuing education
"Lewiston Orchards Life, 1913 February (Vol. 2 no. 02)","Vol. 2 no. 02, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,2/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191302,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/347,347,346.cpd,spec_lof347,irrigation systems;apples (fruits);views (general appearances);social networking;societies (associations);clubs (associations);weather;orchards;continuing education;FAQs;obituaries;vineyards;grapes (berry fruit);cherry (plant);market prices;community development
"Lewiston Orchards Life, 1913 April (Vol. 2 no. 03)","Vol. 2 no. 04, Printed in Lewiston, ID. ",Lewiston Orchards Life Publishing Company,4/1/1913,"Day-NW Oversize SB 1 L49, Day-Northwest Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",LOL_191304,Newsletter,text,application/pdf,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng,2013,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_lof/id/360,360,359.cpd,spec_lof360,apples (fruits);market prices;social networking;societies (associations);clubs (associations);birds (animals);planting;youth (people);weather;telephone systems;landscaping;pears (genus);excerpts;strawberries (fruits);market prices;vineyards;irrigation;dirt roads;poultry;schools (buildings);country houses
