page,title,headline,text,mediacredit,coordinates,morethan1,pick,cdmid,format,imagedate,objectid,identifier,location,architect,date,date-range,costs,costnotes,description,additions,usehistory,namehistory,standing,standingnotes,sources,marker,search,
EngineeringBuilding(Old).html,Engineering Building (Old),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/EngineeringBuilding(Old).html"">Engineering Building (Old)</a>","<strong>Dates:</strong> 1901-1951<br /><strong>Cost:</strong> $28,800<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02324.html"">56-1</a>","46.724873, -117.009963",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1450/full/pct:70/0/default.jpg,1450,image/jpeg,1903,campus02324,56-1,South side of quadrangle,Unknown,1901,1901-1951,"28,800","$28,800 (state appropriations)","Brick, basement and three floors, 60' x 108', 20,982 sq. ft.",,Originally Applied Science Building; then used by School of Mines; In 1906 housed engineering classrooms and labs.,Applied Science Building; School of Mines; Engineering Building,,Razed Summer 1951 due to unsafe conditions. Replaced by Home Economic Building,"Cards, UG 44, Argonaut",wht_diamond,"Engineering Building (Old) | 46.724873, -117.009963 | South side of quadrangle | Unknown | 1901-1951 |  | 28800 | $28,800 (state appropriations) | Brick, basement and three floors, 60' x 108', 20,982 sq. ft. |  | Originally Applied Science Building; then used by School of Mines; In 1906 housed engineering classrooms and labs. | Applied Science Building; School of Mines; Engineering Building | Razed Summer 1951 due to unsafe conditions. Replaced by Home Economic Building",
FarmHouse.html,Farm House,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/FarmHouse.html"">Farm House</a>","<strong>Dates:</strong> 1955-<br /><strong>Cost:</strong> $170,842<br /><strong>Architect: </strong> Hugh Richardson (Lewiston); Contractors: Hanson & Parr Construction Co. of Spokane","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00381.html"">126-6</a>","46.723934, -117.008775",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/548/full/pct:70/0/default.jpg,548,image/jpeg,1954,campus00381,126-6,"Southwest corner of Blake Avenue and Nez Perce, south of Ridenbaugh Hall (on the site of Center Cottage) 1101 Blake Ave",Hugh Richardson (Lewiston); Contractors: Hanson &amp; Parr Construction Co. of Spokane,1955,1955-,"170,842","$130,000 (bonds, to be paid by income from room rentals) Total cost $170,842","Wood frame with brick and transite veneer, one story lounge, kitchen and dining area and two story dormitory providing housing for 55-60 students, 12,119 sq. ft.",,Women's housing; men's housing,"Named for Permeal French, Dean of Women, 1908-1936; ca.1971 became Farm House, a men's fraternity",Standing Building,,"Cards, UG 12 (2281)",wht_diamond,"Farm House | 46.723934, -117.008775 | Southwest corner of Blake Avenue and Nez Perce, south of Ridenbaugh Hall (on the site of Center Cottage) 1101 Blake Ave | Hugh Richardson (Lewiston); Contractors: Hanson &amp; Parr Construction Co. of Spokane | 1955- |  | 170842 | $130,000 (bonds, to be paid by income from room rentals) Total cost $170,842 | Wood frame with brick and transite veneer, one story lounge, kitchen and dining area and two story dormitory providing housing for 55-60 students, 12,119 sq. ft. |  | Women's housing; men's housing | Named for Permeal French, Dean of Women, 1908-1936; ca.1971 became Farm House, a men's fraternity |",
FieldHouse.html,Field House,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/FieldHouse.html"">Field House</a>","<strong>Dates:</strong> 1948-1974<br /><strong>Cost:</strong> $70,000<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00217.html"">119-1</a>","46.728231,-117.016523",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/472/full/pct:70/0/default.jpg,472,image/jpeg,1948,campus00217,119-1,SW end of McLean Field,Unknown,1948,1948-1974,"70,000","$70,000 (State appropriation and student fees)","Heavy timber construction and aluminum sheeting, concrete foundation, no floor, unsupported roof, 100' x 175'",,,,,Torn down ca. Summer 1974,"Cards, maps",wht_diamond,"Field House | 46.728231,-117.016523 | SW end of McLean Field | Unknown | 1948-1974 |  | 70000 | $70,000 (State appropriation and student fees) | Heavy timber construction and aluminum sheeting, concrete foundation, no floor, unsupported roof, 100' x 175' |  |  |  | Torn down ca. Summer 1974",
FoodScienceBuilding.html,Food Science Building,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/FoodScienceBuilding.html"">Food Science Building</a>","<strong>Dates:</strong> 1941-<br /><strong>Cost:</strong> $103,750<br /><strong>Architect: </strong> Tourtellotte & Hummell (Boise)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02904.html"">92-8</a>","46.728001, -117.011553",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1969/full/pct:70/0/default.jpg,1969,image/jpeg,1942,campus02904,92-8,NE corner Idaho Ave and Line Street 860 W. Idaho Ave,Tourtellotte &amp; Hummell (Boise),1941,1941-,"103,750","$103,750 (state appropriation)","Reinforced concrete basement with brick walls, 94' x 92', basement and two floors, flat roof, 14,995 sq. ft.",,Dairy science classrooms and labs; currently fermentation/bacteriology/ WAMI research and teaching labs; classrooms,Dairy Science Building; Food Research Center; Food Science Building,Standing Building,,"Cards, UG 44; Morton, Argonaut",wht_diamond,"Food Science Building | 46.728001, -117.011553 | NE corner Idaho Ave and Line Street 860 W. Idaho Ave | Tourtellotte &amp; Hummell (Boise) | 1941- | Occupied 1942 | 103750 | $103,750 (state appropriation) | Reinforced concrete basement with brick walls, 94' x 92', basement and two floors, flat roof, 14,995 sq. ft. |  | Dairy science classrooms and labs; currently fermentation/bacteriology/ WAMI research and teaching labs; classrooms | Dairy Science Building; Food Research Center; Food Science Building |",
ForestryLaboratory.html,Forestry Laboratory,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/ForestryLaboratory.html"">Forestry Laboratory</a>","<strong>Dates:</strong> 1935-1972<br /><strong>Cost:</strong> $5,247<br /><strong>Architect: </strong> Constructed by UI Department of Buildings and Grounds","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02772.html"">78-2</a>","46.729516,-117.009971",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1849/full/pct:70/0/default.jpg,1849,image/jpeg,1941,campus02772,78-2,Line Street,Constructed by UI Department of Buildings and Grounds,1935,1935-1972,"5,247",,"One story wood frame and concrete, cedar lap siding, cedar shingles, gable roof, 98' x 30'",,"Moved from S.E. corner of Sixth and Line Streets to Urquhart Street; to Line St. north of 6th (1950), to make room for Engineering Building. Combined with Pea Weevil Research Laboratory building. Later Industrial Arts, then Graduate Art Studio","Forestry Laboratory, Industrial Arts Building following 1952 fire, Graduate Art Studio (GAS House), 1970-1972",,Torn down 1972,"Cards, maps",wht_diamond,"Forestry Laboratory | 46.729516,-117.009971 | Line Street | Constructed by UI Department of Buildings and Grounds | 1935-1972 |  | 5247 |  | One story wood frame and concrete, cedar lap siding, cedar shingles, gable roof, 98' x 30' |  | Moved from S.E. corner of Sixth and Line Streets to Urquhart Street; to Line St. north of 6th (1950), to make room for Engineering Building. Combined with Pea Weevil Research Laboratory building. Later Industrial Arts, then Graduate Art Studio | Forestry Laboratory, Industrial Arts Building following 1952 fire, Graduate Art Studio (GAS House), 1970-1972 | Torn down 1972",
ForneyHall.html,Forney Hall,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/ForneyHall.html"">Forney Hall</a>","<strong>Dates:</strong> 1923-<br /><strong>Cost:</strong> $100,000<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02483.html"">60-14</a>","46.724313, -117.008115",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1566/full/pct:70/0/default.jpg,1566,image/jpeg,1927,campus02483,60-14,Blake Ave. 1210 Blake Ave (Continuing Ed. Bldg.),Unknown,1923,1923-,"100,000","$100,000 (Financed by U of I Building Association composed of Moscow business men and leased to U of I. Indebtedness later paid off.","Three story reinforced concrete, mission brick, gable roof with wooden shingles. Basement and sub-basement, collegiate Gothic style, 65' x 140'",Remodeled in 1971 with University offices on ground floor and students apartments on upper floors,"Women's dormitory for 120 women, currently used for offices, institutes and guest residence center","Named for Mary E. Forney of Moscow, wife of first acting president of the University, James E. Forney. Forney Hall, Continuing Education Building",Standing Building,,Cards,wht_diamond,"Forney Hall | 46.724313, -117.008115 | Blake Ave. 1210 Blake Ave (Continuing Ed. Bldg.) | Unknown | 1923- |  | 100000 | $100,000 (Financed by U of I Building Association composed of Moscow business men and leased to U of I. Indebtedness later paid off. | Three story reinforced concrete, mission brick, gable roof with wooden shingles. Basement and sub-basement, collegiate Gothic style, 65' x 140' | Remodeled in 1971 with University offices on ground floor and students apartments on upper floors | Women's dormitory for 120 women, currently used for offices, institutes and guest residence center | Named for Mary E. Forney of Moscow, wife of first acting president of the University, James E. Forney. Forney Hall, Continuing Education Building |",
GAS(GraduateArtStudio)House.html,GAS (Graduate Art Studio) House,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/GAS(GraduateArtStudio)House.html"">GAS (Graduate Art Studio) House</a>",<strong>Dates:</strong> 1918-<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02369.html"">56-45</a>","46.724589, -117.010309",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/1503/full/pct:70/0/default.jpg,1503,image/jpeg,1918,campus02369,56-45,South of Home Economics Building 670 Nez Perce Drive,Unknown,1918,1918-,,(State appropriation),"Reinforced concrete with brick veneer, basement and two floors, 60' x 108'. Annex is wood frame siding and shingles, gable roof; 11,505 sq. ft.",,"Engineering shop and testing, later studios for graduate art students",Also known as Engineering Annex; Engineering Shop Building; later (ca. 1971) Graduate Art Studio (GAS House),Standing Building,,"Cards, UG 44, Morton",wht_diamond,"GAS (Graduate Art Studio) House | 46.724589, -117.010309 | South of Home Economics Building 670 Nez Perce Drive | Unknown | 1918- |  |  | (State appropriation) | Reinforced concrete with brick veneer, basement and two floors, 60' x 108'. Annex is wood frame siding and shingles, gable roof; 11,505 sq. ft. |  | Engineering shop and testing, later studios for graduate art students | Also known as Engineering Annex; Engineering Shop Building; later (ca. 1971) Graduate Art Studio (GAS House) |",
Gault-UphamHalls.html,Gault-Upham Halls,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/Gault-UphamHalls.html"">Gault-Upham Halls</a>","<strong>Dates:</strong> 1954-2003<br /><strong>Cost:</strong> $1,303,000<br /><strong>Architect: </strong> Hugh Richardson, (Lewiston); major contractor Commercial Builders (Moscow).","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03008.html"">95-25</a>","46.730171, -117.013865",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/140/full/pct:70/0/default.jpg,140,image/jpeg,1970,campus03008,95-25,"North side of west Sixth Street between Line and Rayburn, site of the West Sixth","Hugh Richardson, (Lewiston); major contractor Commercial Builders (Moscow).",1954,1954-2003,"1,303,000","$1,303,000 (Bonds and U.S. Housing and Home finance Agency)","Three stories and basement, reinforced concrete structural frame encased in brick, flat roof. Built to replace Pine Hall. Upham is West dormitory and Gault the East. Common central kitchen, but each dorm has own dining, recreation, study rooms. 83,000 s.f","Gault was extensively damaged by an arson fire October 19, 1956 and renovated in 1957",Men's dormitory housing up to 344 students,"Named for Franklin B. Gault, University President, 1892-1898 and Alfred Horatio Upham, University President, 1920-1928",,Demolished 2003 for phase two of Living Learning Community,"Cards, UG 12 (2282)",wht_diamond,"Gault-Upham Halls | 46.730171, -117.013865 | North side of west Sixth Street between Line and Rayburn, site of the West Sixth | Hugh Richardson, (Lewiston); major contractor Commercial Builders (Moscow). | 1954-2003 |  | 1303000 | $1,303,000 (Bonds and U.S. Housing and Home finance Agency) | Three stories and basement, reinforced concrete structural frame encased in brick, flat roof. Built to replace Pine Hall. Upham is West dormitory and Gault the East. Common central kitchen, but each dorm has own dining, recreation, study rooms. 83,000 s.f | Gault was extensively damaged by an arson fire October 19, 1956 and renovated in 1957 | Men's dormitory housing up to 344 students | Named for Franklin B. Gault, University President, 1892-1898 and Alfred Horatio Upham, University President, 1920-1928 | Demolished 2003 for phase two of Living Learning Community",
Gauss-JohnsonEngineeringBuildingandLaboratory.html,Gauss-Johnson Engineering Building and Laboratory,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/Gauss-JohnsonEngineeringBuildingandLaboratory.html"">Gauss-Johnson Engineering Building and Laboratory</a>","<strong>Dates:</strong> 1941-<br /><strong>Cost:</strong> $149,102<br /><strong>Architect: </strong> Hugh Richardson (Lewiston)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02810.html"">84-05a</a>","46.729399, -117.011462",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1886/full/pct:70/0/default.jpg,1886,image/jpeg,1942,campus02810,84-05a,Sixth and Line Streets 620 S. Line St,Hugh Richardson (Lewiston),1941,1941-,"149,102","$149,102; $225,813","Concrete and brick construction, tile partitions, flat and gable roof, basement and one floor with balcony, 197' x 118' 27,029 sq. ft.; Reinforced concrete, brick veneer, two floors and basement, 155' x 52' 25,025 sq. ft.",,"Mechanical engineering teaching and research labs, classroom, faculty and grad offices","Named for Henry F. Gauss, ME department head 1932-1952. Originally Kirtley Engineering Lab #1; Named for J. Hugo Johnson, EE department head, 1932-1954. Originally Kirtley Engineering Laboratory #2",Standing Building,,"Morton, UGG 44, Cards",wht_diamond,"Gauss-Johnson Engineering Building and Laboratory | 46.729399, -117.011462 | Sixth and Line Streets 620 S. Line St | Hugh Richardson (Lewiston) | 1941- | Labrotory built in 1949 | 149102 | $149,102; $225,813 | Concrete and brick construction, tile partitions, flat and gable roof, basement and one floor with balcony, 197' x 118' 27,029 sq. ft.; Reinforced concrete, brick veneer, two floors and basement, 155' x 52' 25,025 sq. ft. |  | Mechanical engineering teaching and research labs, classroom, faculty and grad offices | Named for Henry F. Gauss, ME department head 1932-1952. Originally Kirtley Engineering Lab #1; Named for J. Hugo Johnson, EE department head, 1932-1954. Originally Kirtley Engineering Laboratory #2 |",
GeologyBuilding.html,Geology Building,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/GeologyBuilding.html"">Geology Building</a>","<strong>Dates:</strong> 1906-1984<br /><strong>Cost:</strong> $17,700<br /><strong>Architect: </strong> Unknown","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02847.html"">86-2</a>","46.727777, -117.01087",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1914/full/pct:70/0/default.jpg,1914,image/jpeg,1919,campus02847,86-2,S.E. corner Idaho Avenue and Pine Street,Unknown,1906,1906-1984,"17,700","$17,700 (State appropriation)","One story, floor area 108' x 36', 5928 sq. ft., reinforced concrete frame, brick facing with rubble foundations, steel roof trusses and wooden roof. Floor plan resembles an 'I'",,"Originally used as an assay building, became instructional building for geology, and between 1955 and 1984 was university museum and art gallery",,,Demolished summer of 1984 to allow for construction of Life Sciences North,"Cards, UG 44, Morton, UG 12 (2315)",wht_diamond,"Geology Building | 46.727777, -117.01087 | S.E. corner Idaho Avenue and Pine Street | Unknown | 1906-1984 |  | 17700 | $17,700 (State appropriation) | One story, floor area 108' x 36', 5928 sq. ft., reinforced concrete frame, brick facing with rubble foundations, steel roof trusses and wooden roof. Floor plan resembles an 'I' |  | Originally used as an assay building, became instructional building for geology, and between 1955 and 1984 was university museum and art gallery |  | Demolished summer of 1984 to allow for construction of Life Sciences North",
GibbHall(LifeSciencesNorth).html,Gibb Hall (Life Sciences North),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/GibbHall(LifeSciencesNorth).html"">Gibb Hall (Life Sciences North)</a>","<strong>Dates:</strong> 1984-<br /><strong>Cost:</strong> $10,000,000<br /><strong>Architect: </strong> Team 7 Consortium (Coeur d'Alene)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00416.html"">132-6</a>","46.727692,-117.010443",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/656/full/pct:70/0/default.jpg,656,image/jpeg,1990,campus00416,132-6,"Idaho Ave, between Pine and Ash streets 820 Pine St",Team 7 Consortium (Coeur d'Alene),1984,1984-,"10,000,000",$10 million,"Four story brick and stone construction, 56,000 sq. ft.",,"Bacteriology/Biochemistry/Biology/ UI Research, teaching and research labs","Named for Richard D. Gibb, President of the University from 1977-1989, in November 1993",Standing Building,,"Morton, Argonaut, VF",wht_diamond,"Gibb Hall (Life Sciences North) | 46.727692,-117.010443 | Idaho Ave, between Pine and Ash streets 820 Pine St | Team 7 Consortium (Coeur d'Alene) | 1984- | Occupied 1986 | 10000000 | $10 million | Four story brick and stone construction, 56,000 sq. ft. |  | Bacteriology/Biochemistry/Biology/ UI Research, teaching and research labs | Named for Richard D. Gibb, President of the University from 1977-1989, in November 1993 |",
GolfCourseandClubhouse.html,Golf Course and Clubhouse,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/GolfCourseandClubhouse.html"">Golf Course and Clubhouse</a>","<strong>Dates:</strong> 1969-<br /><strong>Cost:</strong> $32,455<br /><strong>Architect: </strong> Clin, Smull Hamill, Shaw and Assoc. (Boise)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00628.html"">164-1</a>","46.723423, -117.016698",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/791/full/pct:70/0/default.jpg,791,image/jpeg,1970,campus00628,164-1,University golf course,"Clin, Smull Hamill, Shaw and Assoc. (Boise)",1969,1969-,"32,455","$2,455; additions $30,000. Original cost was by student activities bond fund","One story, frame construction, plaster walls, asphalt shingles, concrete foundation","Club house wing added in 1948, previously was caretakers cottage",Originally caretakers cottage and James Memorial Clubhouse 1936-1969. In 1969 rebuilt as ASUI Clubhouse.,"In the fall of 1952 was named for Francis L. James, golf coach and designer of the course who had died the previous spring.",Standing Building,,Cards,wht_diamond,"Golf Course and Clubhouse | 46.723423, -117.016698 | University golf course | Clin, Smull Hamill, Shaw and Assoc. (Boise) | 1969- |  | 32455 | $2,455; additions $30,000. Original cost was by student activities bond fund | One story, frame construction, plaster walls, asphalt shingles, concrete foundation | Club house wing added in 1948, previously was caretakers cottage | Originally caretakers cottage and James Memorial Clubhouse 1936-1969. In 1969 rebuilt as ASUI Clubhouse. | In the fall of 1952 was named for Francis L. James, golf coach and designer of the course who had died the previous spring. |",
Greenhouse(First).html,Greenhouse (First),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/Greenhouse(First).html"">Greenhouse (First)</a>",<strong>Dates:</strong> 1896-1920<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus01282.html"">210-14a</a>","46.725085,-117.010053",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/2283/full/pct:70/0/default.jpg,2283,image/jpeg,1899,campus01282,210-14a,East of the old Administration Building near Blake Ave.,Unknown,1896,1896-1920,,,"Stone foundation, brick and glass walls, cement floor, iron rafters, 18' x 50'",,Green house,,,No Longer Standing,Cards,wht_diamond,"Greenhouse (First) | 46.725085,-117.010053 | East of the old Administration Building near Blake Ave. | Unknown | 1896-1920 |  |  |  | Stone foundation, brick and glass walls, cement floor, iron rafters, 18' x 50' |  | Green house |  | No Longer Standing",
Greenhouses(1908-).html,Greenhouses (1908- ),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/Greenhouses(1908-).html"">Greenhouses (1908- )</a>",<strong>Dates:</strong> 1908-<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00004.html"">1-012</a>","46.72924,-117.00987",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/1037/full/pct:70/0/default.jpg,1037,image/jpeg,1945,campus00004,1-012,Idaho Avenue 1104 W. 6th St,Unknown,1908,1908-,,,Five glass and steel greenhouses,,Greenhouses (updated and renovations have likely occurred.),,Standing Building,,Cards,wht_diamond,"Greenhouses (1908- ) | 46.72924,-117.00987 | Idaho Avenue 1104 W. 6th St | Unknown | 1908- |  |  |  | Five glass and steel greenhouses |  | Greenhouses (updated and renovations have likely occurred.) |  |",
GymnasiumAnnex.html,Gymnasium Annex,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/GymnasiumAnnex.html"">Gymnasium Annex</a>",<strong>Dates:</strong> 1947-1962<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus03083.html"">3100</a>","46.728211,-117.014793",no,https://digital.lib.uidaho.edu/digital/iiif/pg1/3100/full/pct:70/0/default.jpg,3100,image/jpeg,1949,campus03083,3100,Rayburn Street and Idaho Ave.,Unknown,1947,1947-1962,,,"One story frame construction, wood siding, wood shingles, gable roof, 35' x 150'",,Used for Air Force ROTC and boxing room,,,Removed ca. 1962,"Cards, Maps",wht_diamond,"Gymnasium Annex | 46.728211,-117.014793 | Rayburn Street and Idaho Ave. | Unknown | 1947-1962 |  |  |  | One story frame construction, wood siding, wood shingles, gable roof, 35' x 150' |  | Used for Air Force ROTC and boxing room |  | Removed ca. 1962",
HartungTheater.html,Hartung Theater,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/HartungTheater.html"">Hartung Theater</a>","<strong>Dates:</strong> 1972-<br /><strong>Cost:</strong> $1,435,000<br /><strong>Architect: </strong> C.J. Bellamy & Co. (Coeur d'Alene)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00513.html"">145-2</a>","46.728784, -117.017894",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/664/full/pct:70/0/default.jpg,664,image/jpeg,1972,campus00513,145-2,Stadium Drive 625 Stadium Dr.,C.J. Bellamy &amp; Co. (Coeur d'Alene),1972,1972-,"1,435,000",,"Concrete foundation, walls and footings, brick veneer; 21,683 sq. ft.",,Constructed between 1972 and 1973; officially opened in April 1974. Theater and related shops,"Originally called Performing arts center, later named for Ernest Hartung, President UI 1965-1977",Standing Building,,"Morton, MG 125",wht_diamond,"Hartung Theater | 46.728784, -117.017894 | Stadium Drive 625 Stadium Dr. | C.J. Bellamy &amp; Co. (Coeur d'Alene) | 1972- |  | 1435000 |  | Concrete foundation, walls and footings, brick veneer; 21,683 sq. ft. |  | Constructed between 1972 and 1973; officially opened in April 1974. Theater and related shops | Originally called Performing arts center, later named for Ernest Hartung, President UI 1965-1977 |",
HaysHall.html,Hays Hall,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/HaysHall.html"">Hays Hall</a>","<strong>Dates:</strong> 1926-<br /><strong>Cost:</strong> $100,000<br /><strong>Architect: </strong> David C. Lange M.S., UI architect","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus02423.html"">60-12</a>","46.723956, -117.007836",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/1536/full/pct:70/0/default.jpg,1536,image/jpeg,1936,campus02423,60-12,Blake Avenue 1212 Blake Ave,"David C. Lange M.S., UI architect",1926,1926-,"100,000","$100,000 (Bonds, U of I Building Association)","Five story brick and concrete with full basement, gable roof",Remodelled 1971 to allow University offices on ground floor and student apartments on upper floors.,"Originally Women's dormitory housing 125 girls; Currently Alumni Office, Printing and Design Services, Alumni Residence Center, Arboretum Office",Hayes Hall; Alumni Office,Standing Building,,"Cards, Morton, Facilities Architecture Drawing Archives",wht_diamond,"Hays Hall | 46.723956, -117.007836 | Blake Avenue 1212 Blake Ave | David C. Lange M.S., UI architect | 1926- | Occupied 1927 | 100000 | $100,000 (Bonds, U of I Building Association) | Five story brick and concrete with full basement, gable roof | Remodelled 1971 to allow University offices on ground floor and student apartments on upper floors. | Originally Women's dormitory housing 125 girls; Currently Alumni Office, Printing and Design Services, Alumni Residence Center, Arboretum Office | Hayes Hall; Alumni Office |",
HeatingPlant.html,Heating Plant,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/HeatingPlant.html"">Heating Plant</a>","<strong>Dates:</strong> 1927-<br /><strong>Cost:</strong> $75,000<br /><strong>Architect: </strong> R.L. Nelson, engineer (Spokane)","<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00595.html"">160-1</a>","46.729946, -117.011698",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/924/full/pct:70/0/default.jpg,924,image/jpeg,1930,campus00595,160-1,Sixth and Line Streets,"R.L. Nelson, engineer (Spokane)",1927,1927-,"75,000","$75,000 (Special appropriation state funds under jurisdiction of Department of Public Works)","Brick and concrete, flat roof of composition roofing, four stories high",Mainly boilers added in 1939 and 1948,Steam generation and distribution,"Heating Plant, Power Plant",Standing Building,,"Cards, Morton, Facilities Architecture Drawing Archives",wht_diamond,"Heating Plant | 46.729946, -117.011698 | Sixth and Line Streets | R.L. Nelson, engineer (Spokane) | 1927- |  | 75000 | $75,000 (Special appropriation state funds under jurisdiction of Department of Public Works) | Brick and concrete, flat roof of composition roofing, four stories high | Mainly boilers added in 1939 and 1948 | Steam generation and distribution | Heating Plant, Power Plant |",
HelloWalkandSteps.html,Hello Walk and Steps,"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/HelloWalkandSteps.html"">Hello Walk and Steps</a>",<strong>Dates:</strong> 1910-<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00051.html"">104-4</a>","46.726847,-117.008485",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/205/full/pct:70/0/default.jpg,205,image/jpeg,1960,campus00051,104-4,From the Main entrance of the Admin to the SW corner of University and Blake,Unknown,1910,1910-,,,,,,,Standing Building,,"Olmstead, PG1",wht_diamond,"Hello Walk and Steps | 46.726847,-117.008485 | From the Main entrance of the Admin to the SW corner of University and Blake | Unknown | 1910- |  |  |  |  |  |  |  |",
HomeManagementHouse(Old).html,Home Management House (Old),"<a href=""https://www.lib.uidaho.edu/digital/campus/locations/HomeManagementHouse(Old).html"">Home Management House (Old)</a>",<strong>Dates:</strong> 1920-1966<br /><br /><strong>Architect: </strong> Unknown,"<a target=""_blank"" href=""https://www.lib.uidaho.edu/digital/campus/items/campus00166.html"">114-1</a>","46.727583, -117.009409",yes,https://digital.lib.uidaho.edu/digital/iiif/pg1/337/full/pct:70/0/default.jpg,337,image/jpeg,1932,campus00166,114-1,Ash Street between Idaho and University,Unknown,1920,1920-1966,,,"Two floors, no basement, frame construction, wood siding, gable roof, wood shingles, garage",,"Originally a private house, then became university infirmary. About 1941 it was converted to the home management house and used by Home Economics students",,,Demolished ca. 1966,"Cards, Maps",wht_diamond,"Home Management House (Old) | 46.727583, -117.009409 | Ash Street between Idaho and University | Unknown | 1920-1966 |  |  |  | Two floors, no basement, frame construction, wood siding, gable roof, wood shingles, garage |  | Originally a private house, then became university infirmary. About 1941 it was converted to the home management house and used by Home Economics students |  | Demolished ca. 1966",
