title,creator,description,archival_date,date,date approximate,subject,source,finding_aid,publisher,book relationship,identifier,format original,format,type,rights,rightsstatement,language,date digital,location,state,county,city,geonames,latitude,longitude,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
Milwaukee Lumber Company Log Train and Crew,,"A picture of a train hauling lumber with workers standing around at the East Fork St. Joe-Big Creek drainage. Courtesy of the Superior Publishing Company in Seattle, Washington.",1913,1913,,railroad (infrastructure); steam locomotives; flatcars; log (wood); group portraits; blue collar workers;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 122,69_2_B-3,black and white print,image/jpeg,Image;StillImage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,"East Fork Big Creek, Latah County, ID",Idaho,Latah County,East Fork Big Creek,http://www.geonames.org/5591912/east-fork-big-creek.html,46.9906,-116.7001,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/52,52,146.jp2,/whitepine/image/146.jp2,whitepine52
Corliss Steam Engine and Sign,"Fullerton, Neil","Corliss Steam Engine sign advertising 'The Big Wheel' in Newport, Washington.",1967-04-15,1967-04-15,,information signs; historic sign; steam engine; historic marker,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-15,black and white negative,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Newport, Pend Oreille County, WA",Washington,Pend Oreille County,Newport,http://www.geonames.org/5804694/newport.html,48.1819,-117.0354,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/53,53,147.jp2,/whitepine/image/147.jp2,whitepine53
Ruth Turcotte & June DeGraff [01],,"Ruth Turcotte (left) standing with saw and June DeGraff (right) with axe, in Rose Lake, Idaho. A crowd of spectators are in the background. Courtesy of Ruth Hoerschger Turcotte.",1934,1934,,group portraits; contests; winners; lumbermen; women;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 159,69_2_B-19,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Rose Lake, Kootenai County, ID",Idaho,Kootenai County,Rose Lake,http://www.geonames.org/5605802/rose-lake.html,47.532,-116.4728,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/54,54,148.jp2,/whitepine/image/148.jp2,whitepine54
Loading Railway Cars,"Fullerton, Neil","Two men using an 'A' frame to load railway cars, near Prichard, Idaho.",1923,1923,yes,railroad (infrastructure); flatcars; freight cars; log (wood); arch;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-6,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Prichard, Shoshone County, ID",Idaho,Shoshone County,Prichard,http://www.geonames.org/5604496/prichard.html,47.6563,-115.9768,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/55,55,149.jp2,/whitepine/image/149.jp2,whitepine55
Fort Coeur d'Alene,,A view of Fort Coeur d'Alene (later Fort Sherman) and the mouth of the Coeur D'Alene River.,1884,1884,,fort; snow; winter;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 9,69_2_B-20,black and white print,image/jpeg,Image;StillImage,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,,"North Idaho College, Kootenai County, ID",Idaho,Kootenai County,Coeur d'Alene; North Idaho College,http://www.geonames.org/5602541/north-idaho-college.html,47.6875,-116.796,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/57,57,150.jp2,/whitepine/image/150.jp2,whitepine57
Lake Steamers Sign,"Fullerton, Neil","Lake Steamers historical marker. On Highway 10, east of Coeur d'Alene, Idaho. Sign reads as follows: ' Lake Steamers. Built by the Army in 1880 to carry hay and supplies for Fort Coeur d'Alene, the 'Amelia Wheaton' was the first of a long list of steamers on this lake. Commercial steam boating began in 1884 with the mining rush. In later years, fleets of tall-funneled boats hauled freight, towed logs, and carried passengers and excursionists. Steamers served the lake and river communities until highways changed the transportation pattern.'",1967-04-17,1967-04-17,,information signs; historic sign; steam engine; historic marker,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-16,black and white negative,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Silver Beach, Kootenai County, ID",Idaho,Kootenai County,Coeur d'Alene;Silver Beach,http://www.geonames.org/5607275/silver-beach.html,47.648,-116.7358,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/59,59,152.jp2,/whitepine/image/152.jp2,whitepine59
Incline Railroad,"Cunningham, R.N.","Edward Rutledge Timber Company incline railroad located along Marble Creek, near St. Joe National Forest. Photo is credited to the U.S.D.A. Forest Service.",1923,1923,,railroad (infrastructure);  forests (plant communities); railroad; railroads,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 124,69_2_B-5,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Duplex Creek, Shoshone County, ID",Idaho,Shoshone County,Duplex Creek,http://www.geonames.org/5591718/duplex-creek.html,47.0915,-116.0068,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/60,60,153.jp2,/whitepine/image/153.jp2,whitepine60
Fresh Burn Near Slate Creek,,"Picture of a freshly burned area in Slate Creek, near the Little North Fork of the St. Joe River. The same area had also burned in the 1910 fire and was salvage logged. Courtesy of W. G. Guernsey.",1930,1930,yes,forests (plant communities); fires (events);,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 38,69_2_B-21,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Slate Creek, Latah County, ID",Idaho,Latah County,Slate Creek,http://www.geonames.org/5607528/slate-creek.html,46.999,-116.5371,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/62,62,155.jp2,/whitepine/image/155.jp2,whitepine62
Log Jam [03],"Fullerton, Neil","Pictured is a log jam above drawbridge along Milwaukee Railroad tracks, St. Maries, Idaho.",1938-04-18,1938-04-18,,log (wood); floods (natural events); railroad (infrastructure);,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-22,black and white negative,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries River, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606239/saint-maries-river.html,47.3167,-116.5549,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/63,63,156.jp2,/whitepine/image/156.jp2,whitepine63
Log Jam [02],"Fullerton, Neil","Picture is a log jam near drawbridge in St. Maries, Idaho.",1938-04-18,1938-04-18,,log (wood); floods (natural events); railroad (infrastructure); rivers;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-23,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries River, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606239/saint-maries-river.html,47.3167,-116.5549,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/64,64,157.jp2,/whitepine/image/157.jp2,whitepine64
Fire Damaged Lumber Yard,"Fullerton, Neil",A picture of Rogers Lumber Company Yard at St. Maries after a plant fire displaying heat buckled rails.,1940-09-02,1940-09-02,,lumberyard (stores); fires (events); railroads (infrastructure);,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 41. Also print.,69_2_B-24,black and white negative,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/65,65,158.jp2,/whitepine/image/158.jp2,whitepine65
December Flood,,"A picture of the Flood in St. Maries, Idaho that was taken in December.",1933,1933,,floods (natural events); rivers;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,,69_2_I-25,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries, Benewah County, ID",Idhao,Benewah County,Saint Maries River,http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/66,66,159.jp2,/whitepine/image/159.jp2,whitepine66
"Flood in St. Maries, Idaho.",,"A photo of Milwaukee Lumber Company during flood, St. Maries, Idaho that was taken in December.",1933,1933,,lumberyard (stores); floods (natural events); log (wood); railroad (infrastructure); rivers;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 35,69_2_B-26,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Saint Maries, Benewah County, ID",Idaho,Benewah County,Saint Maries River,http://www.geonames.org/5606232/saint-maries.html,47.3142,-116.5634,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/68,68,160.jp2,/whitepine/image/160.jp2,whitepine68
Logging Camp,,"Rose Lake Lumber Company, Falls Creek Camp. According to Dick Reed this was a typical camp of that time: capacity about 40 men, double deck single bunks, five bunkhouses, wash house, office, _ shack, kitchen and mess house, barn blacksmith shop, barn wood shack, and filers shack. Courtesy of Tom Reed, Coeur d'Alene.",1924,1924,,lumber camps;,"White Pine: King of Many Waters collection, 1964-1970, MG 69, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv75245,Mountain Press Publishing Company,WPKOMW p. 43,69_2_B-27,black and white print,image/jpeg,Image;StillImage,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,"Falls Creek, Shoshone County, ID",Idaho,Shoshone County,Falls Creek,http://www.geonames.org/5592790/falls-creek.html,47.7461,-116.0209,2016-08-12,2018-05-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/whitepine/id/69,69,161.jp2,/whitepine/image/161.jp2,whitepine69
