objectid,title,description,creator,date,subject,,subject (lcsh),keywords,digital collection,source,findingaid,identifier,digital identifier,rights,rightsstatement,format original,type,language,format,cdm_url,cdmid
spec_ji324,Boats at harbor,Boats tethered and moored in harbor.,"Iddings, John Edward",1927,boats; transport; transportation,,India -- Pictorial works;,"boats, transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 015",0106-1-15,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/324,324
spec_ji325,Huddart Parker pier,Huddart Parker Ltr pier in an unknown location.,"Iddings, John Edward",1927,piers; water; crowd,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 016",0106-1-16,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/325,325
spec_ji326,Mont-Saint-Michel,"Mont-Saint-Michel in Normandy, France.","Iddings, John Edward",1927,Le Mont-Saint-Michel (France); Normandy (France); Europe,,Le Mont-Saint-Michel (France); Normandy (France);,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 009",0106-01-09,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/326,326
spec_ji327,"Ganges River, India",Ganges River in India. People and boats can be seen in the busy thoroughfare.,"Iddings, John Edward",1927,Ganges River (India and Bangladesh); Rivers -- India; boats; transport; transportation,,Ganges River (India and Bangladesh); Rivers -- India;,"boats, transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 017",0106-1-17,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/327,327
spec_ji328,Men working in a body of water,"Men working in a body of water, either for construction purposes or harvesting materials.","Iddings, John Edward",1927,India; crowd; water,,India -- Pictorial works;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 018",0106-1-18,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/328,328
spec_ji329,Woman washing laundry in a public basin,A woman washing laundry in public basins with a fountain in the foreground.,"Iddings, John Edward",1927,people; laundry; fountain,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 019",0106-1-19,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/329,329
spec_ji330,Men and cattle in front of a building,Northwest Livestock Association. Men and cattle in front of a building before entering to show cattle.,"Iddings, John Edward",1927,livestock; cattle; cattle show,,Livestock;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 020",0106-1-20,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/330,330
spec_ji331,Water-wheel,A water-wheel in a ground level channel.,"Iddings, John Edward",1927,water; water pump; water system,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 021",0106-1-21,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/331,331
spec_ji332,Bullock cart [01],Men and boys loading a bullock cart pulled by two oxen. (1 duplicate.),"Iddings, John Edward",1927,oxen; hay harvest; livestock; cart,,Oxen; Hay -- Handling; Livestock;,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 022",0106-1-22,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/332,332
spec_ji333,Bullock cart [02],Men and boys posing by a bullock cart pulled by two oxen.,"Iddings, John Edward",1927,oxen; hay harvest; livestock; cart,,Oxen; Hay -- Handling; Livestock;,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 023",0106-1-23,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/333,333
spec_ji334,Bullock cart [03],Bullock cart pulled by an ox.,"Iddings, John Edward",1927,oxen; hay harvest; livestock; cart,,Ox; Livestock;,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 024",0106-1-24,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/334,334
spec_ji335,"Canterbury Agricultural College, New Zealand",Canterbury Agricultural College in New Zealand.,"Iddings, John Edward",1927,Lincoln (New Zealand); college; agriculture,,Lincoln (N.Z.);,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 025",0106-1-25,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/335,335
spec_ji336,Man and woman in front of criosphinx,"A man and two women posing in front of the criosphinx (ram-headed) that represent the god Amon, which leads to the entrance to the Karnak Temple. Luxor, Egypt.","Iddings, John Edward",1927,Egypt -- antiquities; temples -- Egypt; Luxor (Egypt);,,Egypt -- Antiquities; Temples -- Egypt; Luxor (Egypt);,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 010",0106-1-10,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/336,336
spec_ji337,"Experimental Institute for Livestock in Rome, Italy","Istituto Sperimentale Zootecnica di Roma, Italy. (Experimental Institute for Livestock in Rome, Italy.)","Iddings, John Edward",1927,Rome (Italy); structures; buildings,,Rome (Italy);,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 026",0106-1-26,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/337,337
spec_ji338,Maud Iddings at a hot springs,Maud Iddings with unidentified woman at a hot springs.,"Iddings, John Edward",1927,hot springs; people; travel,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 027",0106-1-27,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/338,338
spec_ji339,Maud Iddings outside a ceremonial building,"Maud Iddings with unidentified woman outside a small ceremonial building, the external walls of which are exquisitely decorated.","Iddings, John Edward",1927,structure; buildings; architecture,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 028",0106-1-28,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/339,339
spec_ji340,"Mountains, boats, and buildings with a body of water in the foreground","Mountains, boats, and buildings from an unknown location with a body of water in the foreground.","Iddings, John Edward",1927,shoreline; water; boats; mountains,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 029",0106-1-29,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/340,340
spec_ji341,House with water tank,House with water tank at the back. A wire fence surrounds the building.,"Iddings, John Edward",1927,dwellings; structures; buildings,,Dwellings;,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 030",0106-1-30,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/341,341
spec_ji342,Two cars in front of a building,Two cars are parked in front of a building; a brick structure consisting of two joined cylinders stands in the back.,"Iddings, John Edward",1927,transport; transportation; buildings;,,,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 031",0106-1-31,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/342,342
spec_ji343,Bullock cart [04],"Bullock cart pulled by an ox, in front of a drapery store. A sign on the cart reads: W. R. Perera.","Iddings, John Edward",1927,oxen; livestock; transport; transportation,,Ox; Livestock;,"transport, transportation",John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 032",106-1-32,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/343,343
spec_ji344,Street parade in Belgium,Street parade with a group of persons carrying Rotary International logo in Belgium.,"Iddings, John Edward",1927,parade; Belgium; crowd,,,,John Edward Iddings Lantern Slide Collection,"Edward John Iddings scrapbooks and lantern slides, 1904-1954, MG 76, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv78979,"MG 76, Box 2, Slide 033",106-1-33,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,"lantern slides, black-and-white transparencies",Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/344,344
