title,description,creator,donor,contributor,date,date is approximate,subject,country,state,county,city,latitude,longitude,relation,publisher,source,identifier,rights,rightsstatement,format original,type,format,language,filename,oclc number,Date created,Date modified,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
1st Wagon Road to Zimmerman Place,"The 1st wagon road up to Rudolph Zimmerman Place on  Deep Creek, Idaho.",,,Potlatch Historical Society,1989-10-01,yes,road; forest,United States,Idaho,Latah County,Deep Creek,46.98241,-116.900966,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-14c,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,color image,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/640,640,27.jp2,/phs/image/27.jp2,phs640
320 Cedar Street,"320 Cedar Street in Potlatch, Idaho.",,,Potlatch Historical Society,1920,yes,buildings;houses;automobiles;cars;,United States,Idaho,Latah County,Potlatch,46.91927658,-116.8982979,,,,phs_142,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_142.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1915,1915,1942.jp2,/phs/image/1942.jp2,phs1915
4-Square Lumber and Arnold Ringstad,A photograph of Arnold Ringstad piece labeling 4-square lumber.,,,Potlatch Historical Society,1920,yes,Lumber Shipment,United States,Idaho,Latah County,Potlatch,46.926923,-116.908616,Weyerhaeuser Tacoma,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_70,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/769,769,386.jp2,/phs/image/386.jp2,phs769
4-Square Lumber Foreman Otto Heine,A photograph of the 4-Square lumber department foreman Otto Heine testing Wizard saw that trims 4-Square lumber and trims smoothly and to exact lengths.,,,Potlatch Historical Society,1925,yes,Sawmill Machinery,United States,Idaho,Latah County,Potlatch,,,Weyerhaeuser Tacoma,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_71,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/770,770,387.jp2,/phs/image/387.jp2,phs770
4-Square Lumber Loading,A photograph of shipping dock foreman Carl Newman as he checks the loading of the 4-Square lumber in a box car.,,,Potlatch Historical Society,1925,yes,Lumber Shipment,United States,Idaho,Latah County,Potlatch,46.926923,-116.908616,Weyerhaeuser Tacoma,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_73,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/774,774,390.jp2,/phs/image/390.jp2,phs774
4-Square Lumber on Shipping Dock,A photograph of shipping dock foreman Carl Newman as he checks 4-square packaged lumber. The lumber was all high grade Idaho White Pine and the best grades were enclosed in cardboard containers.,,,Potlatch Historical Society,1925,yes,Lumber Shipment,United States,Idaho,Latah County,Potlatch,46.926923,-116.908616,Weyerhaeuser Tacoma,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant, Potlatch Historical Society",Gale_Plant_72,"No Copyright - United States. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/NoC-US/1.0/",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/772,772,389.jp2,/phs/image/389.jp2,phs772
52' Board,A photograph of two employees with a 52' board.,,,Potlatch Historical Society,1906,yes,Lumber; Employees,United States,Idaho,Latah County,Potlatch,46.920732,-116.906275,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant I, Potlatch Historical Society",Gale_PlantI_89b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/931,931,531.jp2,/phs/image/531.jp2,phs931
9 Deer on Zimmerman Place,Nine deer on Ruke Zimmerman Place,,,Potlatch Historical Society,1989-10-01,yes,road; deer; forest,United States,Idaho,Latah County,Deep Creek,46.98216,-116.902001,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-15a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,color image,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/651,651,28.jp2,/phs/image/28.jp2,phs651
9 Deer on Zimmerman Place,Nine deer on Ruke Zimmerman Place,,,Potlatch Historical Society,1989-10-01,yes,road; deer; forest,United States,Idaho,Latah County,Deep Creek,46.98236,-116.902001,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 2, Potlatch Historical Society",Gale_DeepCreek2-15b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,color image,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/662,662,29.jp2,/phs/image/29.jp2,phs662
A civilized celebration',"A newspaper article about the Return to Riverside Music Festival, a revival of the festivities that used to occur at Riverside Park in Potlatch.","Bauer, Jennifer K.",,Potlatch Historical Society,2016-08-04,,music festivals;posters;newspapers;,United States,Idaho,Latah County,Potlatch,46.92157511,-116.8984275,,,Moscow-Pullman Daily News,phs_336,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,newspaper clipping,Image;StillImage,image/jpg,eng,phs_336.jpg,,2021-07-21,2021-07-21,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2228,2228,2255.jp2,/phs/image/2255.jp2,phs2228
A Company Town (continued),"A paper with articles about Potlatch from other news sources, a list of the ill,  dinners to attend, men of the month, an obituary, and other miscellaneous news items.",,,Potlatch Historical Society,1955,yes,news; town; history,United States,Idaho,Latah County,Potlatch,46.921403,-116.900888,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_61,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,text,application/pdf,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1091,1091,676.pdf,/phs/image/676.pdf,phs1091
A Company Town?,"A paper with articles about the announcement of the plan for Potlatch to be a company town with the reactions of the community, a brief history of Potlatch, and other miscellaneous new items.",,,Potlatch Historical Society,1955,yes,news; town; history; development,United States,Idaho,Latah County,Potlatch,46.921403,-116.900888,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_62,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,text,application/pdf,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1092,1092,677.pdf,/phs/image/677.pdf,phs1092
A Fallen Monarch,A photograph of a fallen monarch tree.,,,Potlatch Historical Society,1915,yes,tree; forest,United States,Idaho,Latah County,Potlatch,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Supplement, Potlatch Historical Society",Gale_Supplement_49b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1071,1071,658.jp2,/phs/image/658.jp2,phs1071
A Road Through the Sawmill,A photograph of the road through the sawmill.,,,Potlatch Historical Society,1952,yes,road; sawmill; outdoors;,United States,Idaho,Latah County,Potlatch,46.921299,-116.901717,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Later Photos, Potlatch Historical Society",LaterPhotos_p013b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/363,363,1325.jp2,/phs/image/1325.jp2,phs363
A. W. Laird Portrait,A portrait of A. W. Laird in 1913.,,,Potlatch Historical Society,1913,yes,Portraits,United States,Idaho,Latah County,Potlatch,,,Lillian Yangel,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town, Potlatch Historical Society",Gale_Town_36a,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1145,1145,724.jp2,/phs/image/724.jp2,phs1145
A.W. Laird,A photograph of Potlatch Lumber Company Assistant General Manager A.W. Laird.,,,Potlatch Historical Society,1910,yes,Sawmill Employees,United States,Idaho,Latah County,Potlatch,46.921403,-116.900888,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Plant I, Potlatch Historical Society",Gale_PlantI_84b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/923,923,524.jp2,/phs/image/524.jp2,phs923
A.W. Laird's Office,A photograph of Mr. A.W. Laird's office. He was the general manager of the Potlatch Lumber Company from 1913-1931.,,,Potlatch Historical Society,1918,yes,Office Building,United States,Idaho,Latah County,Potlatch,46.921403,-116.900888,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Town 2, Potlatch Historical Society",Gale_Town2_15b,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1281,1281,847.jp2,/phs/image/847.jp2,phs1281
Abstract of Title,"Lots 1-6 in Block 10 in the Original Town of Onway, as shown by the recorded plat thereof. Property was located at Onoway.",,,Potlatch Historical Society,1948-11-06,,deeds,United States,Idaho,Latah County,Onoway,46.92792,-116.892303,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",,CH_OnowayDeed_004,"In Copyright - Educational Use Permitted. Digital reproduction rights assigned to the University of Idaho Library by donor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. http://rightsstatements.org/vocab/InC-EDU/1.0/",http://rightsstatements.org/vocab/InC-EDU/1.0/,document,Text,application/pdf,eng,,,2018-10-19,2018-10-19,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1906,1906,1907.pdf,/phs/image/1907.pdf,phs1906
Accidents Don't Just Happen',"A photograph of a sign that reads, 'Accidents Don't Just Happen - They are Caused.'",,,Potlatch Historical Society,1955,yes,warning signs; accidents,United States,Idaho,Latah County,Potlatch,46.921662,-116.90923,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Later Photos, Potlatch Historical Society",LaterPhotos_p037b,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/429,429,1385.jp2,/phs/image/1385.jp2,phs429
Activities at Lower Crane Creek School,Children jumping rope at the Lower Crane Creek School.,,,Potlatch Historical Society,1916,yes,Lower Crane Creek School;Crane Creek School;schools;buildings;children;,United States,Idaho,Latah County,Crane Creek,46.93937397,-116.8647721,,,,phs_030,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_030.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2007,2007,1935.jp2,/phs/image/1935.jp2,phs2007
Adair Family,"The Adair family at the Adair family farm south of Potlatch. Top row (left to right): Matilda Adair Gray, Stella Hawkins Adair holding Rita, Edgar Adair, Roy Smith, Ellen Clyde Smith, Itha Adair Caldwell, John Adair, Bud Adair, Ina Cox Adair. 2nd Row: Mary Lee Adair Clyde holding Pearl, Pete Clyde, Caroline Berry Scallions, Martha Scallions Adair, Frances Marion Adair, Clara Adair Hawkings holding Chancey H. 3rd Row: Joe Clyde holding Rita Adair, Rob Adair, Bertha Cycle, Lois Gray, Goldie Clyde, Vera Caldwell, Neva Hawkins, Irene Smith, Leslie Smith, Leola Adair, Lyle Gray.",,,Potlatch Historical Society,1910,yes,families;portraits;farms;,United States,Idaho,Latah County,,,,,,,phs_234,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_234.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2006,2006,2082.jp2,/phs/image/2082.jp2,phs2006
Adelaide 'Addie' Strong Levi,"Portrait photograph of Adalaide ""Addie"" Strong Levi.",,,Potlatch Historical Society,1900,yes,women;portraits;,United States,Idaho,Latah County,,,,,,,phs_254,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_254.jpg,,2021-07-21,2021-07-21,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2244,2244,2206.jp2,/phs/image/2206.jp2,phs2244
Adelaide (Teas) Allen,Portrait photograph of Adelaide (Teas) Allen.,,,Potlatch Historical Society,1900,yes,portraits;women;,United States,Idaho,Latah County,,,,,,,phs_247,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_247.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1972,1972,2067.jp2,/phs/image/2067.jp2,phs1972
Adrian and Lois Sacks,Photo of Adrian Harvey Sacks and Lois Julia Sacks as children.,,,Potlatch Historical Society,1918,yes,children;portraits;,United States,Idaho,Latah County,,,,,,,phs_213,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_213.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/2106,2106,2095.jp2,/phs/image/2095.jp2,phs2106
Adron and Muriel McCown,James Adron McCown and wife Muriel (Peterson) McCown.,,,Potlatch Historical Society,1920,yes,families;portraits;men;women;,United States,Idaho,Latah County,,,,,,,phs_225,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,photograph,Image;StillImage,image/jpg,eng,phs_225.jpg,,2021-07-16,2021-07-16,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/1940,1940,2099.jp2,/phs/image/2099.jp2,phs1940
Aerial Photograph of Deep Creek,An aerial photograph of the Deep Creek region. Many locations are marked on the photograph: Sandrock Place; Lone Jack Mt.; Cora (OldKidwell Place); Hutton Place; Sam Hutton; Martin Anderson Woolverton Place; Ripley Place; Art Kislig; Old Outside Dance Hall; 4th of July Celebration.,,,Potlatch Historical Society,1940-09-24,,,United States,Idaho,Latah County,Deep Creek,,,,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","Lee Gale Scrapbooks: Deep Creek 1, Potlatch Historical Society",Gale_DeepCreek1-44,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,black and white print,Image;StillImage,image/jpg,eng,,,2017-07-03,2017-07-03,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/phs/id/446,446,140.jp2,/phs/image/140.jp2,phs446
