title,date,date is approximate,description,subject,source,location,latitude,longitude,subject (lcsh),format original,donor,identifier,digital collection,format,type,rights,rightsstatements,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Speaker on Stage during Statehood Day,1990,,"A woman speaking on a stage during Bovill's Statehood Day celebration, while others sit behind her.",men; women; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,black and white photographs,,02-08-008,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/10,10,108.jp2,/lchsphotos/image/108.jp2,lchsphotos10
Audience During Statehood Day,1990,,An audience listens to a speaker on a stage during Bovill's Statehood Day while children play in the front.,audiences; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,black and white photographs,,02-08-009,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/11,11,109.jp2,/lchsphotos/image/109.jp2,lchsphotos11
Storefronts on Main Street,1914,y,"A view of Main Street in Bovill, lined with stores.",stores; streets,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859675,-116.394286,main street;storefronts,black and white photographs,,02-01-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/12,12,11.jp2,/lchsphotos/image/11.jp2,lchsphotos12
Women Speaking on stage during Statehood Day,1990,,Two women speaking on a stage while others sit behind them.,women; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,black and white photographs,,02-08-010,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/13,13,110.jp2,/lchsphotos/image/110.jp2,lchsphotos13
Centennial Quilt,1990,,Bovill residents working on the centennial quilt during Bovill's Statehood Day celebration.,celebrations; quilting,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);quilting,black and white photographs,,02-08-011,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/14,14,111.jp2,/lchsphotos/image/111.jp2,lchsphotos14
Bovill Audience on Statehood Day,1990,,Bovill residents attend the Statehood Day celebration.,celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),black and white photographs,,02-08-005,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/15,15,112.jp2,/lchsphotos/image/112.jp2,lchsphotos15
Gary Eggers Speaking during Statehood Day,1990,,"Gary Eggers, Bovill's mayor, speaking on stage during Statehood Day celebration. Behind him are (l to r): Mary Reed of Moscow; Norma Dobler, featured speaker and former representative and senator; Jerry Brown, mayor of Kendrick; Harold Freeman, Juliaetta mayor; Marie Vogel, Troy mayor; Marie Scharnhorst, Genesee rep; Carol Reynolds, Potlatch rep.",mayors; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,color photographs,Becky Kellom,02-08-012,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/16,16,113.jp2,/lchsphotos/image/113.jp2,lchsphotos16
Harold Freeman Speaking During Statehood Day,1990,,"Harold Freeman, Juliaetta's mayor, speaking on stage during Bovill's Statehood Day celebration. Behind him are (l to r): Mary Reed of Moscow; Norma Dobler, featured speaker and former representative and senator; Jerry Brown, mayor of Kendrick; Gary Egger, Bovill mayor; Marie Vogel, Troy mayor; Marie Scharnhorst, Genesee rep; Carol Reynolds, Potlatch rep.",mayors; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,color photographs,Becky Kellom,02-08-013,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/17,17,114.jp2,/lchsphotos/image/114.jp2,lchsphotos17
Carol Reynolds Speaking on Statehood Day,1990,,"Carol Reynolds speaks on a stage during Bovill's Statehood Day celebration, while others sit in the backround of the stage.",women; celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities);public speaking,color photographs,Becky Kellom,02-08-015,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/18,18,115.jp2,/lchsphotos/image/115.jp2,lchsphotos18
Seated Crowd at Bovill's Statehood Day,1990,,Bovill residents attend the Statehood Day celebration.,celebrations; audiences,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),color photographs,Becky Kellom,02-08-016,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/19,19,116.jp2,/lchsphotos/image/116.jp2,lchsphotos19
Bovill Residents during Statehood Day,1990,,Bovill residents attend Bovill's Statehood Day celebration.,celebrations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,events (activities),color photographs,Becky Kellom,02-08-014,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/20,20,117.jp2,/lchsphotos/image/117.jp2,lchsphotos20
May Queen and Court,1933,,May Queen and court of Bovill Grade School.,children,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,elementary school students;May Day;events (activities),black and white photographs,Museum of North Idaho,02-08-017,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/21,21,118.jp2,/lchsphotos/image/118.jp2,lchsphotos21
Women's Basketball Team,1904,,"The 1904 women's basketball team. From (l to r) Clara Stockwell, Aliter Adair, Nellie Woods, Mabel Smith, Mattie Stockwell, Florence Smith, Dorothy Bovill, Edna Woods (child in front).",women; teams,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,basketball players;sports,postcards,,02-09-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/22,22,119.jp2,/lchsphotos/image/119.jp2,lchsphotos22
Water Tank,1918,y,Railroad tracks with water tank and warehouse in the distance.,railroads; water tanks,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,water tanks;railroads (infrastructure),"scrapbooks, black and white negatives",,02-01-010,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/23,23,12.jp2,/lchsphotos/image/12.jp2,lchsphotos23
Between Bovill & Hog Meadow,1917,,"Bovill residents stand near a car on the side of the road between Bovill and Hog Meadow. From (l to r) Okia Hall, unknown, Mrs. R. C. Witty, Mrs. Hall, Lee Witty.",automobiles; roads,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,passenger road vehicles;,black and white photographs,,02-09-002,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/24,24,120.jp2,/lchsphotos/image/120.jp2,lchsphotos24
Homestead Receipt,1906,,A receipt for the purchase of a homestead.,receipts,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,receipts (financial records);homesteads,black and white photographs,,02-09-003,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/25,25,121.jp2,/lchsphotos/image/121.jp2,lchsphotos25
Drummers,1917,y,"Mr. and Mrs. Bovill, Gwen, and Dorothy pose for a picture with some drummers (traveling salesmen).",men; women,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,sales;drummers,color photographs,,02-09-004,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/26,26,122.jp2,/lchsphotos/image/122.jp2,lchsphotos26
CCC Camp 141,1930,y,"The Civilian Conservation Corp CO.245, CAMP F141, with trees in the distant.",camps; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,public works;camps (temporary settlements),black and white photographs,Mike Fritz,02-09-005,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/27,27,123.jp2,/lchsphotos/image/123.jp2,lchsphotos27
CCC Camp 141 Surrounded by Stumps,1930,y,"The Civilian Conservation Corp CO.245, CAMP F141, surrounded by tree stumps.",camps; trees,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,public works;camps (temporary settlements),postcards,Dawn Martin,02-09-006,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/28,28,124.jp2,/lchsphotos/image/124.jp2,lchsphotos28
Flooding,1930,y,The Pest House view of flooding.,houses; floods,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,floods (natural events),postcards,,02-09-007,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/29,29,125.jp2,/lchsphotos/image/125.jp2,lchsphotos29
Flood Season,1990,y,"View of flooding during flood season, with mountains in the distant.",floods,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,floods (natural events),postcards,,02-09-008,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/30,30,126.jp2,/lchsphotos/image/126.jp2,lchsphotos30
Crowd watching Relocating Elk,1930,y,"A crowd of people watch as elk that were relocated from Yellowstone Park are unloaded at the train station in Bovill, ID.",elk; railroad stations,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,American elk (species);railroad stations;train stations;national parks,postcards,,02-09-009,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/31,31,127.jp2,/lchsphotos/image/127.jp2,lchsphotos31
Relocated elk,1930,y,"Elk that were relocated from Yellowstone Park are gathered  in a pen in Bovill, ID.",elk,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,American elk (species);national parks,postcards,,02-09-010,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Latah County Historical Society. For other uses beyond Fair Use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/32,32,128.jp2,/lchsphotos/image/128.jp2,lchsphotos32
Bovill Women,1920,y,"Ten women pose for a picture on the porch of a house with a couple of children. back row (l to r)- Mrs. Conners, Mrs. Gunderman, Mrs. Albrech, Mrs. O. I. Rue middle row: Mrs. Connely, Mrs. Denevan, ?, child ?, Mrs. Ault front row: Mrs. Tony Peterson, Mrs. Gertrude L. Witty, Mrs. Harless Donor: Lorraine Witty Best",women,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.859604,-116.393459,groups of people,black and white photographs,Loraine Witty,02-11-001,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/33,33,129.jp2,/lchsphotos/image/129.jp2,lchsphotos33
Main Barn,1918,y,Lift fork moving hay into Bovill's main barn.,barns; hay,"Latah County Historical Society, Moscow, ID, http://www.latahcountyhistoricalsociety.org/","Bovill, ID",46.860063,-116.395995,bale hay loader;barns,scrapbooks,,02-01-011,Latah County Historical Society Photograph Collection,image/jpg,Image;StillImage,"Material determined to be in Public Domain based on date of publication. Material made available for digital preservation by the Latah County Historical Society. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,,4/1/2015,5/15/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/lchsphotos/id/34,34,13.jp2,/lchsphotos/image/13.jp2,lchsphotos34
