objectid,filename,title,creator,description,date,date is approximate?,subject,location,digital collection,source,identifier,digital_source,format original,format,type,rights,rights (standardized),language
spanishflu021,UG12_409_1.jpg,"Letter from President Lindley to Commissioner E.A. Bryan, October 24, 1918","Lindley, Ernest H.",President Lindley updates Commissioner Bryan on status of the influenza in the Student Army Training Corps.,1918-10-24,,University of Idaho; students; Student Army Training Corps (SATC);men; pneumonia; Wyoming men,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_409_1,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu022,UG12_409_2.pdf,"Letter from President Lindley to Commissioner E.A. Bryan, October 30, 1918 ","Lindley, Ernest H.","President Lindley updates Commissioner Bryan on status of the influenza in the Student Army Training Corps. It mentions difficulties in supplies, number of men, and doctors, as well as the work of the Red Cross and the use of hospitals and houses for for patients. He says that so far none of the girls have been infected.",1918-10-30,,Student Army Training Corps (SATC);Red Cross; hospitals; community; Alpha Kappa Epsilon; Inland Hospital; Gritman Hospital; hospitals; patients; army; deaths; contagion; classes; students; men; women;,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_409_2,,Correspondence,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu024,UG12_409_3.jpg,"Letter from Commission E.A. Bryan to President Lindley, October 19, 1918","Bryan, E.A.",Commissioner Bryan informs President Lindley on the State Board of Health's decision to issue a quarantine for all state institutions.,1918-10-19,,State Board of Health; University of Idaho; quarantine; state institutions,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_409_3,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu025,UG12_409_4.jpg,"Letter from Commissioner E.A. Bryan to President Lindley, November 2, 1918","Bryan, E.A.",Commissioner Bryan responds to letter from President Lindley on the status of the influenza. He celebrates that the state has had only slight losses to the influenza. ,1918-11-02,,University of Idaho; Idaho; deaths; contagion; sickness; patients,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_409_4,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu026,UG12_409_5.jpg,"Letter from President Lindley to Commissioner E.A. Bryan, November 18, 1918 ","Lindley, Ernest H.",President Lindley notifies Commissioner Bryan that currently there are only 13 cases of influenza in the hospital and all are recovering well. He notes that a few cases have developed in the sorority houses. ,1918-11-18,,University of Idaho; men; women; patients; sororities; hospitals; sickness; contagion; recoveries,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_409_5,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu027,UG12_510_1.jpg,"Letter from President Lindley to Sadie Wellman, November 7, 1918","Lindley, Ernest H.",President Lindley responds to a petition from students regarding student elections held during quarantine.,1918-11-07,,University of Idaho; student life; petitions; letter; quarantine; students; freshman class; sororities; class organization; class of 1922; living groups,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_510_1,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu028,UG12_510_2.pdf,Women's Living Group Petition to Freshman Election ,"Chi Delta Phi, Moscow Chapter",Letter to President Lindley and signed petition in protest of a freshman class election held during quarantine. ,1918-10-29,,University of Idaho; petitions; protests; letter; quarantine; students; freshman class; sororities; class organization; class of 1922; living groups,United States--Idaho--Latah County--Moscow,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_510_2,,Correspondence,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu031,UG12_513_1.jpg,"Letter from Richard E. Randall to President Lindley, October 17, 1918","Randall, Richard E. ",Richard Randall informs President Lindley of the postponement of all district meetings of the United War Work Campaign due to the State Board of Health ruling to close all public meetings. ,1918-10-17,,University of Idaho; State Board of Health; conferences; letter; United War Work Campaign; Idaho; organizations; public meetings; bans,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_513_1,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu032,UG12_513_2.jpg,"Telegram from Richard E. Randall, October 16, 1918","Randall, Richard E. ",Richard Randall notifies recipient that the ban on public meetings has not been lifted and that all Idaho conferences are cancelled. ,1918-10-16,,University of Idaho; State Board of Health; conferences; letter; United War Work Campaign; Idaho; organizations; public meetings; bans,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_513_2,,Correspondence,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu033,UG12_513_3.pdf,"Letter from Richard E. Randall to President Lindley, October 23, 1918","Randall, Richard E. ",Richard Randall informs President Lindley even a meeting of campaign representatives cannot happen because any meeting with over 10 members present is considered a public meeting. ,1918-10-23,,University of Idaho; State Board of Health; conferences; letter; United War Work Campaign; Idaho; organizations; public meetings; bans,United States--Idaho--Ada County--Boise,,"UG 12, University of Idaho President's Office. Records, 1893-1965, University of Idaho Library Special Collections and Archives",UG12_513_3,,Correspondence,application/pdf,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu035,otness-excerpt.mp3,"Excerpt of Interview - World War I, the Red Cross, and Moscow during the Influenza Outbreak","Otness, Lillian Woodworth","Lillian Otness recalls what she remembers as a child during the 1918 Spanish Flu pandemic and its affect on Moscow, Idaho.",1975-01-16,,Moscow; downtown; stores; businesses; Red Cross; World War I; sickness; deaths; contagion; Student Army Training Corps (SATC);hospitals; volunteers; activities; bans; public meetings; community; families; doctors,United States--Idaho--Latah County--Moscow,"Latah Country Oral History Collection, https://www.lib.uidaho.edu/digital/lcoh/","MG 415, Latah County Oral History Collection, 1971-1986, University of Idaho Library Special Collections and Archives",MG415_146,https://www.lib.uidaho.edu/digital/lcoh/people/interviews/viewer.html?cachefile=Otness2.xml,Interview,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu036,settle-excerpt.mp3,Excerpt of Interview - The Settle Family during the Spanish Influenza,"Settle, Eugene","Eugene Settle recalls how everyone except his mother was stricken with the influenza, and how neighbors helped the family.",1975-08-04,,community; Student Army Training Corps (SATC);sickness; contagion; neighbors; community; deaths,United States--Idaho--Latah County--Moscow,"Latah Country Oral History Collection, https://www.lib.uidaho.edu/digital/lcoh/","MG 415, Latah County Oral History Collection, 1971-1986, University of Idaho Library Special Collections and Archives",MG415_173,https://www.lib.uidaho.edu/digital/lcoh/people/interviews/viewer.html?cachefile=Settle3.xml,Interview,audio/mp3,,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu037,PG3_0021e.jpg,President Ernest H. Lindley,,"Lindley served as President of the University of Idaho from 1917 to 1920. Beginning his presidency the same year the United States entered World War I, Lindley dealt with a loss of male students to the military, the establishment of the Student Army Training Corps on campus, and the outbreak of the influenza.",1930-01,yes,University of Idaho; administration; portraits; presidents; World War I,United States--Idaho--Latah County--Moscow,,"PG 3, University of Idaho Portrait Collection, University of Idaho Library Special Collections and Archives",PG3_0021e,,Photograph,image/jpg,image;stillimage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu038,PG67_14.jpg,Gritman Memorial Hospital,,Gritman hospital saw to the most serious cases of the influenza outbreak.,1935-01,yes,Moscow; hospitals; sickness; contagion; Idaho; doctors; patients,United States--Idaho--Latah County--Moscow,,"PG 67, Photographs of Moscow, Idaho, undated, University of Idaho Library Special Collections and Archives",PG67_14,,Photograph,image/jpg,image;stillimage,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng
spanishflu039,arg1918_10_19p1.png,U. Temporarily Closed Three Mild Cases of Flu - Page 1,University Argonaut,The article indicates the the university took the precautionary measure to close the school temporarily in order to prevent the spread of the Spanish Flu when three members of the S.A.T.C.'s vocational corps were found to have mild cases. ,1918-10-19,,University of Idaho; closures; preventative measures; Student Army Training Corps (SATC);cases,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_19p1,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1208/filename/ARG-1918-10-19.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu040,arg1918_10_19p2a.png,University Affairs Feel The Quarantine - Page 2,University Argonaut,"Subheaded 'Regulations of Health Board Affect Many Social Events,' the article indicates that though the UI campus has 'not yet' had cases of the Spanish Flu many student activities are banned by the State Board of Health. ",1918-10-19,,University of Idaho; activities; bans; students; school life; campus; town,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_19p2a,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1208/filename/ARG-1918-10-19.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
spanishflu041,arg1918_10_19p2b.png,No Spanish Flu on Campus - Page 2,University Argonaut,"Subheaded 'Quarantine is Effective in Preventing Outbreak Precautions,' the article indicates the UI campus has 'not yet' been paid a visit by the Spanish flu, although there are a few cases in town. ",1918-10-19,,University of Idaho; University of Montana; quarantine; campus; Moscow; cases,United States--Idaho--Latah County--Moscow,"The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html","The Argonaut Digital Collection, https://www.lib.uidaho.edu/digital/argonaut/index.html",arg1918_10_19p2b,https://digital.lib.uidaho.edu/utils/getfile/collection/argonaut/id/1208/filename/ARG-1918-10-19.pdf,clipping,image/jpg,image;stillimage,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,eng
