title,description,subject,date,source,format,language,type,rights,rightsstatement,date_created,date_created,date_modified,cdm_url,cdmid,contentdmfilename,contentdmfilepath,objectid,reference_url
The Idaho Forester - 1944 (Vol. 26),,England;forest thinning;forestry;parks,1944,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1647,1647,1648.pdf,/forester/supp/1647/index.pdf,forester1647,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1945 (Vol. 27),,forestry;Solomon Islands,1945,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1698,1698,1699.pdf,/forester/supp/1698/index.pdf,forester1698,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1946 (Vol. 28),,foresters;forestry,1946,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1749,1749,1750.pdf,/forester/supp/1749/index.pdf,forester1749,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1947 (Vol. 29),,foresters,1947,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1820,1820,1821.pdf,/forester/supp/1820/index.pdf,forester1820,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1948 (Vol. 30),,forest-wildlife relations;forest growth;foresters;Pinus monticola;sap,1948,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1879,1879,1880.pdf,/forester/supp/1879/index.pdf,forester1879,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1949 (Vol. 31),,forestry;Germany;Pinus;range management,1949,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/1938,1938,1939.pdf,/forester/supp/1938/index.pdf,forester1938,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1950 (Vol. 32),,foresters,1950,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2025,2025,2026.pdf,/forester/supp/2025/index.pdf,forester2025,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1951 (Vol. 33),,Europe;foresters;Halogeton;logging;Pinus;slash;wildlife,1951,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2096,2096,2097.pdf,/forester/supp/2096/index.pdf,forester2096,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1952 (Vol. 34),,forest trees;foresters;horticulture;pulp and paper industry;radionuclides,1952,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2179,2179,2180.pdf,/forester/supp/2179/index.pdf,forester2179,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1953 (Vol. 35),,Dendroctonus;forest nurseries;foresters,1953,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2258,2258,2259.pdf,/forester/supp/2258/index.pdf,forester2258,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1954 (Vol. 36),,forest regeneration;forest thinning;game animals;habitat conservation;timber management,1954,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2333,2333,2334.pdf,/forester/supp/2333/index.pdf,forester2333,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1955 (Vol. 37),,forest regeneration;foresters;USDA Forest Service,1955,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2406,2406,2407.pdf,/forester/supp/2406/index.pdf,forester2406,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1956 (Vol. 38),,foresters;logging;Thailand,1956,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2467,2467,2468.pdf,/forester/supp/2467/index.pdf,forester2467,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1957 (Vol. 39),,foresters,1957,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2536,2536,2537.pdf,/forester/supp/2536/index.pdf,forester2536,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1958 (Vol. 40),,foresters,1958,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/27/2018,4/27/2018,4/27/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2621,2621,2622.pdf,/forester/supp/2621/index.pdf,forester2621,http://localhost:4000/digital/forester/items/.html
The Idaho Forester - 1959 (Vol. 41),,foresters,1959,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,4/26/2018,4/26/2018,4/26/2018,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2706,2706,2707.pdf,/forester/supp/2706/index.pdf,forester2706,http://localhost:4000/digital/forester/items/.html
