title,description,creator,date,date is approximate,subject,coverage,latitude,longitude,digital collection,contributing institution,identifier,rights,rightsstatement,format-orignal,type,format,language,file name,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Arboretum Associates Newsletter December 1994,"This December publication includes messages from both the Arboretum Associates' President and the Arboretum Director, relating the impact of financial and volunteer contributions and the role of the new Advisory Board. It also includes updates about construction projects, the irrigation system, and the removal of the Flieger family house. A reminder is attached at the end that skiing, sleding, tobogganing, and other types of snow play are not allowed in the Arboretum during the winter months.","LeTourneau, Duane; Naskali, Richard",1994-12,y,associations; arboretums; newsletters; botanical gardens; irrigation systems; construction; winter,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.723196,-117.014426,Arbor Notes,University of Idaho Arboretum Associates,FY95-ARB-ArbAssocNewsletter-December1994,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/10,10,19.pdf,/arbornotes/image/19.pdf,arbornotes10
Arboretum Associates Newsletter Spring 1980,"This spring publication includes information about the Comprehensive Education Training Act (CETA) grant award, the stabilization of the east Golf Course slope, Alpha Phi Sorority becoming the first Life Associate Member of the Arboretum Associates, the Women's Club silent auction information, Daryl Ann Brown winning the art design contest, the completion of the Shattuck Arboretum and Botanic Garden Master Plan, and membership levels and associated dues.","Naskali, Richard",1980-04-19,,grants; arboretums; associations; group organizations,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721283,-117.01693,Arbor Notes,University of Idaho Arboretum Associates,FY81-ARB-ArbAssocNewsletter-Spring1980,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/11,11,2.pdf,/arbornotes/image/2.pdf,arbornotes11
Arboretum Associates Newsletter March 1995,"This March publication includes the date of the next annual meeting, who the keynote speaker will be, an outgoing message from the Arboretum Associates' President, an update on the removal of the Fleiger house, the role and decisions of the Advisory Board, and philanthropic endeavors within the arboretum. Also included in this newsletter is a list of contributions received during the period December 1, 1994, through February 28, 1995.","LeTourneau, Duane; Naskali, Richard",1995-03-15,,associations; arboretums; barns; newsletters;,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714429,-117.018685,Arbor Notes,University of Idaho Arboretum Associates,FY95-ARB-ArbAssocNewsletter-March1995,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/12,12,20.pdf,/arbornotes/image/20.pdf,arbornotes12
Arboretum Associates Newsletter August 1995,"This August publication includes a message from the Arboretum Director regarding giving and acknowledging work done by students, new officers of the Arboretum Association, and contains the subject headings: Caution bird feeders, chairs for fat birds and steps of concrete, bronze plaques for groves and trees installed, Canada Geese and the Arboretum, Contributions received during the period March 1, 1995, through June 30, 1995.","Hall, Bill; Naskali, Richard; Renfrew, Malcolm; Rhoades, Beverly",1995-08,y,associations; arboretums; officers (administrators); newsletters; endowments; grants; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.723028,-117.014756,Arbor Notes,University of Idaho Arboretum Associates,FY96-ARB-ArbAssocNewsletter-August1995,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/13,13,21.pdf,/arbornotes/image/21.pdf,arbornotes13
Arbor Notes December 1995,This December publication includes the subject headings: The Tree Peony - An Exquisite Flowering Shrub; Dear Arboretum Patrons; Coming Home to the Arboretum Office; Acknowledgement of Gifts; Arboretum Associates Treasurer's Report,"Johnston, Marlene; Rhoades, Beverly; Steele, Bob",1995-12,y,associations; arboretums; officers (administrators);,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722037,-117.015236,Arbor Notes,University of Idaho Arboretum Associates,FY96-ARB-ArborNotes-December1995,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/14,14,22.pdf,/arbornotes/image/22.pdf,arbornotes14
Arbor Notes April 1996,This April publication includes the subject headings: UI's Campus Elm Trees - a Dutch Elm Disease Update; Pruning Landscape Plants; USDA Plant Hardiness Zone Map; A History of the Flieger Barn on the Southern End of the Arboretum; Arboretum Brochure Wins 1996 AABGA Award; Arboretum Associates; 19th Annual Meeting; Students Start the 1996 Work Season; Tidyman's Moscow Store Presents a Canoe to the Arboretum; UI Arboretum Soils Among the Region's Best; News from the Arboretum Director; Acknowledgement of Gifts,"McDaniel, Paul; Naskali, Richard J.; Rouk, David; Steele, Robert; Tripepi, Robert R.;",1996-04,y,associations; arboretums; pinus (genus); Ulmus (genus); gardening; horticulture; soil,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724728,-117.012764,Arbor Notes,University of Idaho Arboretum Associates,FY96-ARB-ArborNotes-April1996,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/15,15,23.pdf,/arbornotes/image/23.pdf,arbornotes15
Arbor Notes December 1996,This December publication includes the subject headings: Vole Control; Where in the World is the Biggest Tree?; UI Arboreta Advisory Board; Photographing Your Landscape; A Great Christmas Gift Idea; News from the Arboretum Director; Private Support is Citical to the Arboretum's Success; Acknowledgement of Gifts,"Naskali, Richard; Steele, Bob",1996-12,y,associations; arboretums; nature photography; pest control,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722778,-117.014736,Arbor Notes,University of Idaho Arboretum Associates,FY97-ARB-ArborNotes-December1996,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/16,16,24.pdf,/arbornotes/image/24.pdf,arbornotes16
Arbor Notes May 1997,"This May publication includes the subject headings: In the Beginning; Commemorative Benches, Groves, and Trees; Arboretum Associates' Board of Directors - Past and Present","Naskali, Richard",1997-05,y,associations; arboretums; construction; planting; botanical gardens; officers (administrators); newsletters; endowments; grants; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.721946,-117.015495,Arbor Notes,University of Idaho Arboretum Associates,FY97-ARB-ArborNotes-May1997,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/17,17,25.pdf,/arbornotes/image/25.pdf,arbornotes17
Arbor Notes December 1997,"This December publication includes the subject headings: The Leonard Halland Kiosk; the 1997 Year in Review: News from the Arboretum Director; A Volunteer Program; Scheduling Events in UI's Arboretum; Granite Bench Installation; The Flower of Christmas Eve - Poinsettia; Don't Forget the Arboretum; Mission Statement, University of Idaho Arboreta; Arboretum Annual Contributors","Fehrenbacher, Anna; Naskali, Richard J.; Rhoades, Beverly; Steele, Bob",1997-12,y,associations; arboretums; officers (administrators);,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722422,-117.014907,Arbor Notes,University of Idaho Arboretum Associates,FY98-ARB-ArborNotes-December1997,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/18,18,26.pdf,/arbornotes/image/26.pdf,arbornotes18
Arbor Notes December 1998,"This December publication includes the subject headings: News Notes from the Director; Got the Picture?; Plantings in Need of Sponsors; Get a Jump on Spring, 1999; Charles Houston Shattuck Arboretum; Open Houses; Thank You, Donors to the University of Idaho Arboretum During Fiscal Year 1998!; With Your Support It Will Only Get Better; Annual Meeting; Employee Changes; Viewpoint","Hubbuch, Charles E.; Naskali, Richard; Rhoades, Beverly; Steele, Bob;",1998-12,y,associations; arboretums; black-and-white photography; planting; garden shows; botanical gardens,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.724711,-117.012707,Arbor Notes,University of Idaho Arboretum Associates,FY99-ARB-ArborNotes-December1998,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/19,19,27.pdf,/arbornotes/image/27.pdf,arbornotes19
Arboretum Associates Newsletter August 2000,"This August publication includes information about the Annual meeting and guest speaker Mary Pat Matheson, an update from the Arboretum Association President Marlene Johnston with an explanantion as to why there was no Arbornotes in 1999, an introduction to the Board members, past news from 1999 including the annual meeting and iris sale, and an article on the language of irises.","Johnston, Marlene",2000-08,y,associations; arboretums; Iris (genus); officers (administrators),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722301,-117.014687,Arbor Notes,University of Idaho Arboretum Associates,FY01-ARB-ArbAssocNewsletter-August2000,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/20,20,28.pdf,/arbornotes/image/28.pdf,arbornotes20
Arbor Notes December 2003,This December publication includes the subject headings: Unusual Evergreen Tree Donation; Annual Meeting; Retirement Party; 4th Summer Concert--Another Crowd Pleaser!; Report from the Horticulturist; Plant Sale Continues to Grow; Arboretum Associates Donor Roll; A Year at the University of Idaho Arboretum and Botanical Garden; Message from the President; Internal Exhibition of Botanical Art and Illustration; Mark Your Calendar - Upcoming Events; Grace Yenni Iris Garden; Treasurer's Report,"Fisher, Joy; Johnston, Marlene; Naskali, Richard J; Rhoades, Beverly; Roby, Kris; Warnick, Paul;",2003-12,y,associations; arboretums; newsletters; gardening; retirement; musical performances; horticulture; planting; Iris (genus),United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.716778,-117.017574,Arbor Notes,University of Idaho Arboretum Associates,FY04-ARB-ArborNotes-December2003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/21,21,29.pdf,/arbornotes/image/29.pdf,arbornotes21
Arboretum Associates Newsletter Spring 1982,"This spring publication includes information about the planting schedule at the new arboretum location, the time and date of the next annual meeting, the receipt of funds from the Idaho Federation of Garden Clubs, the jogging trail project being abandoned, and how trusts and memorial groves are helping to contribute to the continued success of the arboretum.","Naskali, Richard",1982-04-27,,associations; arboretums; gardening; garden clubs,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722395,-117.015153,Arbor Notes,University of Idaho Arboretum Associates,FY83-ARB-ArbAssocNewsletter-Spring1982,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/22,22,3.pdf,/arbornotes/image/3.pdf,arbornotes22
Arbor Notes April 2004 Hartung Issue,"This special April publication includes the subject headings: Dr. Ernest Hartung Dies, Leaves Many Idaho Legacies; Mark Your Calendar - Upcoming Events; Dan Heims, Acclaimed Nurseryman, to Keynote 27th Annual Meeting; Report from the Horticulturist; South End Display Garden Tour; Plant Sale; President's Message; 27th Annual Arboretum Associates Annual Meeting; Three Spectacular Native Orchids in Latah County.","Fisher, Joy; Naskali, Richard; Warnick, Paul",2004-04,y,associations; arboretums; newsletters; gardening; construction; signage; labels (identifying artifacts); Orchidaceae (family); planting,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.714699,-117.017049,Arbor Notes,University of Idaho Arboretum Associates,FY04-ARB-ArborNotes-April2004-HartungIssue,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/23,23,30.pdf,/arbornotes/image/30.pdf,arbornotes23
Arbor Notes December 2000,"This December publication includes the subject headings: News from the Arboretum Director; Welcome, Paul Warnick; Chamber Music Brings Crowd to Arboretum; Donors; Notes from the Arboretum Horticulturist: Future Planting Projects; The Charles Houston Shattuck Arboretum; Daniel J. Hinkley Scheduled for Annual Meeting, April 26, 2001; 'Tis the Season...; Dedicated Features in the University of Idaho Arboretum and Botanical Garden","Naskali, Richard; Roby, Kris; Warnick, Paul F.",2000-12,y,associations; arboretums; newletters; planting; gardening; horticulture,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.722664,-117.014198,Arbor Notes,University of Idaho Arboretum Associates,FY01-ARB-ArborNotes-December2000,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/24,24,31.pdf,/arbornotes/image/31.pdf,arbornotes24
Arbor Notes December 2004,This December publication includes the subject headings: Student Design Project Focuses on Arboretum; Restroom Project; Plant Sale a Success; Lucky Seed Purchase; 27th Annual Arboretum Meeting; Message from the President; Daylily Garden Update; Arboretum Associates Donor Roll; Report from the Horticulturist; Treasurers Report; Shattuck Arboretum Discovery; Baldridge Memorial Arboretum Fund; A Beautiful Evening for the Fifth Annual Summer Concert.,"Fisher, Joy; Harris, Laura Taylor; Rhoades, Beverly; Roby, Kris; Warnick, Paul",2004-12,y,associations; arboretums; newsletters; construction; architectural drawing (visual works); horticulture; musical performances,United States--Idaho--Latah County--Moscow--University of Idaho Arboretum and Botanical Gardens,46.715184,-117.017163,Arbor Notes,University of Idaho Arboretum Associates,FY05-ARB-ArborNotes-December2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted and copyright held by the Arboretum Associates. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Newsletter,text,application/pdf,eng,,,2017-09-26,2017-09-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/arbornotes/id/25,25,32.pdf,/arbornotes/image/32.pdf,arbornotes25
