title,description,item information,postcard type,photographer,date,subject,location,state,publisher,publisher location,source,date is approximate,identifier,rights,standardized rights,original format,type,format,language,latitude,longitude,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Hell's Canyon,"Postcard is a scene of Hell's Canyon showing the Snake River.  | Hells Canyon. This unusual Aerial of Hells Canyon of the Snake River highlights 7,000 foot canyon walls of America's deepest gorge.",,photographic postcards,Harold Peters,1960,rivers; canyons; mountains; photographic postcards,Hells Canyon; Snake River,Idaho,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_111,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,45.428937,-116.581793,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/10,10,108.pdf,/nwpostcards/image/108.pdf,nwpostcards10
"Steunenberg Statue, Boise, Idaho","Postcard is a photo of the Steunenberg Statue facing the Idaho State Capitol building in Boise, Idaho.  |  Steunenberg Statue, Boise, Idaho. The statue stands across Jefferson Street facing the main steps to the Idaho State Capitol. The Commission was organized in 1907 with W.A. Coughanour as president to erect the statue, it was dedicated in 1927. Frank Steunenberg served as Governor of Idaho from 1897 to 1900. He was assassinated in 1905.",,photographic postcards,,1970,statues; buildings; trees; capitols; photogaphic postcards,Boise,Idaho,H.W. Steward,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_076,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.4375 x 3.5, Color",Image;StillImage,application/pdf,eng,43.617153,-116.200194,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/11,11,109.pdf,/nwpostcards/image/109.pdf,nwpostcards11
12 trucks - 12 giant fir logs - Western Washington,Postcard of log trucks carrying large fir logs through a western Washington town. | 12 trucks - 12 giant fir logs - Western Washington.,,photographic postcards,Ellis,1930,photographic postcards; trucks; log (wood),Western Washington,Washington,E.C. Kropp Co.,"Milwaukee, WI","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.375, Black and white",Image;StillImage,application/pdf,eng,46.996615,-123.408051,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/12,12,11.pdf,/nwpostcards/image/11.pdf,nwpostcards12
Old Water Wheel,"Postcard is a photograph of an old water wheel in the Warm Springs neighborhood of Boise, Idaho. | The Old Water Wheel, Boise, Idaho. Irrigation has always played a vital role in the life of Idaho. Along the Warm Springs Avenue of Boise many of the fine older homes of the city used the water wheel to irrigate the pastures for their horses. Here is one of the old wheels still working and in fine preservation.",,photographic postcards,,1970,waterwheels; trees; irrigation systems; photographic postcards,Boise,Idaho,H.W. Steward,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_077,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,application/pdf,eng,43.607803,-116.184355,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/13,13,110.pdf,/nwpostcards/image/110.pdf,nwpostcards13
Boise Gallery of Art,"Postcard is a photograph of the Boise Gallery of Art, now named the Boise Art Museum, in Boise, Idaho.  |  Boise Gallery of At (The place to go is Idaho) Located in Julia Davis Park, off Capitol Blvd., Boise, Idaho. Constructed in 1937 as a W.P.A. project. The Boise Gallery of Art is owned by the City of Boise, and operated by the Boise Art Association, Inc.",,photographic postcards,,1970,art museums (buildings); buildings; trees; shrubs; photographic postcards,Boise; Boise Art Museum; Julia Davis Park,Idaho,H.W. Steward,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_078,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,43.609931,-116.206846,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/14,14,111.pdf,/nwpostcards/image/111.pdf,nwpostcards14
Oxbow Dam,"Postcard of the Oxbow Dam in Hell's Canyon on the Snake River between Oregon and Idaho.  | Oxbow Dam, finished in 1962 by Idaho Power Company as second unit in new Hell's Canyon development, harnesses the mighty Snake River in a bold construction feat. The name comes from the unusual sharp turns of the river in the shape of an ox bow.",,photographic postcards,Courtesy of Idaho Power,1980,hydroelectric dams; rock-fill dams; rivers; canyons; photographic postcards,Oxbow Dam; Oxbow,Oregon,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_112,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.5, Color",Image;StillImage,application/pdf,eng,44.968806,-116.869569,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/15,15,112.pdf,/nwpostcards/image/112.pdf,nwpostcards15
"Sea Lions, Oregon Coast","Postcard of sea lions sunning on the Oregon Coast near Florence, Oregon.  | Sea Lions sunning on shoreline at Sea Lion Caves, Oregon Coast.",,photographic postcards,Ray Atkeson,1970,coastlines;  Otariidae (family); rocks; waves; photographic postcards,Sea Lion Caves; Florence,Oregon,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_119,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,application/pdf,eng,44.122153,-124.1286,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/16,16,113.pdf,/nwpostcards/image/113.pdf,nwpostcards16
Umpqua Lighthouse,"Postcard of the Umpqua Lighthouse near Winchester Bay, Oregon. | Umpqua Lighthouse (State Park). At mouth of Umpqua River, Oregon, 1 mile west of Winchester Bay.",,photographic postcards,George Mood,1970,lighthouses; photographic postcards,Umpqua Lighthouse; Umpqua State Park; Winchester Bay,Oregon,"Western Color Sales, Inc.","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_120,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,application/pdf,eng,43.6622,-124.198479,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/17,17,114.pdf,/nwpostcards/image/114.pdf,nwpostcards17
"Coos Bay Bridge, Oregon","Postcard is of the Conde McCullough Memorial Bridge near Coos Bay, Oregon. | Coos Bay Bridge, Oregon. McCullough Bridge over Coos Bay, Oregon Coast. Total length over a mile, this multi-million dollar structure is an important link on the scenic Oregon coast highway. South approach is from a state park in North Bend.",,photographic postcards,Howard Royle,1970,cantilever bridges; rivers; flowers; shrubs; rees; beaches; coastlines; photographic postcards,Coos Bay; Conde McCullough Memorial Bridge,Oregon,Northwest Curio & Postcard Co.,"Boise, ID","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_121,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.4375 x 5.4375, Color",Image;StillImage,application/pdf,eng,43.433448,-124.217311,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/18,18,115.pdf,/nwpostcards/image/115.pdf,nwpostcards18
Columbia River Gorge,"Postcard is of the Columbia River Gorge with a view of Highway 84 heading east.  | Columbia River Gorge. Looking eastward from point east of Hood River, Oregon.",,photographic postcards,,1970,rivers; highways; automobiles; mountains; trees; photographic postcards,Hood River; Columbia River,Oregon,"Smith Western, Inc.","Tacoma, WA; Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_122,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,45.684297,-121.310792,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/19,19,116.pdf,/nwpostcards/image/116.pdf,nwpostcards19
"Vista House, Crown Point","Postcard of the Crown Point Vista House on the Historic Columbia River Highway near Portland, Oregon. | Vista House, Crown Point. Overlooking the beautiful Columbia River Gorge. This State owned building, giving the public the opportunity to take in the beauty of the area.",,photographic postcards,,1950-1930,viewpoint; overlooks; scenic byways; photographic postcards; automobiles; men; mountains; trees; children; families,"Crown Point Vista House; Columbia River Highway, Portland",Oregon,"Smith Western, Inc.","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_123,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,45.539168,-122.244667,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/20,20,117.pdf,/nwpostcards/image/117.pdf,nwpostcards20
"Mt. Hood, Oregon","Postcard of Mount Hood from a field near Mt Hood Parkdale, Oregon. | Mt. Hood, Oregon. As seen in midsummer in upper Hood River Valley.",,photographic postcards,Ken Vermillion,1960,mountains; snow; trees; wildflowers; buildings; barns; clouds; photographic postcards,Mt Hood; Mt Hood Parkdale,Oregon,"Smith Western, Inc.","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_124,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,45.4821,-121.603206,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/21,21,118.pdf,/nwpostcards/image/118.pdf,nwpostcards21
"Timberline Lodge, Oregon (1)","Postcard is a winter scene of Timberline Lodge on Mt Hood, Oregon. | Timberline Lodge, Oregon. Nestled at the edge of the timberline on the southern slopes of Mt. Hood, Timberline Lodge offers winter and summer recreation for the skier or tourist. Hand-hewn from great logs, it is a monument to the Forest Service and W.P.A. labor, which erected it.",,photographic postcards,Ray Atkeson,1970,mountains; snow; ski lodges; trees; photographic postcards; historical buildings,Mt Hood; Timberline Lodge,Oregon,"Western Color Sales, Inc.","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_125,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"3.5 x 5.5, Color",Image;StillImage,application/pdf,eng,45.328783,-121.711688,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/22,22,119.pdf,/nwpostcards/image/119.pdf,nwpostcards22
"Sheep across the Grand Coulee Dam, Washington - 217","Postcard of sheep crossing the Grand Coulee Dam in Washington state. | Jod Hodgin, Eastern Washington wool grower, takes his sheep across the top of he Grand Coulee Dam for grazing in the forests of Northern Washington. Shown in the picture are 2,600 (count 'em) sheep. The distance across the top of the dam is 4,173 feet.",,picture postcards,Western Souvenirs,1930,Ovis (genus); livestock; livestock breeders; gravity dams; hydroelectric dams; picture postcards,Grand Coulee Dam; Grand Coulee,Washington,E.C. Kropp Co.,"Milwaukee, WI","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.5, Color",Image;StillImage,application/pdf,eng,47.956152,-118.981856,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/23,23,12.pdf,/nwpostcards/image/12.pdf,nwpostcards23
"Timberline Lodge, Oregon (2)","Postcard is a snowy scene of Timberline Lodge at Mt. Hood, Oregon. | Timberline Lodge, Oregon. Fresh snowfall makes fantasyland out of world-famous Timberline Lodge on Mt. Hood.",,photographic postcards,Raymond Steiger,1970,ski lodges; snow; trees; photographic postcards,Mt Hood; Timberline Lodge,Oregon,"Smith Western, Inc.","Portland, OR","PG 107, Knowles Postcard Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",yes,Postcard_126,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"5.5 x 3.4375, Color",Image;StillImage,application/pdf,eng,45.331362,-121.711468,,,2013-01-15,2015-09-14,http://digital.lib.uidaho.edu:80/cdm/ref/collection/nwpostcards/id/24,24,120.pdf,/nwpostcards/image/120.pdf,nwpostcards24
