title,photographer,description,date,date_approximate,subject (lcsh),subject,location,latitude,longitude,source,identifier,rights,rights (standardized),type,format,language,moscow number,fs number,filename,oclc number,date created,date modified,reference url,cdm-id,contentdm file name,contentdm file path,object-id
Moderately Thinned Plot & Lightly Thinned plot,"Brewster, D.R.","20242A: ""Moderately Thinned Plot; 455 left per acre; Note Numbered Tag."" 20238: ""Lightly Thinned, 550 left per Acre; Note Rings of White Paint to Designate Trees to be Left.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P38,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,578,20242A & 20238A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/10,10,108.jp2,/expforsav/image/108.jp2,expforsav10
Lightly Thinned & Partial Product of Thinning,"Brewster, D.R.","20243A: ""Lightly Thinned; 550 left per acre; Note Many Small Trees."" 20239A: ""Partial Product of Thinning; Unthinned Stand in Back Ground.""",1914,,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P39,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,579,20243A & 20239A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/11,11,109.jp2,/expforsav/image/109.jp2,expforsav11
Transplant [Benton Flat] nursery at PRES,"Rogers, E.C.",Transplant [Benton Flat] nursery at PRES.,1917,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,Bonner County;Priest River Experimental Forest;Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917TransplantNursery,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1285,34576A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/12,12,11.jp2,/expforsav/image/11.jp2,expforsav12
Western Yellow Pine Plantation,"Brewster, D.R.","20240A =""Small Logs and Fence Poles Obtained from Thinning; Windrow of Tops, Branches and untrimmed Trees Piled for Burning.""  20244A =""Western Yellow Pine Plantation; 1-1 stock from Coconino Forest in Arizona, three years after Planting, Source of Seed Study.""",1914,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest,,Bonner County;Priest Creek Experimental Forest,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P40,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,580,20240A & 20244A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/13,13,110.jp2,/expforsav/image/110.jp2,expforsav13
Three Years afer Planting,"Brewster, D.R.","20247A: ""Pinus strobus transplant 5 feet high; Three Years afer Planting."" 20246A: ""Shagbark Hickory Seedling Stock; Three Years after Planting.""",1914,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Nursery,,Bonner County;Priest River Experimental Forest;Benton Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1914_P41,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,581,20247�A & 20246A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/14,14,111.jp2,/expforsav/image/111.jp2,expforsav14
View of Experiment Station Buildings and Clearing and Surrounding Grounds,"Brewster, D.R.","202930A: ""General View of Experiment Station Buildings and Clearing."" 24929A: ""Near View of Dwellling Cottages and Surrounding Grounds.""",1915,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,582,24930A & 24929A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/15,15,112.jp2,/expforsav/image/112.jp2,expforsav15
Cottage No. 3 and gasoline drag saw outfit mounted on skids,"Brewster, D.R.","24932A: ""Cottage No. 3, Showing Remodelled Storehouse in Foreground."" 24933A: ""4 Horse Power Gasoline Drag Saw Outfit Mounted on Skids.""",1915,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35138889,-116.8330556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P14,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,583,24932A & 24933A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/16,16,113.jp2,/expforsav/image/113.jp2,expforsav16
Benton Flat Nursery [02],"Brewster, D.R.","24527A: ""15 Beds Devoted to Seed Studies, Benton Flat Nursery.""  24931A: 4-Year-Old Plantations Western Yellow Pine Source of Seed Study."" Now known as ponderosa plot 162.",1915,,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,Bonner County;Priest River Experimental Forest;Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P17,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,586,24527A & 24931A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/17,17,114.jp2,/expforsav/image/114.jp2,expforsav17
"6-Year-Old selection cutting, Coeur d'Alene National Forest","Brewster, D.R.","23659A: ""6-Year-Old Selection Cutting, Kennedy Sale, Coeur d'Alene N.F."" 23658A: ""Seed Trees on 6-Year-Old Selection Cutting, Coeur d'Alene N.F.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P19,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,587,23659A & 23658A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/18,18,115.jp2,/expforsav/image/115.jp2,expforsav18
Coeur d'Alene National Forest [01],"Brewster, D.R.","24522A: ""Uncut seed strip, 5-year-old strip cutting, Coeur d'Alene N.F."" 24525A: ""Seedlings on reproduction strip, marked with wire pins, perm. sample Plot #3, clean cut strips, Coeur d'Alene N.F.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P20,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,588,24522A & 24525A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/19,19,116.jp2,/expforsav/image/116.jp2,expforsav19
Coeur d'Alene National Forest [02],"Brewster, D.R.","24521A: ""Clean cutting with groups of seed trees, Coeur d'Alene N.F., 1914, typical portion of 25 acres mapped in marking study."" 23648A: ""Steam logging on Ucelle Gulch, Coeur d'Alene N.F., 1915, showing clean cut strips necessary for overhead cable logging.""",1915,,United States--Idaho--Shoshone County--Coeur d'Alene National Forest,,Shoshone County;Coeur d'Alene National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1915_P21,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,589,24521A & 23648-A,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/20,20,117.jp2,/expforsav/image/117.jp2,expforsav20
Portal sign from Deception Creek Experimental Forest,"Wellner, Chuck A.","Portal sign, Deception Creek Experimental Forest (Deception Creek Experimental Forest), used as the cover of the 1936 Annual Report.",1936,Yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,47.72777778,-116.4813889,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_01,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,633,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/21,21,118.jp2,/expforsav/image/118.jp2,expforsav21
Building Photos from 1936 Annual Report,"Wellner, Chuck A.","From the 1936 Annual Report, page of 10 photos of buildings.",1936,,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_02,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,634,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/22,22,119.jp2,/expforsav/image/119.jp2,expforsav22
Lookout over toolhouse from the Priest River Experiment Station Weather Station in midwinter,"Larsen, J.A.",Looking east toward Experiment Station Lookout over toolhouse from the Priest River Experiment Station Weather Station in midwinter.,1917,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,Bonner County;Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1917WinterShop,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,1283,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/23,23,12.jp2,/expforsav/image/12.jp2,expforsav23
Scenes at Deception Creek Experimental Forest Headquarters,"Wellner, Chuck A.",Fig. 4 - Scenes at Deception Creek Experimental Forest (Deception Creek Experimental Forest) Headquarters.  1. Base of flagpole.  2.Weather Station.  3. Rain gauge and base.  4. Foot bridge across Sands Creek in front of Cottage One.,1936,Yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest Headquarters,,Kootenai County;Deception Creek Experimental Forest Headquarters,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_03,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,635,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/24,24,120.jp2,/expforsav/image/120.jp2,expforsav24
Snow scene of buildings,C.L. James,"Figure 5 - Deception Creek Experimental Forest (Deception Creek Experimental Forest) March, 1936. ""Snow scene of buildings.""",1936-03-01,yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,47.72722222,-116.4819444,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_04,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,636,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/25,25,121.jp2,/expforsav/image/121.jp2,expforsav25
Map of road maintenance and construction.,,"From the 1936 Annual Report,  Fig. 6, map of road maintenance and construction.",1936,yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_05,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,637,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/26,26,122.jp2,/expforsav/image/122.jp2,expforsav26
Map of roadside timber clean-up projects,,"From the 1936 Annual Report, Fig. 7 map of roadside timber clean-up projects.",1936,yes,United States--Idaho--Kootenai County--Deception Creek Experimental Forest,,Kootenai County;Deception Creek Experimental Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_06,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,638,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/27,27,123.jp2,/expforsav/image/123.jp2,expforsav27
Debris resulting from roadside cleanup work before and after burning,,"From the 1936 Annual Report, Fig. 8, captions reads: ""Debris resulting from roadside cleanup work before and after burning, Southside road (Ames - Montford Creek).""",1936,,United States--Idaho--Kootenai County--Ames Creek--Montford Creek,,Kootenai County;Ames Creek;Montford Creek,47.73277778,-116.4983333,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Annual_1936_07,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpg,eng,639,,,,2013-10-01,2018-03-01,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/28,28,124.jp2,/expforsav/image/124.jp2,expforsav28
