objectid,title,description,creator,date,date_is_approximate,location,lcsh_loc,coverage,region,relation,digital_collection,holding_institution,source,finding aid,notes,original_file_number,identifier,rights,rightsstatement,original_format,type,language,format,cdm_url,cdmid
shattuck45,Pack train [2],"The glass slide reads: 'Pack train. Packers Meadows, Idaho.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Idaho;Idaho County,Lolo National Forest (Mont.),United States--Idaho--Idaho County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 53; 22-4",105-01-53,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/45,45
shattuck46,Relay camp [1],"The glass slide reads: 'Relay Camp, Lolo Trail, Fires, 1910.'","Shattuck, C. H.",1910,,Clearwater National Forest (Idaho);Trails ; Idaho;Idaho;Clearwater County,Clearwater National Forest (Idaho); Trails -- Idaho;,United States--Idaho--Clearwater County,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 54; 22-5",105-01-54,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/46,46
shattuck47,Fire fighting crew [1],The glass slide reads: 'Pack train and fire fighting crew which saved Lolo Hot Springs.',"Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 55; 22-6",105-01-55,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/47,47
shattuck48,Fire fighting crew [2],The glass slide reads: 'Fire fighting crew which saved Lolo Hot Springs.',"Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 56; 22-7",105-01-56,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/48,48
shattuck49,Relay camp [2],"The glass slide reads: 'Relay Camp, Lolo Trail, Fires, 1910.'","Shattuck, C. H.",1910,,Clearwater National Forest (Idaho);Trails ; Idaho;Idaho;Clearwater County,Clearwater National Forest (Idaho); Trails -- Idaho;,United States--Idaho--Clearwater County,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 57; 22-8",105-01-57,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/49,49
shattuck50,Lolo Hot Springs (Montana) Fire,"The glass slide reads: 'Going to fire at Lolo Hot Springs, Montana.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 58; 22-9",105-01-58,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/50,50
shattuck51,Mattock men,"The glass slide reads: 'Mattock men, Lolo Hot Springs, Fire, 1910.' A mattock is similar to a Pulaski tool which is used in fighting fires.","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 59; 22-11",105-01-59,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/51,51
shattuck52,Shovel men,"The glass slide reads: 'Shovel men, Lolo Hot Springs, Montana.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 60; 22-12",105-01-60,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/52,52
shattuck53,Trench gang [1],"The glass slide reads: 'Trench gang, Firefighters, Lolo, Montana.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 61; 22-13",105-01-61,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/53,53
shattuck54,Firefighters,"The glass slide reads: 'Firefighters at dinner, Lolo Hot Springs.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 62; 22-14",105-01-62,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/54,54
shattuck55,Volcanic bomb [1],"The glass slide reads: 'Volcanic bomb, Snake River Plain.'","Shattuck, C. H.",1904,yes,Snake River Plain (Idaho and Or.);Craters of the Moon National Monument (Idaho);Craters of the Moon National Preserve (Idaho);Inferno Cone;Idaho;Butte County,Snake River Plain (Idaho and Or.); Craters of the Moon National Monument (Idaho); Craters of the Moon National Preserve (Idaho);,United States--Idaho--Butte County,Inferno Cone,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 9; 17-33",0105-01-09,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/55,55
shattuck56,Firefighters at dinner,The glass slide reads: 'Fire Fighters at dinner.',"Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 63; 22-15",105-01-63,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/56,56
shattuck57,Trench gang [2],"The glass slide reads: 'Trench gang, Firefighters at dinner.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 64; 22-16",105-01-64,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/57,57
shattuck58,Lolo Hot Spring (Montana),"The glass slide reads: 'View into a burning forest, Lolo Hot Springs.'","Shattuck, C. H.",1910,,Lolo National Forest (Mont.);Lolo Hot Springs;Montana;Missoula County,Lolo National Forest (Mont.),United States--Montana--Missoula County,Lolo Hot Springs,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 65; 22-17",105-01-65,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/58,58
shattuck59,Fire near Powell (Idaho),"The glass slide reads: 'Fire near Powell, Fires, 1910.'","Shattuck, C. H.",1910,,Rocky Point;Idaho;Idaho County,,United States--Idaho--Idaho County,Rocky Point,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 66; 22-18",105-01-66,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/59,59
shattuck60,Camp at Powell (Idaho),"The glass slide reads: 'Camp at Powell, Idaho, Fires, 1910.'","Shattuck, C. H.",1910,,Rocky Point;Idaho;Idaho County,,United States--Idaho--Idaho County,Rocky Point,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 67; 22-19",105-01-67,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/60,60
shattuck61,Spruce,"The glass slide reads: 'Spruce, 50,000 ft, per acre, Alene Creek.'","Shattuck, C. H.",1904,yes,,,United States,,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 40; 20-37",105-01-40,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/61,61
shattuck62,Mature Spruce,"The glass slide reads: 'Mature Spruce, White Sand Creek, Idaho.'","Shattuck, C. H.",1904,yes,Nezperce National Forest (Idaho);Kelly Mountain;Idaho;Idaho County,Nezperce National Forest (Idaho),United States--Idaho--Idaho County,Kelly Mountain,"Some of these photographs appear in a report from C. H. Shattuck, University of Idaho, Dept. of Forestry to Major F.A. Fenn, Supervisor, Clearwater National Forest (Day-NW SD428.C55S5) and in an article by C. H. Shattuck at the UI Agricultural Experiment Station Bulletin no. 91, Dec. 1916 (Idaho S 53 E416, http://digital.lib.uidaho.edu/cdm/ref/collection/ui_ep/id/3327)","C.H. Shattuck Collection, University of Idaho Library Digital Initiatives, http://digital.lib.uidaho.edu/cdm/search/collection/spec_cs","University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","Charles H. Shattuck lantern slides collection, 1904-1910, PG 105, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv40698,,"PG 105, Box 1, Slide 41; 20-39",105-01-41,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,lantern slides; black-and-white transparencies;,Image;StillImage,eng,image/jpeg,http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_cs/id/62,62
