objectid,title,description,interviewee,creator,creators title,interviewer,date original,date is approximate?,subject (lcsh),subject (keywords),coverage,latitude,longitude,publisher,contributing institution,publisher digital,digital collection,source,national archive number,identifier,regional office number,rights,format original,duration,type,digital format,language,website,genre,digitization specifications,date digital,full text,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path
sbw_014,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Wolfe, K., Forest Supervisor, 1929",,"Wolfe, K., Forest Supervisor",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,231796,R1EngrPics2b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/13,13,21.jp2,/sbw/image/21.jp2
sbw_015,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Photographer Unknown, 1936",,Photographer Unknown,,,1936,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics3,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/14,14,22.jp2,/sbw/image/22.jp2
sbw_016,"Bear Creek Ranger Station, Selway National Forest","Bear Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,"Jefferson, F. J.",,,1925,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.019257,-114.844408,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,195239,R1EngrPics4,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/15,15,23.jp2,/sbw/image/23.jp2
sbw_017,Paradise Guard Station,"Paradise Guard Station, Adams, A.C., 1928",,"Adams, A.C.",,,1928,,Selway-Bitterroot Wilderness,guard station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.860608,-114.743629,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,230643,R1EngrPics5,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/16,16,24.jp2,/sbw/image/24.jp2
sbw_018,Elk Summit Ranger Station,"Elk Summit Ranger Station, Bell, William J., 1929",,"Bell, William J.",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,235104,R1EngrPics6b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/17,17,25.jp2,/sbw/image/25.jp2
sbw_019,Elk Summit Ranger Station,"Elk Summit Ranger Station, Bell, William J., 1929",,"Bell, William J.",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.327017,-114.648228,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,235101,R1EngrPics6a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/18,18,26.jp2,/sbw/image/26.jp2
sbw_020,"Burnt Knob Lookout, Nez Perce National Forest","Burnt Knob Lookout, Nez Perce National Forest, Photographer Unknown, Ca. 1938",,Photographer Unknown,,,1938,,Selway-Bitterroot Wilderness,lookout; fire lookout,Selway-Bitterroot Wilderness (Idaho and Mont.),45.702463,-114.991508,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",unknown,348470,R1EngrPics7,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/19,19,27.jp2,/sbw/image/27.jp2
sbw_021,"Meadow Creek Ranger Station, Selway National Forest","Meadow Creek Ranger Station, Selway National Forest, Jefferson, F. J., 1925",,"Jefferson, F. J.",,,1925,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),45.941362,-115.267897,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,196704,R1EngrPics8a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/20,20,28.jp2,/sbw/image/28.jp2
sbw_022,Powell Ranger Station and Pack String,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,"Fickes, C. P.",,,1931,,Selway-Bitterroot Wilderness,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,283943,R1EngrPics13a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/21,21,29.jp2,/sbw/image/29.jp2
sbw_023,Powell Ranger Station,"Powell Ranger Station, Swan, K. D., 1933",,"Swan, K. D.",,,1933,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,282315,R1EngrPics16,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/22,22,3.jp2,/sbw/image/3.jp2
sbw_024,Powell Ranger Station and Pack String,"Powell Ranger Station and Pack String, Fickes, C. P., 1931",,"Fickes, C. P.",,,1931,,Selway-Bitterroot Wilderness,ranger station; pack string; horses; mules,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics13b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/23,23,30.jp2,/sbw/image/30.jp2
sbw_025,Office Building at Powell Ranger Station,"Office Building at Powell Ranger Station, Photographer Unknown, 1954-09-13",,Photographer Unknown,,,9/13/1954,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",unknown,,R1EngrPics14a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/24,24,31.jp2,/sbw/image/31.jp2
sbw_026,Dwelling at Powell Ranger Station,"Dwelling at Powell Ranger Station, Swan, K. D., 1932",,"Swan, K. D.",,,1932,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,272232,R1EngrPics17,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/25,25,4.jp2,/sbw/image/4.jp2
sbw_027,"Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse","Powell Ranger Station: L-R Cookhouse, Bunkhouse, Warehouse, Photographer Unknown, 1936",,Photographer Unknown,,,1936,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.509942,-114.712207,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,,R1EngrPics18,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/26,26,5.jp2,/sbw/image/5.jp2
sbw_028,"O'Hara Ranger Station, Nezperce National Forest","O'Hara Ranger Station, Nezperce National Forest, Wolfe, K., Supervisor, Selway National Forest, 1929",,"Wolfe, K., Supervisor, Selway National Forest",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,231804,R1EngrPics19a,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/27,27,6.jp2,/sbw/image/6.jp2
sbw_029,O'Hara Ranger Station,"O'Hara Ranger Station, Beatty, D. L. , 1920-08-01",,"Beatty, D. L.",,,8/1/1920,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,49068A,R1EngrPics19b,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/28,28,7.jp2,/sbw/image/7.jp2
sbw_030,O'Hara Ranger Station Commissary Building,"O'Hara Ranger Station Commissary Building, Wolfe, K., 1929",,"Wolfe, K.",,,1929,,Selway-Bitterroot Wilderness,ranger station,Selway-Bitterroot Wilderness (Idaho and Mont.),46.093829,-115.523672,,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","The Selway-Bitterroot Wilderness History Project, http://sbw.lib.uidaho.edu/index.html",R1EngrDiv Historical Facility Photo Files,231807,R1EngrPics20,,Public Domain,Black-and-white photographs,,Image;StillImage,image/jpg,eng,http://sbw.lib.uidaho.edu/index.html,,300 dpi TIFF original; 150 dpt JPEG for access.,2011,,,,11/28/2011,9/18/2015,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/sbw/id/29,29,8.jp2,/sbw/image/8.jp2
