title,filename,president,commencementaddress,guestspeakers,date,archivaldate,location,latitude,longitude,source,identifier,type,format,format original,language,rights,rightsstatement,Reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
University of Idaho Twenty Fifth Annual Commencement,commencement-jun1920.pdf,"Lindley, Ernest Hiram","Coulter, John Merle ",,1920-06-09,09 June 1920,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-jun1920,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1191,1191,1076.pdf,/commencement/image/1076.pdf,commencement023
University of Idaho Twenty-sixth Annual Commencement,uicommencement-1921-06-08.pdf,"Upham, Alfred Horatio ","Bryan, Enoch A. ",,1921-06-08,08 June 1921,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1921-06-08,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1084,1084,1187.pdf,/commencement/image/1187.pdf,commencement024
University of Idaho Twenty-Seventh Annual Commencement,uicommencement-1922-06-07.pdf,"Upham, Alfred Horatio ","Ward, Henry Baldwin ",,1922-06-07,07 June 1922,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1922-06-07,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1134,1134,1068.pdf,/commencement/image/1068.pdf,commencement025
The University of Idaho Twenty-Eighth Annual Commencement,commencement-1923.pdf,"Upham, Alfred Horatio ","Meany, Edmond Stephen","Moore, Hon. C.C.; Rockwell, Hon. Irvin E.",1923-06-11,11 June 1923,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1923,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1094,1094,1082.pdf,/commencement/image/1082.pdf,commencement026
The University of Idaho Twenty-Ninth Annual Commencement,commencement-1924.pdf,"Upham, Alfred Horatio ","MacLean, James Alexander",,1924-06-02,02 June 1924,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1924,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1101,1101,1171.pdf,/commencement/image/1171.pdf,commencement027
The University of Idaho Thirtieth Annual Commencement,commencement-1925.pdf,"Upham, Alfred Horatio ","Suzzallo, Henry",,1925-06-01,01 June 1925,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1925,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1081,1081,1164.pdf,/commencement/image/1164.pdf,commencement028
The University of Idaho Thirty-First Annual Commencement,commencement-1926.pdf,"Upham, Alfred Horatio ","Voorhees, Rev. Oscar M.",,1926-06-07,07 June 1926,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,commencement-1926,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1122,1122,1202.pdf,/commencement/image/1202.pdf,commencement029
University of Idaho Thirty-Second Annual Commencement,uicommencement-1927-06-06.pdf,"Upham, Alfred Horatio ","Thwing, Charles F. ",,1927-06-06,06 June 1927,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1927-06-06,text,application/pdf,commencement program,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1132,1132,1219.pdf,/commencement/image/1219.pdf,commencement030
University of Idaho Thirty-Third Annual Commencement,uicommencement-1928-06-11.pdf,"Kelly, Frederick James ","Lindley, Ernest H. ",,1928-06-11,11 June 1928,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1928-06-11,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1066,1066,1067.pdf,/commencement/image/1067.pdf,commencement031
University of Idaho Thirty-Fourth Annual Commencement,uicommencement-1929-06-10.pdf,"Kelly, Frederick James ","Spencer, M. Lyle ",,1929-06-10,10 June 1929,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1929-06-10,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1069,1069,1113.pdf,/commencement/image/1113.pdf,commencement032
The University of Idaho Thirty-Fifth Annual Commencement,commencement-1930.pdf,"Kelly, Frederick James ","Durham, N.W.",,1930-06-09,09 June 1930,Memorial Armory-Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1930,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1117,1117,1163.pdf,/commencement/image/1163.pdf,commencement033
University of Idaho Thirty-Sixth Annual Commencement,uicommencement-1931-06-08.pdf,"Neale, Mervin Gordon ","Foster, William Trufant ",,1931-06-08,08 June 1931,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1931-06-08,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1080,1080,1118.pdf,/commencement/image/1118.pdf,commencement034
University of Idaho Thirty-Seventh Annual Commencement,uicommencement-1932-06-06.pdf,"Neale, Mervin Gordon ","Bowman, Harold Leonard ",,1932-06-06,06 June 1932,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1932-06-06,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1145,1145,1060.pdf,/commencement/image/1060.pdf,commencement035
University of Idaho Thirty-Eighth Annual Commencement,uicommencement-1933-06-12.pdf,"Neale, Mervin Gordon ","Rowell, Chester H. ",,1933-06-12,12 June 1933,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1933-06-12,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1172,1172,1158.pdf,/commencement/image/1158.pdf,commencement036
University of Idaho Thirty-Ninth Annual Commencement,uicommencement-1934-06-11.pdf,"Neale, Mervin Gordon ","Dana, Marshall N.",,1934-06-11,11 June 1934,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1934-06-11,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1095,1095,1195.pdf,/commencement/image/1195.pdf,commencement037
University of Idaho Fortieth Annual Commencement,uicommencement-1935-06-10.pdf,"Neale, Mervin Gordon ","Lindley, Ernest K. ",,1935-06-10,10 June 1935,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1935-06-10,text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/commencement/id/1148,1148,1213.pdf,/commencement/image/1213.pdf,commencement038
