title,photographer,date,date is approximate,description,subject,subject (lcsh),subject (lctgm),location depicted,location,latitude,longitude,original identifier,source,digital collection,holding institution,ordering information,format original,type,format,digital identifier,date digital,language,web site,rightsstatement,rights,digital specifications,original reference url,original contentdm number,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Wallace (Idaho), Forest fire 1910 [09]","Barnard Studio (Wallace, Idaho)",1910-08-25,,"Image of Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); railroads; railroads cars,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Buildings; Bricks; Cities and towns,United States - Idaho - Shoshone County - Wallace,Wallace,47.471605,-115.922208,PG 8-X089b,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00089b,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,341",341,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/10,10,108.jp2,/bar-stock/image/108.jp2,barstock10
"Wallace (Idaho), Forest fire 1910 [08]","Barnard Studio (Wallace, Idaho)",1910-08-25,,"Image of Wallace, Idaho after the fire of August 20, 1910.   Caption on front: ""General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910""",fires; buildings (structures); railroads; railroads cars,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Buildings; Bricks; Cities and towns,United States - Idaho - Shoshone County - Wallace,Wallace,47.471625,-115.922228,PG 8-X090,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00090,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,342",342,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/11,11,109.jp2,/bar-stock/image/109.jp2,barstock11
"Wallace (Idaho), City Dairy [01]","Barnard Studio (Wallace, Idaho)",1920,yes,Interior view of a dairy where cows being milked by machine.,dairy barns; business (commercial function),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Milking; Dairy cattle,United States - Idaho - Shoshone County - Wallace,Wallace,47.473379,-115.923749,PG 8-X005a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00005a,2009-02-18,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,229",229,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/12,12,11.jp2,/bar-stock/image/11.jp2,barstock12
"Wallace (Idaho), Forest fire of 1910, Samuel's Hotel","Barnard Studio (Wallace, Idaho)",1910-08-22,,"Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel's Hotel on August 22, 1910.",fires; buildings (structures); groups of people; wagons (cargo vehicles),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Horses",Debris; Buildings; Bricks; Cities and towns; Men,United States - Idaho - Shoshone County - Wallace,Wallace,47.471645,-115.922248,PG 8-X092,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00092,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,344",344,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/13,13,110.jp2,/bar-stock/image/110.jp2,barstock13
"Wallace (Idaho), Forest fire 1910 [07]","Barnard Studio (Wallace, Idaho)",1910-08-22,,"Image of Wallace, Idaho after the fire of August 20, 1910.",fires; buildings (structures); groups of people,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Buildings; Bricks; Cities and towns; Men; Women,United States - Idaho - Shoshone County - Wallace,Wallace,47.471635,-115.922238,PG 8-X091a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00091a,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,343",343,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/14,14,111.jp2,/bar-stock/image/111.jp2,barstock14
"Wallace (Idaho), Flood of 1896","Barnard Studio (Wallace, Idaho)",1896-03-01,yes,"Image is of Wallace, Idaho after the flood of 1896.  Caption on front: ""Results of flood on placer creek, Wallace, Idaho late in November 1896. Similar flood occurred late in January, 1894 but no photos available. These were flash floods as result of deep snow, heavy rains, Chinook winds that removed the snow very fast.""",buildings (structures); groups of people; floods (natural events),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Wooden Buildings; Cities and towns; Men; Women,United States - Idaho - Shoshone County - Wallace,Wallace,47.475761,-115.931272,PG 8-X093,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00093,2009-03-11,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,345",345,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/15,15,112.jp2,/bar-stock/image/112.jp2,barstock15
"Wallace (Idaho), Flood of 1906 [04]","Barnard Studio (Wallace, Idaho)",1906-11-15,,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures); floods (natural events),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Wooden Buildings; Cities and towns,United States - Idaho - Shoshone County - Wallace,Wallace,47.472115,-115.915994,PG 8-X094,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00094,2009-03-17,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,346",346,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/16,16,113.jp2,/bar-stock/image/113.jp2,barstock16
"Wallace (Idaho), Flood of 1897","Barnard Studio (Wallace, Idaho)",1897,yes,"Image is of Wallace, Idaho after the flood of 1897.",buildings (structures); dwellings; floods (natural events),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Wooden Buildings; Cities and towns,United States - Idaho - Shoshone County - Wallace,Wallace,47.475772,-115.931287,PG 8-X095a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00095a,2009-03-17,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,347",347,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/17,17,114.jp2,/bar-stock/image/114.jp2,barstock17
Coeur d'Alene cut off [01],"Barnard Studio (Wallace, Idaho)",1913,yes,Image shows a scenic view of the N.P. [Northern Pacific] train on the South bridge.,railroads bridges; steam locomotives,"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections; Mine railroad trains; Railroad tracks",Steam engines; Railroad bridges,United States - Idaho,,,,PG 8-X049a,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00049a,2009-02-20,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,280",280,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/18,18,115.jp2,/bar-stock/image/115.jp2,barstock18
"Wallace (Idaho), Flood of 1906 [02]","Barnard Studio (Wallace, Idaho)",1906-11-15,,"Image is of Wallace, Idaho after the Canyon Creek flood November 15, 1906.",buildings (structures); groups of people; railroads; floods (natural events),"Barnard, T. N. (Thomas Nathan) - Photograph collections; Stockbridge, Nellie - Photograph collections",Debris; Wooden Buildings; Cities and towns; Men; Women,United States - Idaho - Shoshone County - Wallace,Wallace,47.472115,-115.915984,PG 8-X096,"PG 8, Barnard-Stockbridge Collection",University of Idaho Library Digital Initiatives,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",8x10 black and white glass negative,Image;StillImage,image/jpg,8-X00096,2009-03-17,eng,http://www.lib.uidaho.edu/digital/barstock/,https://creativecommons.org/publicdomain/mark/1.0/,"Material has passed into Public Domain based on date of creation. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","300 dpi grayscale, Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.","http://contentdm.lib.uidaho.edu/u?/barstock,348",348,,,2011-12-16,2018-05-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bar-stock/id/19,19,116.jp2,/bar-stock/image/116.jp2,barstock19
