title,description,date,date is approximate,subject,latitude,longitude,digital collection,source,donor,box number,identifier,rights,standardized rights,format original,type,format,cdmid,contentdm file name,objectid
Dewey Mill equipment,Men transport a cam shaft on a toboggan through the snow for the Dewey Mill near Thunder Mountain.,1902,yes,sleds; winter; snow; mills (equipment);,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 50",26-P011,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x4 black and white print,Image;StillImage,image/jpg,134,135.jp2,stonebraker134
Mill building near Thunder Mountain [01],Our washer woman at Thunder Mountain. Creek waters shown diverted under mill.,1902,yes,mills (buildings); winter; snow; mining;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 51",26-P012,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.5x3.25 black and white print,Image;StillImage,image/jpg,135,136.jp2,stonebraker135
Mill building near Thunder Mountain [02],Mill building being constructed in the snow near Thunder Mountain.,1903,yes,mills (buildings); winter; snow; mining;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 52",26-P013,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,136,137.jp2,stonebraker136
Funeral through Chamberlain Basin,Funeral of Mr. C.A. Gordon in the snow. A dogsled team can be seen in the distance.,1927,yes,forests; winter; snow; funerals;,45.390023,-115.19925,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 53",26-P014,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3x4 black and white print,Image;StillImage,image/jpg,137,138.jp2,stonebraker137
National Guard airplane at Stonebraker Ranch [01],"A young boy Adolph ""Bill"" (left) and mother Golda stand near a National Guard 116th Observation Squadron. The plane reads ""U.S. Army Consolidated 0-17 NG 28-360"" on its side. Plane is parked in the Chamberlain Basin meadow near the Stonebraker Ranch. The pilot was Nick Mamer.",8/21/1928,,military aircraft; women; children;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 7",26-N08,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,138,139.jp2,stonebraker138
First train on the Porcupine Railway,Postcard mailed in Canada to Chicago.,1902,yes,postcards; trains; winter; snow;,52.577462,-102.969953,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 55",26-P016,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x5 black and white print,Image;StillImage,image/jpg,139,140.jp2,stonebraker139
Boat on the River,Scow with two sweeps on river rapids on the south fork of the Clearwater River.,1905,yes,rapids; rivers; scows; boats;,46.112723,-115.982645,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 56",26-P017,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.5x4.5 black and white print,Image;StillImage,image/jpg,140,141.jp2,stonebraker140
Machinery on wagon,Large piece of equipment being transported on a wagon through the forest.,1902,yes,machinery; forests; wagons;,46.076742,-116.036696,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 54",26-P015,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,141,142.jp2,stonebraker141
Chamberlain Ranger Station,"The Chamberlain Ranger Station.  Ranger Frank Foster, his wife, and two other men stand on the front step of the log cabin. Sign over the door reads""Chamberlain.""",1920,yes,log cabins; women; ranger stations;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 57",26-P018,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x4.75 black and white print,Image;StillImage,image/jpg,142,143.jp2,stonebraker142
Airplane at Stonebraker Ranch [02],"Pilot Nick Mamer, center, and three men stand beside his airplane at the Stonebraker Ranch. A sign in the background reads ""Learn to fly.""",8/21/1928,,airplanes; pilots;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 58",26-P019,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,3.5x4.5 black and white print,Image;StillImage,image/jpg,143,144.jp2,stonebraker143
W.A. Stonebraker with camera,"W.A. Stonebraker holds a camera on a river bank of the south fork of the Clearwater River in Stites, Idaho.",1903,yes,cameras; photographers; South Fork Clearwater River;,46.093411,-115.978181,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 59",26-P020,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpg,144,145.jp2,stonebraker144
Porcupine City from the lake,Postcard mailed in Canada to Chicago.,1902,yes,postcards; winter; snow;,52.577462,-102.969953,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 60",26-P021,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x5 black and white print,Image;StillImage,image/jpg,145,146.jp2,stonebraker145
"Children with dog in Stites, Idaho","Elizabeth Jackson (left) and Leeta Stonebraker with dog in Stites, Idaho.",1902,yes,dogs; children; storefronts;,46.091388,-115.976567,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 61",26-P022,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,146,147.jp2,stonebraker146
Pack train for Thunder Mountain [01],Just starting out to Thunder Mountain. Log worm fence to the right.,1902,yes,horses; fences;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 63",26-P024,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,147,148.jp2,stonebraker147
Baling Hay at the Stonebraker Ranch [01],W.A. Stonebraker (Bill) on far left holds a pitchfork. Another man sits at the reign of a two horse pull with another horse-drawn wagon ready to fill with hay.,9/1/1931,yes,horses; wagons; mountains; hay; plows;,45.3893561,-115.1976139,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 8",26-N09,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,148,149.jp2,stonebraker148
Hunting near the Clearwater River [01],"W.A. Stonebraker (left), Sumner Stonebraker, and J.M. Woodburn, M.D. pose on horseback near the riverbank.",1903,yes,horses; South Fork Clearwater River;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 64",26-P025,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4.5x6.5 black and white print,Image;StillImage,image/jpg,149,150.jp2,stonebraker149
Pack train for Thunder Mountain [02],Just starting out to Thunder Mountain. Log worm fence to the right.,1902,yes,horses; fences;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 62",26-P023,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x3.25 black and white print,Image;StillImage,image/jpg,150,151.jp2,stonebraker150
Stonebraker pack train [01],Stonebraker pack train at the Juno Group of Claims property owned by Stonebraker near Monumental Creek.,1903,yes,mules; forests; pack baskets; rifles;,45.4061,-115.8014,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 65",26-P026,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,151,152.jp2,stonebraker151
Hunting in Chamberlain Basin,Sumner Stonebraker (left) and W.A. Stonebraker pose with rifles over a silver tip grizzly bear.,1903,yes,grizzly bears; hunting; forests; rifles;,45.362412,-115.183724,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 66",26-P027,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 black and white print,Image;StillImage,image/jpg,152,153.jp2,stonebraker152
Hunting season in Chamberlain Basin,Pilot Nick Mamer (left) and unidentified man sit beside airplane with mountain goat and bighorn sheep trophies in the meadow near the Stonebraker Ranch.,8/21/1928,,airplanes; mountain goats; hunting; pilots; bighorn sheep; animal trophies;,46.093411,-115.978181,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 67",26-P028,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.5x4.25 black and white print,Image;StillImage,image/jpg,153,154.jp2,stonebraker153
Sumner Stonebraker with mule [02],Sumner Stonebraker with Bosco the mule near the river.,1903,yes,mules; water;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 68",26-P029,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.75x3 black and white print,Image;StillImage,image/jpg,154,155.jp2,stonebraker154
Men in submerged boat [01],"Four men in half-submerged scow on the Clearwater River south of Stites, Idaho.",1903,yes,scows; boats; rivers; forests; South Fork Clearwater River;,46.190643,-116.011634,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 69",26-P030,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2.75x4.5 black and white print,Image;StillImage,image/jpg,155,156.jp2,stonebraker155
Construction at Thunder Mountain,Two men (Schofield and Riggs) at Thunder Mountain.,1903,yes,forests; rocks;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 71",26-P032,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,2x3.25 black and white print,Image;StillImage,image/jpg,156,157.jp2,stonebraker156
Snowy cabin at Big Creek,Dog at doorway of snow covered log cabin near Big Creek. An axe is forked into the roof.,1903,yes,log cabins; snow; winter; dogs;,45.6239,-115.5136,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 70",26-P031,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,4.25x3.25 black and white print,Image;StillImage,image/jpg,157,158.jp2,stonebraker157
Sleds in the snow,Two men pull a sled through the snow.,1903,yes,sleds; winter; snow;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 72",26-P033,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x4 black and white print,Image;StillImage,image/jpg,158,159.jp2,stonebraker158
Airplane at Stonebraker Ranch [03],"An airplane with the banner ""Mamer Flying Service, Inc."" parks in a meadow near the Stonebraker Ranch. Pilot Nick Mamer flew the plane to the Chamberlain Basin from Spokane, Washington. The plane is numbered ""C6156, Stearman.""",11/4/1928,,airplanes;,45.377852,-115.198892,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 9",26-N10,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,2.75x4.5 black and white negative,Image;StillImage,image/jpg,159,160.jp2,stonebraker159
Tent camp on Thunder Mountain [01],Five men and one woman pose near a tent camp in the snow on the Fourth of July. The woman may be Viola Lamb.,7/4/1903,,tents; snow; camping; holidays; forests;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 73",26-P034,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.25 black and white print,Image;StillImage,image/jpg,160,161.jp2,stonebraker160
Tent camp on Thunder Mountain [02],Two men and one woman pose near a tent camp in the snow on the Fourth of July. Jim Moore may be on the left; the woman may be Viola Lamb.,7/4/1903,,tents; snow; camping; holidays; forests;,44.950188,-115.133438,"Stonebraker Photograph Collection, University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/stonebraker/","William Allen Stonebraker Photographs, Photo Group 26","Henderson, Donna","Photo Group 26, William Allen Stonebraker Photographs, Box 74",26-P035,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.25x3.5 black and white print,Image;StillImage,image/jpg,161,162.jp2,stonebraker161
