title,description,authors,date,subject,publisher,identifier,rights,rightsstatement,document type,type,format digital,language,full text,filename,OCLC number,date created,date modified,reference url,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
Comparison of Methods to Detect Conifer Encroachment into Aspen Stands Using LandSat 7 ETM+ Satellite Imagery,"Thesis by Sarah Heide concerning Remote Sensing, Plant Communities, Monitoring and other subjects",Sarah Heide,2002,Remote Sensing;Plant Communities;Monitoring,University of Idaho,Heide_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/10,10,19.pdf,/rangecoll/image/19.pdf,rangecoll10
Ability For Yellow Starthistle to Compete for Soil Resources and Produce Seedheads,"Thesis by Alan Bower concerning Invasive Plants, Plant Communities, Ecology and other subjects",Alan Bower,2003,Invasive Plants;Plant Communities;Ecology,University of Idaho,Bower_2003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/11,11,2.pdf,/rangecoll/image/2.pdf,rangecoll11
Grazing by Cattle and Sheep Affect Yellow Starthistle on Idaho Rangelands,"Thesis by Elayne Hovde concerning Livestock, Grazing, Invasive Plants and other subjects",Elayne Hovde,2006,Livestock;Grazing;Invasive Plants,University of Idaho,Hovde_2006,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/12,12,20.pdf,/rangecoll/image/20.pdf,rangecoll12
Effects of Grazing Intensity on Vegetation Composition on Reclaimed Mine Lands,"Thesis by John Kouns concerning Grazing, Restoration and other subjects",John Kouns,2000,Grazing;Restoration,University of Idaho,Kouns_2000,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/13,13,21.pdf,/rangecoll/image/21.pdf,rangecoll13
Implications of Climate Variability on Large Fires Across Spatiotemporal Scales in Sagebrush Steppe,"Thesis by Andrea Kuchy concerning Fire, Ecology, Plant Communities and other subjects",Andrea Kuchy,2008,Fire;Ecology;Plant Communities,University of Idaho,Kutchy_2008,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/14,14,22.pdf,/rangecoll/image/22.pdf,rangecoll14
Singleleaf Pinon and Utah Juniper Canopy Interception and Understory Characteristics in Central Nevada,"Thesis by Sam Lossing concerning Rangeland Management, Ecology and other subjects",Sam Lossing,2012,Rangeland Management;Ecology,University of Idaho,Lossing_2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/15,15,23.pdf,/rangecoll/image/23.pdf,rangecoll15
"Guidebook to the Seeds of Native and Non-Native Grasses, Forbs and Shrubs of the Great Basin","Field Guide by Scott Lambert concerning Plant Communities, Native Plants, Restoration and other subjects",Scott Lambert,2005,Plant Communities;Native Plants;Restoration,Bureau of Land Management,Lambert_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Field Guide,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/16,16,24.pdf,/rangecoll/image/24.pdf,rangecoll16
LiDAR Remote Sensing for Wildlife Habitat Characterization and Modeling: Incorporating Remotely Sensed Vegetation Structure into Current Assessment of Animal Distribution and Conservation,"Dissertation  by Sabastian Martinuzzi concerning Remote Sensing, Wildlife and other subjects",Sabastian Martinuzzi,2011,Remote Sensing;Wildlife,University of Idaho,Martinuzzi_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/17,17,25.pdf,/rangecoll/image/25.pdf,rangecoll17
"Ranch Level Economic Impacts of Western Juniper Enchroachment On Sagebrush Steppe Ecosystems in Owyhee County, Idaho",Thesis by Ashley McClain concerning Rangeland Management and other subjects,Ashley McClain,2013,Rangeland Management,University of Idaho,McClain_2013,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/18,18,26.pdf,/rangecoll/image/26.pdf,rangecoll18
Multi-scale Assessment of the Effect of Livestock Grazing on Remotely-Sensed Burn Severity Under Wildfire Conditions,"Thesis by Amber Morris concerning Remote Sensing, Grazing, Fire and other subjects",Amber Morris,2010,Remote Sensing;Grazing;Fire,University of Idaho,Morris_2010,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/19,19,27.pdf,/rangecoll/image/27.pdf,rangecoll19
Quantifying Bidirectional Reluctance Factors for Delineating Shrub-Steppe Vegetation Types Across Scales from the Plant to the Landscape,"Dissertation  by Javier Naupari concerning Remote Sensing, Ecology and other subjects",Javier Naupari,2011,Remote Sensing;Ecology,University of Idaho,Naupari_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/20,20,28.pdf,/rangecoll/image/28.pdf,rangecoll20
Effects of Trampling and Fire on Lepidium Papilliferum and Slickspot Habitat,"Thesis by Shaniko Nichol-Driskill concerning Livestock, Native Plants, Fire and other subjects",Shaniko Nichol-Driskill,2011,Livestock;Native Plants;Fire,University of Idaho,Nichol-Driskill_2011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/21,21,29.pdf,/rangecoll/image/29.pdf,rangecoll21
Predicting Utilization of Foothills and Mountain Rangelands By Cattle in Summer,"Dissertation  by Tracy Brewer concerning Livestock, Rangeland Management, Grazing and other subjects",Tracy Brewer,2004,Livestock;Rangeland Management;Grazing,University of Idaho,Brewer_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Dissertation,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/22,22,3.pdf,/rangecoll/image/3.pdf,rangecoll22
The Response Of A Spotted Knapweed Dominated Community To Selective Defoliation At Different Phenologies,"Thesis by Daniel Patten concerning Grazing, Livestock, Invasive Plants and other subjects",Daniel Patten,2009,Grazing;Livestock;Invasive Plants,University of Idaho,Patten_2009,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/23,23,30.pdf,/rangecoll/image/30.pdf,rangecoll23
The Use and Evaluation of Computer Technologies to Inform Children and Adults About Rangelands,"Thesis by Jennifer Peterson concerning Education, Teachers, Rangeland Management and other subjects",Jennifer Peterson,2005,Education;Teachers;Rangeland Management,University of Idaho,Peterson_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/24,24,31.pdf,/rangecoll/image/31.pdf,rangecoll24
Effects of Perennial Plant Competition on the Invasibility of Canyon Grassland Communities by Centaurea solstitialis,"Thesis by Sandra Robins concerning Invasive Plants, Plant Communities, Ecology and other subjects",Sandra Robins,2001,Invasive Plants;Plant Communities;Ecology,University of Idaho,Robins_2001,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/25,25,32.pdf,/rangecoll/image/32.pdf,rangecoll25
The Efficacy of Aerial Photography Analysis for Determining Disturbances in Aquatic Ecosystems,"Thesis by Katherine Lanspery concerning Ecology, Remote Sensing and other subjects",Katherine Lanspery,2005,Ecology;Remote Sensing,University of Idaho,Lanspery_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/26,26,33.pdf,/rangecoll/image/33.pdf,rangecoll26
Native Plants for Restoration and Revegetation Programs,"Thesis by Sara Robson concerning Plant Communities, Restoration, Native Plants and other subjects",Sara Robson,2005,Plant Communities;Restoration;Native Plants,University of Idaho,Robson_2005,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/27,27,34.pdf,/rangecoll/image/34.pdf,rangecoll27
Effects of Sheep Grazing on Vegetation Recovery After Wildfire in a Sagebrush Steppe Community and Revegetation of Annual Grasslands,"Thesis by Lovina Roselle concerning Grazing, Fire, Livestock and other subjects",Lovina Roselle,2007,Grazing;Fire;Livestock,University of Idaho,Roselle_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/28,28,35.pdf,/rangecoll/image/35.pdf,rangecoll28
Fire Patterns Within A Successional Gradient of a Sagebrush Steppe/Juniper Woodland,"Thesis by Aaron Roth concerning Plant Communities, Fire, Ecology and other subjects",Aaron Roth,2004,Plant Communities;Fire;Ecology,University of Idaho,Roth_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/29,29,36.pdf,/rangecoll/image/36.pdf,rangecoll29
Vegetation Treatment Effects in a Wyoming Big Sagebrush Community and A Comparison of Two Methods for Estimating Shrub Canopy Cover,"Thesis by Katie Santini concerning Monitoring, Plant Communities and other subjects",Katie Santini,2012,Monitoring;Plant Communities,University of Idaho,Santini_2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/30,30,37.pdf,/rangecoll/image/37.pdf,rangecoll30
"Using Cluster Analysis and Ordination to Describe the Habitat of Spalding's Catchfly, a Threatened Forb, at Garden Creek Ranch","Thesis by Mamie Smith concerning Plant Communities, Ecology, Native Plants and other subjects",Mamie Smith,2007,Plant Communities;Ecology;Native Plants,University of Idaho,Smith_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/31,31,38.pdf,/rangecoll/image/38.pdf,rangecoll31
An Assessment of Abandoned Railroad Grades in Riparian Areas in the University of Idaho Experimental Forest,"Thesis by Eric Loomis concerning Monitoring, Rangeland Management and other subjects",Eric Loomis,2004,Monitoring;Rangeland Management,University of Idaho,Loomis_2004,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/32,32,39.pdf,/rangecoll/image/39.pdf,rangecoll32
Long-Term Vegetation Dynamics and Post-Fire Establishment Patterns of Sagebrush Steppe,"Thesis by Elizabeth Colket concerning Fire, Plant Communities, Monitoring and other subjects",Elizabeth Colket,2003,Fire;Plant Communities;Monitoring,University of Idaho,Colket_2003,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/33,33,4.pdf,/rangecoll/image/4.pdf,rangecoll33
Perennial Shrub and Harvester Ant Responses to Environmental Gradients in Southern California Deserts,Thesis by Ben Wissinger concerning Ecology and other subjects,Ben Wissinger,2012,Ecology,University of Idaho,Wissinger_2012,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/34,34,40.pdf,/rangecoll/image/40.pdf,rangecoll34
Western Juniper Succession: Changing Fuels and Fire Behavior,"Thesis by Curtis Yanish concerning Fire, Ecology, Monitoring and other subjects",Curtis Yanish,2002,Fire;Ecology;Monitoring,University of Idaho,Yanish_2002,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/35,35,41.pdf,/rangecoll/image/41.pdf,rangecoll35
"Effects of Livestock Trampling on Lepidium Papilliferum, its Habitat and Subsequent Hydrology in Southwestern Idaho","Thesis by Jacob Young concerning Native Plants, Grazing, Plant Communities and other subjects",Jacob Young,2007,Native Plants;Grazing;Plant Communities,University of Idaho,Young_2007,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Thesis,Text,application/pdf,eng,,,,2015-03-10,2015-03-10,http://digital.lib.uidaho.edu:80/cdm/ref/collection/rangecoll/id/36,36,42.pdf,/rangecoll/image/42.pdf,rangecoll36
