title,description,date,date_is_approximate,subject,campus_event,campus_organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format_original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Beta Theta Pi Dance [01],Group picture at the Beta Theta Pi formal dance.,1949,yes,fraternities; students,Greek Life,Beta Theta Pi,46.728132,-117.008382,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-010,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/10,10,19.jp2,/pg2/image/19.jp2,pg210
Alpha Chi Omega House [02],"Alpha Chi Omega house on 709 Elm Street, prior to remodeling.",1933,yes,sororities; sorority houses,Greek Life,Alpha Chi Omega,46.728606,-117.008478,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/11,11,2.jp2,/pg2/image/2.jp2,pg211
Beta Theta Pi Dance [02],Joyce Wardle and James Patrick Connors at the Beta Theta Pi formal dance.,1949,yes,fraternities; students,Greek Life,Beta Theta Pi,46.727959,-117.00858,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-011,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/12,12,20.jp2,/pg2/image/20.jp2,pg212
Beta Theta Pi Dance [03],Donald Stiles Carley and Geraldine Ruth Fox at the Beta Theta Pi formal dance.,1949,yes,fraternities; students,Greek Life,Beta Theta Pi,46.728104,-117.008557,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-012,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/13,13,21.jp2,/pg2/image/21.jp2,pg213
Beta Theta Pi Dance [04],Marianne Laura Hutchinson and Donald Paul Lindsey at the Beta Theta Pi formal dance.,1949,yes,fraternities; students,Greek Life,Beta Theta Pi,46.728177,-117.008565,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-013,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/14,14,22.jp2,/pg2/image/22.jp2,pg214
Beta Theta Pi House [08],"Beta Theta Pi house on the northwest corner of Idaho and Elm Streets, covered in snow.",1959,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728263,-117.008814,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-014,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/15,15,23.jp2,/pg2/image/23.jp2,pg215
Beta Theta Pi House [09],"Students lounging around the living room at the Beta Theta Pi house, which is located on the northwest corner of Idaho and Elm Streets.",1935,yes,fraternities; fraternity houses; students; men,Greek Life,Beta Theta Pi,46.728116,-117.008471,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-015,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/16,16,24.jp2,/pg2/image/24.jp2,pg216
Beta Theta Pi House [10],Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1942,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728023,-117.008523,Xavier 'Bud' Durant,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-016,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6 1/2x8 1/2 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/17,17,25.jp2,/pg2/image/25.jp2,pg217
Beta Theta Pi House [11],Interior of the Beta Theta Pi house on the northwest corner of Idaho and Elm Streets.,1942,yes,fraternities; fraternity houses,Greek Life,Beta Theta Pi,46.728211,-117.008533,Xavier 'Bud' Durant,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-017,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6 1/2x8 1/2 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/18,18,26.jp2,/pg2/image/26.jp2,pg218
Beta Theta Pi [01],"Group picture outside the Beta Theta Phi house, located on the northwest corner of Idaho and Elm Streets.",1942,yes,fraternities; students,Greek Life,Beta Theta Pi,46.727984,-117.008637,Xavier 'Bud' Durant,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-018,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6 1/2x8 1/2 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/19,19,27.jp2,/pg2/image/27.jp2,pg219
Beta Theta Pi [02],"Group picture outside the Beta Theta Phi house, located on the northwest corner of Idaho and Elm Streets.",1942,yes,fraternities; students,Greek Life,Beta Theta Pi,46.72811,-117.00848,Xavier 'Bud' Durant,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-019,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6 1/2x8 1/2 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/20,20,28.jp2,/pg2/image/28.jp2,pg220
Beta Theta Pi [03],"Group picture outside the Beta Theta Phi house, located on the northwest corner of Idaho and Elm Streets.",1941,yes,fraternities; students,Greek Life,Beta Theta Pi,46.728176,-117.00839,Xavier 'Bud' Durant,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004-020,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6 1/2x8 1/2 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/21,21,29.jp2,/pg2/image/29.jp2,pg221
Alpha Chi Omega House [03],"Alpha Chi Omega house on 709 Elm Street, after the 1934 remodeling.",1934,yes,sororities; sorority houses,Greek Life,Alpha Chi Omega,46.728641,-117.008545,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",001-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8.5x6.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/22,22,3.jp2,/pg2/image/3.jp2,pg222
Beta Theta Pi [04],"Group picture of Beta Theta Pi. Front Row L-R: Lee Miller, Skip Ward, Lance Johnson, Kent Hove, Danny Langdon, Ron Hunt. Center Row L-R: Arny Skov, J.S.G., Reg Carolan, Mrs. Cummins, Ron Lichau, Pat McQuade, John West. Back Row L-R: Randy Litton, Herb Carlson, Kendall King, Bruce McCowan, Tim Green, Jon Rudy, Don Modie, Bill Stowe, Larry Parberry",1955,yes,fraternities; students; men,Greek Life,Beta Theta Pi,46.728098,-117.00864,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004_020a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/23,23,30.jp2,/pg2/image/30.jp2,pg223
Beta Theta Pi [05],"Group picture of Beta Theta Pi. Front row L-R: Bob Hemlick, Bob Livingston, Kendall King, Tim Daley, Clair Kanaston, Mike Boles, Bill Stowe, David Munn, Ed Kale. Row 2 L-R: Bob Kopke, Neal Newhouse, Lee Griffin, Lance Johnson, Art Lindemer, Jim Golden, Garth Brown, Gale Conrad, Lauri Fowler, Joe Komen, Jim Richel. Row 3 L-R: Frank Cammack, Brent Burningham, Tom Ratcliffe, Dick Wyatt, Jerry Gneckow, Bill Deal, Mrs. Cummins, Mike Patton, Norm Howse, Dave Eskelin, Bill Boyce, Rich Kalferd. Row 4 L-R: Wiley Wagner, Tom Reveley, Tom Rudy, Skip Ward, Tim Green, Tom Scharf, Reg Corolan, Ron Lichau, Pat McQuade, J.S.G., Jon Nilson, Bruce Cairns, Bruce McCowan, Stu Robertson, Dave Maxey, Barry Thielke. Row 5 L-R: Denny McLean, Ron Hunt, Lee Miller, Herb Carlson, Gordon Gray, Don Modie, Knute Westergren, John West, John Arduser, Jack Little, Gorden Fowler, Danny Langdon, Grahm Knox, Mike Killien. Row 6 L-R: Randy Litton, Larry Parberry, Arny Skov, Burt Allen, Bob Hansen, Kent Hove, Stan Pierce.",1955,yes,fraternities; students; men,Greek Life,Beta Theta Pi,46.728063,-117.008679,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",004_021,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/24,24,31.jp2,/pg2/image/31.jp2,pg224
Delta Chi House [01],Delta Chi house on the southeast corner of University and Elm Streets.,1925,yes,fraternities; fraternity houses,Greek Life,Delta Chi,46.726785,-117.008181,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/25,25,32.jp2,/pg2/image/32.jp2,pg225
Delta Chi House [02],Delta Chi house on the southeast corner of University and Elm Streets.,1935,yes,fraternities; fraternity houses,Greek Life,Delta Chi,46.726775,-117.008181,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/26,26,33.jp2,/pg2/image/33.jp2,pg226
Delta Chi House [03],Delta Chi house on the southeast corner of University and Elm Streets.,1955,yes,fraternities; fraternity houses,Greek Life,Delta Chi,46.726765,-117.008181,Publications Dept. U of I,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-004,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/27,27,34.jp2,/pg2/image/34.jp2,pg227
Delta Chi House [04],Delta Chi house on the southeast corner of University and Elm Streets.,1935,yes,fraternities; fraternity houses,Greek Life,Delta Chi,46.726785,-117.008191,Publications Dept. U of I,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-005,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/28,28,35.jp2,/pg2/image/35.jp2,pg228
Delta Chi House [05],"Delta Chi house on the southeast corner of University and Elm Streets, covered in snow.",1935,yes,fraternities; fraternity houses,Greek Life,Delta Chi,46.726785,-117.008171,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/29,29,36.jp2,/pg2/image/36.jp2,pg229
Delta Chi House [06],"Students sitting around the living room of the Delta Chi houses, located on the southeast corner of University and Elm Streets.",1935,yes,fraternities; fraternity houses; students,Greek Life,Delta Chi,46.726785,-117.008161,Hodgins,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",005-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/30,30,37.jp2,/pg2/image/37.jp2,pg230
Delta Delta Delta House [01],"Delta Delta Delta house on the northeast corner of College and Deakin Streets. House was occupied by Omega Alpha, which became Delta Delta Delta in 1929.",1926,yes,sororities; sorority houses,Greek Life,Delta Delta Delta,46.727625,-117.006767,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",006-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/31,31,38.jp2,/pg2/image/38.jp2,pg231
Delta Delta Delta House [02],Delta Delta Delta house on the northeast corner of College and Deakin Streets. Delta Delta Delta occupied the house until 1931.,1926,yes,sororities; sorority houses,Greek Life,Delta Delta Delta,46.727635,-117.006767,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",006-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/32,32,39.jp2,/pg2/image/39.jp2,pg232
Alpha Phi House [03],Alpha Phi house on the southeast corner of 6th and Elm Streets.,1964,yes,sororities; sorority houses,Greek Life,Alpha Phi,46.729737,-117.008151,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",002-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x3.5 color print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/33,33,4.jp2,/pg2/image/4.jp2,pg233
Delta Delta Delta House [03],Delta Delta Delta house under construction on the southwest corner of Elm and 6th Streets.,1930,yes,sororities; sorority houses,Greek Life,Delta Delta Delta,46.729625,-117.008484,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",006-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/34,34,40.jp2,/pg2/image/40.jp2,pg234
Delta Delta Delta House [04],Delta Delta Delta house on the southwest corner of Elm and 6th Streets.,1935,yes,sororities; sorority houses,Greek Life,Delta Delta Delta,46.729625,-117.008474,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",006-004,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,6x5 black and white film negative,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/35,35,41.jp2,/pg2/image/41.jp2,pg235
Delta Delta Delta House [05],Delta Delta Delta house on the southwest corner of Elm and 6th Streets.,1935,yes,sororities; sorority houses,Greek Life,Delta Delta Delta,46.729625,-117.008464,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",006-005,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/36,36,42.jp2,/pg2/image/42.jp2,pg236
Delta Gamma House [01],Delta Gamma house on the northeast corner of Idaho and Elm Streets.,1930,yes,sororities; sorority houses,Greek Life,Delta Gamma,46.72799,-117.008083,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",007-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,Image;StillImage,image/jpg,eng,2017-10-17,2017-10-17,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/37,37,43.jp2,/pg2/image/43.jp2,pg237
