objectid,title,description,creator,date,subject,location,latitude,longitude,digital collection,collection,findingaid,rights,rightsstatement,format original,pages,identifier,type,format,language,cdm_url,cdmid,contentdm file name,contentdm file path file path
chatcolab10,Chatcolab 1967 - Carving a New Image,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1967-05-14,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.372363,-116.767381,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,234,MG571_1967,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/10,10,19.pdf,/chatcolab/image/19.pdf
chatcolab11,Chatcolab Notes for '50' - Strangers are but Friends in Disguise,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1950-05-17,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374428,-116.763556,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,105,MG571_1950,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/11,11,2.pdf,/chatcolab/image/2.pdf
chatcolab12,Chatcolab 1968 - Count Down for Tomorrow,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1968-05-12,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.373221,-116.764662,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,247,MG571_1968,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/12,12,20.pdf,/chatcolab/image/20.pdf
chatcolab13,Chatcolab 1969 - Beginnings,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1969-05-11,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374736,-116.764917,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,352,MG571_1969,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/13,13,21.pdf,/chatcolab/image/21.pdf
chatcolab14,Chatcolab 1970 - New Horizons,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1970-05-09,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.373453,-116.762866,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,130,MG571_1970,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/14,14,22.pdf,/chatcolab/image/22.pdf
chatcolab15,Chatcolab 1971 - The Unfolding Process,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1971-05-09,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374231,-116.76499,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,204,MG571_1971,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/15,15,23.pdf,/chatcolab/image/23.pdf
chatcolab16,Chatcolab 1972 - Leadership is a Process,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1972-05-14,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.372261,-116.765087,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,256,MG571_1972,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/16,16,24.pdf,/chatcolab/image/24.pdf
chatcolab17,Chatcolab 1973 - Because We Care(25th Chat),"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1973-05-13,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.373862,-116.766441,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,326,MG571_1973,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/17,17,25.pdf,/chatcolab/image/25.pdf
chatcolab18,Chatcolab 1974 - Kollege of Knowledge,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1974-05-12,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.374096,-116.762883,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,236,MG571_1974,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/18,18,26.pdf,/chatcolab/image/26.pdf
chatcolab19,Chatcolab 1975 - Finding Life's Treasures,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1975-05-11,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.375636,-116.763335,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,270,MG571_1975,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/19,19,27.pdf,/chatcolab/image/27.pdf
chatcolab20,Chatcolab 1981 - Take Time to Live,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1981-05-10,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Kootenai County, Idaho;Worley;Camp Larson (Camp Easter Seal)",47.443643,-116.838647,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,161,MG571_1981,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/20,20,28.pdf,/chatcolab/image/28.pdf
chatcolab21,Chatcolab 1976 - An American Panorama,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1976-05-09,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Kootenai County, Idaho;Worley;Camp Larson (Camp Easter Seal)",47.443045,-116.838162,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,250,MG571_1976,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/21,21,29.pdf,/chatcolab/image/29.pdf
chatcolab22,Chatcolab Notes for '51' - On Being a Real Person,"Camp Packet for Chatcolab Northwest Leadership lab that contains program planning, activities, stories, and menus/recipes. Only bound materials have been scanned; this digital collection does not contain any associated ephemera from the donors notebook.",Chatcolab Northwest Leadership Lab,1951-05-16,camps (recreation areas); leadership; songs (oral or performed works); crafts (art genres); folklore,"Benewah County, Idaho;Plummer;Heyburn State Park;Chatcolet;Camp Heyburn",47.375013,-116.764051,Chatcolab NW Leadership Lab,"Chatcolab Northwest Leadership Lab, 1949-2019, MG 571, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv488901,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,8.5 X 11 Booklet,129,MG571_1951,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/chatcolab/id/22,22,3.pdf,/chatcolab/image/3.pdf
