title,creator,date,description,aes_subjects,subject,publisher,contributing_departments,series,full_series_and_number,extent,identifier,format_original,type,format,rights,rightsstatement,language,filename,oclc_number,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
The Role Of Rural Industry In Urban Places In Southeastern Idaho,"Robinson, Hank; Meyer, Neil; Hamilton, Joel; Coupal, Roger",1991-12-17,"The fortunes of Idaho agriculture are effected by decisions made in Boise and Washington D.C. Decisions involving water use, grazing on public lands, the use of pesticides and fertilizers, land set asides, transportation, general economic development policy, and others can profoundly impact Idaho agriculture.",Resource /Energy Economics and Policy; Teaching/Communication/Extension/Profession; Community/Rural/Urban Development; Research Methods/ Statistical Methods,agricultural economics; rural development; Impact analysis; water,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 91-09,9,aees91-09,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/10,10,17.pdf,/agecon/image/17.pdf,aers011
"Financing Services For Residential, Commercial, And Agricultural Parcels: The Cases Of Kootenai And Bonneville Counties","Leighton, Martha; Meyer, Neil",1999-12,"Governments must obtain revenues to pay for the services they provide. These revenues come from a variety of sources including property taxation, fines and forfeitures levied on local populations, charges for permits or consolidated services, and redistribution of intergovernmental funds.",Public Economics; Consumer/Household Economics; Community/Rural/Urban Development,tax; public finance; income distribution; regional economics,"Department of Agricultural Economics and Rural Sociology, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-19,46,aees99-19,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/11,11,46.pdf,/agecon/image/46.pdf,aers012
Fall 2001 Idaho Agricultural Outlook,"Gray, C. Wilson; Makus, Larry D.; Meyer, Neil L.; Patterson, Paul E.; Rimbey, Neil R.",2001-11,Idaho Edible Dry Bean Market Situation and Outlook for 2001-02,Research Methods/ Statistical Methods; Crop Production/Industries; Livestock Production/Industries; International Relations/Trade,Impact analysis; Includes individual crops/industries; Include individual industries including milk; trade,"Department of Agricultural Economics and Rural Sociology, College of Agricultural and Life Sciences, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 01-13,54,aees01-13,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/12,12,132.pdf,/agecon/image/132.pdf,aers013
"The Economics Of Natural, Free-Range Chicken Production In Idaho","Nelson, James R.; Smathers, Robert L.; Peterson, Steven",2003-08-11,"There seems to be a growing demand for 'natural' food products in Idaho, and elsewhere in the nation. Farmers markets and special 'natural' and organic food stores are prospering. Chain supermarkets are handling more and more 'natural' and organic items, and in some cases are opening special 'natural' and organic areas in their stores.",Livestock Production/Industries; Research Methods/ Statistical Methods; Community/Rural/Urban Development; Livestock Production/Industries,Include individual industries including milk; Impact analysis; regional economics; Include individual industries including milk,"College of Agricultural and Life Sciences, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 03-09,10,aees03-09,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/13,13,334.pdf,/agecon/image/334.pdf,aers014
Break-Even Analysis,"Prigge, G. Ray",1977,Break-Even Analysis Cost of Operating A 12-Foot Swather vs. Custom Hire,Farm Management; Industrial Organization; Agricultural Finance,production costs; cost structures; farm finance; farm income,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 328,8,aees328,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/14,14,183.pdf,/agecon/image/183.pdf,aers015
1998 Crop Input Costs Summary For Idaho,"Patterson, Paul E.; Smathers, Robert L.",1999-01,"The objective of this publication is to provide producers, lenders, agribusinesses and University of Idaho researchers and Extension personnel with information needed to develop or modify traditional or alternative cost of production estimates. This publication contains operating input costs used in the production of crops in Idaho.",Demand and Price Analysis; Risk and Uncertainty; Teaching/Communication/Extension/Profession,cost benefit; agricultural economics; supply and demand; Probability,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 99-03,17,aees99-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/15,15,161.pdf,/agecon/image/161.pdf,aers016
The 1996 One Percent Initiative Idaho Public School Override Levies Redistributed,"Cooke, Stephen",1996-10,What would happen to Idaho's public school funding if current local school money ($228 million) were returned to the school districts through the state funding formula? This is one of the questions facing the Idaho legislature from the 1996 One Percent Initiative if the state becomes responsible for all public school support. This study addresses that question.,Public Economics; Community/Rural/Urban Development; Demand and Price Analysis; Labor and Human Capital,schools; public finance; regional economics; elasticities; education,University of Idaho College of Agriculture,Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 96-03,13,aers96-03,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/16,16,103.pdf,/agecon/image/103.pdf,aers017
Use Of A Computerized Feed Grain Analysis For Farm Business Management Extension Education,"Prigge, G. Ray",1978,A mail-in computerized analysis was used by farmers and others to evaluate the potential .additional returns (or losses) to be obtained by participating in the 1978 Wheat - Feed Program.,Demand and Price Analysis; Teaching/Communication/Extension/Profession,agricultural economics; cost benefit; supply and demand; teaching,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 363,1,aees363,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/17,17,366.pdf,/agecon/image/366.pdf,aers018
How Idaho Farmers View Agricultural And Food Policy Issues,"Meyer, Neil; Konn, Nancy",1984-10-31,"During May and June 1984, a sample of 1500 Idaho farmers/ranchers were mailed a questionnaire to find out their views on key agricultural and food policy issues that will be discussed and debated when Congress writes a new Agricultural and Food Act in 1985. This publication summarizes all the responses and divides them among farmers with different types of farming operations.",Farm Management; Agricultural and Food Policy; Agribusiness,decision-making; farm planning; Agricultural policy; food policy; agricultural industries,"Department of Agricultural Economics, Agricultural Experiment Station, Cooperative Extension Service, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 391,49,aees391,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/18,18,228.pdf,/agecon/image/228.pdf,aers019
P 4... Painting A Picture Of The Public Purse Idaho'S 19961% Initiative,"Meyer, N.; Cooke, Steve",1996-09,"When you want to explore the need for an educational program on a public decision important to your community or state, following the seven steps ensures program planning that will increase the likelihood of success.",Teaching/Communication/Extension/Profession,agricultural economics; teaching; writing; universities and colleges,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-09,42,aees96-09,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/19,19,267.pdf,/agecon/image/267.pdf,aers020
Measuring And Explaining The Decline In U.S. Cotton Productivity Growth,"Cooke, Stephen C.; Sundquist, W. Burt",1991-03,Tornquist input quantity indexes derived from USDA/SRS/FEDS survey data along with yield data are used to derive total and partial factor productivity measures across time and region for a sample of representative u.s. cotton enterprises.,Crop Production/Industries; International Relations/Trade; Productivity Analysis,Includes individual crops/industries; competition; agricultural productivity,,"Department of Agricultural Economics and Rural Sociology; Department of Agricultural and Applied Economics, University of Minnesota",Agricultural Economic Research Series,Agricultural Economic Research Series no. 91-01,26,aers91-01,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/20,20,195.pdf,/agecon/image/195.pdf,aers021
Can Profits From Potato Production Be Increased?,"Prigge, G. Ray",1976,Many Idaho potato producers are finding it increasingly difficult to obtain a satisfactory return from the production and sale of their potatoes.,Crop Production/Industries; Institutional and Behavioral Economics; Industrial Organization; Risk and Uncertainty,Includes individual crops/industries; benefit cost analysis; applied price theory; risk management,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 321,6,aees321,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/21,21,90.pdf,/agecon/image/90.pdf,aers022
Publications And Graduate Theses In Agricultural Economics And Rural Sociology,"Cole, Maxine",1996-01,Department of Agricultural Economics and Rural Sociology Current Faculty Members and Areas of Emphasis,Teaching/Communication/Extension/Profession; Labor and Human Capital,universities and colleges; education,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-02,24,aees96-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/22,22,164.pdf,/agecon/image/164.pdf,aers023
"A Survey Of Custer County Residents Concerning Community Issues, Facilities And Services: General Summary","Harp, Aaron J.",1998-05-28,This report briefly discusses the responses of Custer County residents to a telephone survey conducted during April 1998.,Community/Rural/Urban Development; Consumer/Household Economics,community development; regional development; household,"Department of Agricultural Economics and Rural Sociology, University of Idaho",,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-05,24,aees98-05,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/23,23,300.pdf,/agecon/image/300.pdf,aers024
A To Z Retained Ownership Company 1996 Year-End Summary,University of Idaho Cooperative Extension System,1996,"The A to Z Retained Ownership Company was started in 1992 as a cooperative venture by cow-calf producers, the Bruneau Cattle Company feedlot, veterinarians, packers, bankers, allied industry representatives and University of Idaho Cooperative Extension System. The primary goal of this educational program was to give cow-calf producers information on how their cattle performed through the feeding and carcass phases. This report presents the results of the fourth year of the retained ownership program.",Demand and Price Analysis; Production Economics; Farm Management,cost benefit; supply and demand; general agricultural production; production costs; farm planning,University of Idaho Cooperative Extension System,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-08,16,aees96-08,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/24,24,291.pdf,/agecon/image/291.pdf,aers025
1996 Crop Inputs Cost Summary For Idaho,"Patterson, Paul E.; Ashley, Patricia D.; Smathers, Robert L.",1996-11,"The objective of this publication is to provide producers, lenders, agribusinesses and University of Idaho researchers and Extension personnel with information needed to develop or modify traditional or alternative cost of production estimates.",Demand and Price Analysis; Risk and Uncertainty; Teaching/Communication/Extension/Profession,cost benefit; agricultural economics; supply and demand; Probability,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 96-12,17,aees96-12,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/25,25,370.pdf,/agecon/image/370.pdf,aers026
"A Population, Economic, And Fiscal Profile Of Clark County Idaho","Cooke, Stephen C.; Harp, Aaron J.; Engel, Paula M.",1992-04-14,"Idaho code 67-6508 (subsections a and b) states that County Planning and Zoning Commissions shall conduct 'a population analysis of past, present, and future' and 'an analysis of the economic base of the area including employment, industries, economies, jobs, and income levels.' A rationale for these code requirements is to help counties better anticipate the impact of population and economic change on both the demand for, and the county's ability to supply, public services.",Research Methods/ Statistical Methods; Community/Rural/Urban Development; Public Economics,statistical methods; panel data; regional economics; public finance; models,"Department of Agricultural Economics and Rural Sociology, College of Agriculture, University of Idaho",Department of Agricultural Economics and Rural Sociology,Agricultural Economic Research Series,Agricultural Economic Research Series no. 92-04,42,aers92-04,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/26,26,144.pdf,/agecon/image/144.pdf,aers027
Potato Production Practices In Southeastern Idaho,"Patterson, Paul E.; Bohl, William H.",1995-07,"A survey of a limited number of potato growers in Bingham, Bonneville and Power counties was conducted during the winter and early spring of 1995. The purpose of this survey was to obtain information on the cultural practices used in the production of commercial potatoes.",Productivity Analysis; Research Methods/ Statistical Methods; Farm Management,methodology; survey structure; agricultural productivity; farm planning,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 95-04,10,aees95-04,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/27,27,113.pdf,/agecon/image/113.pdf,aers028
Idaho Agricultural Outlook,"Guenthner, Joseph F.; Loughmiller, Russell A.",1998-01,"This report discusses the current agricultural situation, the outlook for 1998, value added agricultural industries, agricultural personal income and the future of agricultural production and processing.",Community/Rural/Urban Development; Farm Management; Food Security and Poverty; Risk and Uncertainty,Regional economics; agricultural labor; food supply; risk management,,,Agricultural Economic Extension Series,Agricultural Economic Extension Series no. 98-02,7,aees98-02,document,text,application/pdf,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,,,2020-08-26,2020-08-26,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/agecon/id/28,28,116.pdf,/agecon/image/116.pdf,aers029
