title,creator,description,subject,publisher,date,date is approximate,location,lat long,type,format,language,rights,rights (standardized),filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
B17 Gun,"Calnon, Mark",Photograph of B17 Machine gun,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/10,10,19.jp2,/calnon/image/19.jp2,calnon10
Mark Brooks Calnon Oral History Audio Mp3 80.5 MB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Sound,audio/mp3,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/11,11,2.mp3,/calnon/image/2.mp3,calnon11
B17 Exterior Photo 1,"Calnon, Mark",Photograph of the exterior of exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/12,12,20.jp2,/calnon/image/20.jp2,calnon12
Map of Tours,United States. Air Force,Scan of map of tours that Calnon flew during the war.,Scan of Map,,1992,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/13,13,21.pdf,/calnon/image/21.pdf,calnon13
B17 Exterior Photo 3,"Calnon, Mark",Photograph of the exterior of exhibition B19,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/14,14,22.jp2,/calnon/image/22.jp2,calnon14
B17 Crew Portrait,"Calnon, Mark",Photograph of Calnon's B17 crew during WWII.,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/15,15,23.jp2,/calnon/image/23.jp2,calnon15
Red Cross Card,"Sutton, Helen",Scan of red cross membership card during WWII HAS.,Photograph/Card,,1944,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/16,16,24.jpg,/calnon/image/24.jpg,calnon16
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/17,17,25.jp2,/calnon/image/25.jp2,calnon17
B17 Pilot Controls,"Calnon, Mark",Photographs of pilots controls in exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/18,18,26.jp2,/calnon/image/26.jp2,calnon18
B17 Radio Room,"Calnon, Mark",Photograph of the radio room in exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/19,19,27.jp2,/calnon/image/27.jp2,calnon19
B17 Waist,"Calnon, Mark",Photograph of the interior of exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/20,20,28.jp2,/calnon/image/28.jp2,calnon20
Calnon Jr. Ext. B17,"Calnon, Mark",Photograph of Calnon Jr. outside exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/21,21,29.jp2,/calnon/image/29.jp2,calnon21
Mark Brooks Calnon Oral History Video 8.69 GB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Image;MovingImage,video/mov,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/22,22,3.mov,/calnon/image/3.mov,calnon22
Memphis Belle B17,"Calnon, Mark",Photograph of the exterior of Memphis Belle B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/23,23,30.jp2,/calnon/image/30.jp2,calnon23
Reported Missing,Western Union Telegraph Company,Scan of telegram informing Mark's family he was missing.,Telegram,,1943,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/24,24,31.pdf,/calnon/image/31.pdf,calnon24
Military Portrait,United States. Air Force,Military Portrait of Mark Calnon,Photograph,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/25,25,32.jp2,/calnon/image/32.jp2,calnon25
Reported as a POW,Western Union Telegraph Company,Scan of telegram informing Mark's family he was taken as POW,Telegram,,1943,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/26,26,33.pdf,/calnon/image/33.pdf,calnon26
Nine-O-Nine B17,"Calnon, Mark","Photograph of ext, B17 Nine-O-Nine",Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/27,27,34.jp2,/calnon/image/34.jp2,calnon27
Returned to Military,Western Union Telegraph Company,Scan of telegram informing Mark's family he returned to duty.,Telegram,,1945,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/28,28,35.pdf,/calnon/image/35.pdf,calnon28
Plane Portrait,United States. Air Force,Photograph of Calnon in pilot suit outside training plane.,Photograph,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/29,29,36.jp2,/calnon/image/36.jp2,calnon29
Back to USA,Western Union Telegraph Company,Scan of telegram informing Mark's family he was in USA.,Telegram,,1945,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/30,30,37.pdf,/calnon/image/37.pdf,calnon30
Pilot Portrait,United States. Air Force,Standard photograph of pilot/Calnon.,Photograph,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/31,31,38.jp2,/calnon/image/38.jp2,calnon31
Pistol Training,United States. Air Force,Photograph of Calnon receiving officer pistol training.,Photograph,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/32,32,39.jp2,/calnon/image/39.jp2,calnon32
Mark Brooks Calnon Oral History Video 650.4MB,"Bennett, Denise",Oral history with 2nd Lt. Mark Brooks Calnon recalling WWII pilot and POW experience,Oral History; WWII; POW,Denise Bennett,2013-08-13,,"Boise, ID",,Image;MovingImage,video/mov,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/33,33,4.mov,/calnon/image/4.mov,calnon33
Calnon Bomber Hat,United States. Air Force,Blue hat detailing the bomber group of calnon. 384th.,Hat,USAF,1943-10-09,,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/34,34,40.jp2,/calnon/image/40.jp2,calnon34
Stalag Luft III Memorial,Coors Brewing Company,Poster Replica of Stalag Luft III. Produced by Coors.,Commemorative Poster (Coors),Adolph Coors Brewing?,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/35,35,41.jp2,/calnon/image/41.jp2,calnon35
Pilot Patch,United States. Air Force,Air Force Bomber Pilot insignia clothing patch,Patch,USAF,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/36,36,42.jp2,/calnon/image/42.jp2,calnon36
Pilot Wings Pin,United States. Air Force,Metal Air Force Wing. Bomber?,Metal Wings,USAF,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/37,37,43.jp2,/calnon/image/43.jp2,calnon37
POW Coin,United States. Bureau of the Mint,Coin minted by the United States Mint for POWs remembrance. Legal tender.,Official POW Commemorative,,1993,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/38,38,44.jp2,/calnon/image/44.jp2,calnon38
Stalag Luft III Memorial (Desk Weight),United States. Air Force. POW,Small marble stone w/ metal plaque memorializing POWs.,Marble Desk Memorial,,1993,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/39,39,45.jp2,/calnon/image/45.jp2,calnon39
Senate Letter,United States. Air Force,Scan of letter from US Senate to Mark Calnon's mother.,Letter,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/40,40,46.jp2,/calnon/image/46.jp2,calnon40
Commendation Letter,United States. Department of the Air Force,Scan of commendation letter to Mark Calnon from War Dept,Letter,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/41,41,47.jp2,/calnon/image/47.jp2,calnon41
War Ration Stamps,United States Government,Scan of War Ration Stamps from WWII.,Certificate,,1942,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/42,42,48.jp2,/calnon/image/48.jp2,calnon42
Caterpillar Club Card,Caterpillar Club,"Showing signature of Mark Calnon, saved life by parachute.",Card,Caterpillar Club,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/43,43,49.jp2,/calnon/image/49.jp2,calnon43
384th Window Pamphlet,United States. Air Force,Document explaining the window dedicated to the 384th.,Pamphlet,,1989,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/44,44,5.pdf,/calnon/image/5.pdf,calnon44
POW Dog Tag (Calnon),German Government,"Calnon POW Dog Tag, Stalag Luft III.",POW Issue Dog Tag,,1943,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/45,45,50.jp2,/calnon/image/50.jp2,calnon45
USAF Dog Tag (Calnon),United States. Air Force,One standard issue WWII dog tag.,Standard Issue Dog Tag,,1941,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/46,46,51.jp2,/calnon/image/51.jp2,calnon46
Graduation Portrait,"Calnon, Mark",Graduation photograph of Mark Calnon from the University of Idaho,Photograph,,1941,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/47,47,52.jp2,/calnon/image/52.jp2,calnon47
Air Medal,United States. Air Force,USAF medal awarded to Calnon for being a POW.,Medal Awarded for Merit,,1945,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/48,48,6.jp2,/calnon/image/6.jp2,calnon48
B17 Exterior Photo 2,"Calnon, Mark",Photograph of the exterior of exhibition B18,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/49,49,7.jp2,/calnon/image/7.jp2,calnon49
B17 Cockpit,"Calnon, Mark",Photograph of B17 cockpit from exhibition B17,Photograph,,1980,y,,,Image;StillImage,image/jpg,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/50,50,8.jp2,/calnon/image/8.jp2,calnon50
Calnon Camp Map w/ Notes,"Calnon, Mark",Map of Stalag Luft III with notes of being a prisoner.,Map,,1995,y,,,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-09-23,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/51,51,9.pdf,/calnon/image/9.pdf,calnon51
"Mark Calnon, Oral History Interview by Denise Bennett","Calnon, Mark; Bennett, Denise",An interview with Mark Calnon regarding his personal history as a WWII pilot and Prisoner of War,POW; WWII; prisons; prisoners; wars;,,2013-08-13,,"Boise, ID",,Text,application/pdf,eng,"CC license assigned by Denise Bennett. Material digitized by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/licenses/by/4.0/,,2016-10-19,2018-02-22,http://digital.lib.uidaho.edu:80/cdm/ref/collection/calnon/id/52,52,53.pdf,/calnon/image/53.pdf,calnon52
