title,creator,interviewee,date,description,subject,interviewer,residence,birth year,family origin,occupation,subject (lcsh),subject (lctgm),location depicted,region,source,original collection,publisher - digital,holding institution,ordering information,format original,format,type,identifier,date digital,language,web site,rights,rightsstatment,digital specifications,filename,oclc number,date created,date modified,cdm_url,cdmid,collectionid,contentdm file name,contentdm file path,objectid,archiveswest_fa
"Forest Fire Aftermath, 1910 - Wallace, elevated view of town [01]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,"Image of Wallace, Idaho after the fire of August 20, 1910. Caption """"General view from Samuel's Hotel, showing Oregon, Washington Railroad and Navigation station, August 20, 1910""""","fires; buildings; railroads; railroads cars;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris; buildings; Bricks; cities and towns;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",debris; Buildings--Idaho; Bricks; Cities and towns--Idaho;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X90,2009-03-11,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/47,47,bigburn,10.jp2,/bigburn/image/10.jp2,bigburn10,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view [01]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08-25,"Image of Wallace, Idaho taken five days after the fire of August 20, 1910","fires; groups of people;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris; buildings; Bricks; cities and towns; men; Women;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",debris; Buildings--Idaho; Bricks; Cities and towns--Idaho; Men--Idaho; Women--Idaho;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X91a,2009-03-11,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/48,48,bigburn,11.jp2,/bigburn/image/11.jp2,bigburn11,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view [02]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08-22,"Image of Wallace, Idaho after the fire of August 20, 1910.","fires; buildings; groups of people;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris; buildings; Bricks; cities and towns; men; Women;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",debris; Buildings--Idaho; Bricks; Cities and towns--Idaho; Men--Idaho; Women--Idaho;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X91b,2009-03-11,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/49,49,bigburn,12.jp2,/bigburn/image/12.jp2,bigburn12,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view, corner of Samuel's Hotel","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08-22,"Image of Wallace, Idaho after the fire of August 20, 1910, shows the corner of Samuel's Hotel on August 22, 1910.","fires; buildings; groups of people; wagons (cargo vehicles);  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; Horses; debris; buildings; Bricks; cities and towns; men;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Horses;",debris; Buildings--Idaho; Bricks; Cities and towns--Idaho; Men--Idaho;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X92,2009-03-11,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/50,50,bigburn,13.jp2,/bigburn/image/13.jp2,bigburn13,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, Oil tanks that withstood the fire of August 20","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,"Oil tank that withstood the forest fire of August 20, 1910","oil storage tanks; fires;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; Fires-- ; Fuel tanks;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections; Forest fires;",fires; Fuel tanks;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X170,2009-04-01,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/51,51,bigburn,14.jp2,/bigburn/image/14.jp2,bigburn14,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, elevated view of town [02]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,"Taken from the tank of the town after the forest fire of August 20, 1910","fires; water tanks; towns;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; water tanks; cities and towns;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",fires; water tanksIdaho; Cities and towns--Idaho;,United States--Idaho--Shoshone--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X478,2009-08,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/52,52,bigburn,15.jp2,/bigburn/image/15.jp2,bigburn15,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view of damage in East Wallace [01]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,"Image of Wallace, Idaho after the fire of August 20, 1910, East Wallace","fires; damage;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",fires; debris;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X545c,2009-09,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/53,53,bigburn,16.jp2,/bigburn/image/16.jp2,bigburn16,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view of damage in East Wallace [02]","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,"Image of Wallace, Idaho after the fire of August 20, 1910, East Wallace","fires; damage;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",fires; debris;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X545d,2009-09,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/54,54,bigburn,17.jp2,/bigburn/image/17.jp2,bigburn17,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire Aftermath, 1910 - Wallace, street view of Pacific Hotel ruins","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,Showing ruins of the Pacific Hotel; Hotel street from 7th. Forest fire 1910,"fires; damage;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",fires;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X545e,2009-09,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/55,55,bigburn,18.jp2,/bigburn/image/18.jp2,bigburn18,https://archiveswest.orbiscascade.org/ark:80444/xv407875
"Forest Fire, 1910 - Wallace, smoke before fire entered town Aug. 20","Barnard-Stockbridge Studio (Wallace, Idaho)",,1910-08,Plumes of smoke appear over Wallace before August 20 forest fire enters town,"fires; smoke;  Barnard, T. N. (Thomas Nathan); Stockbridge, Nellie; debris;",,,,,,"Barnard, T. N. (Thomas Nathan)--Photograph collections; Stockbridge, Nellie--Photograph collections;",fires; debris;,United States--Idaho--Shoshone County--Wallace,Wallace,"PG 8, Barnard-Stockbridge photograph collection, University of Idaho Library Special Collections and Archives",Barnard-Stockbridge photograph collection,University of Idaho Library Digital Initiatives,University of Idaho Library Special Collections and Archives,"To learn about requesting reproductions or permissions, see https://www.lib.uidaho.edu/special-collections/policies.html ",8x10 black and white glass negative,image/jpeg,Image;StillImage,8-X545f,2009-09,eng,http://www.lib.uidaho.edu/digital/bigburn/,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"300 dpi grayscale with watermark (displayed), Scanned from a 8 x 10  black and white print. Master is a 300 dpi Tiff.",,,2011-08-01,2015-08-27,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bigburn/id/56,56,bigburn,19.jp2,/bigburn/image/19.jp2,bigburn19,https://archiveswest.orbiscascade.org/ark:80444/xv407875
