objectid,title,creator,description,date,date_is_approximate,source,findingaid,subject,category,coverage,language,digitization_specifications,date_digital,identifier,publisher,relation,collection,type,format,format_original,rights,rightsstatement,cdmid,contentdmfilename,contentdmfilepath,cpdstart,cpdend
spec_uihp10,Administration Building Demolition,,Dynamiting of walls of the Administration Building after fire.,1906,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building;fire damage,Buildings;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-30a,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,10,108.jpg,/spec_uihp/image/108.jpg,,
spec_uihp11,Administration Building [1],,Exterior of the Administration Building.,1900,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building,Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-7,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,11,109.jpg,/spec_uihp/image/109.jpg,,
spec_uihp12,Band Concert,,Band concert at commencement.,1926,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement;bands (ensembles);concerts (performances),Graduation;,United States--Idaho--Latah County--Moscow,eng,270 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-30,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,12,11.jpg,/spec_uihp/image/11.jpg,,
spec_uihp13,Administration Building [2],Publication Department,Exterior of the Administration Building.,1909,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building,Buildings;,United States--Idaho--Latah County--Moscow,eng,"180 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-52-91,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,13,110.jpg,/spec_uihp/image/110.jpg,,
spec_uihp14,Administration Building [3],"Rains, Jesse L.",Administration Building shown against a reflecting pond.,1894,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,administration building,Buildings;,United States--Idaho--Latah County--Moscow,eng,"400 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-51-2a,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,14,111.jpg,/spec_uihp/image/111.jpg,,
spec_uihp15,Women's Gymnasium [1],,People walking pas the Women's Gymnasium.,1936,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,gymnasiums,Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-54-3,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,15,112.jpg,/spec_uihp/image/112.jpg,,
spec_uihp16,Gymnasium ,,Interior view showing a track team practicing.,1909,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,gymnasiums;track and field (sport);libraries (rooms),Buildings;,United States--Idaho--Latah County--Moscow,eng,"170 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-54-6,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,16,113.jpg,/spec_uihp/image/113.jpg,,
spec_uihp17,Women's Gymnasium [2],Hodgins,Exterior view of the Women's Gymnasium.,1926,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,gymnasiums,Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi rgb jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-54-9,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,17,114.jpg,/spec_uihp/image/114.jpg,,
spec_uihp18,Engineering Drafting Lab,,Students working in the Engineering Building drafting lab.,1920,y,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,"classrooms;drafting, drawing and writing equipment by general type;engineering",Classrooms;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-56-21,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,18,115.jpg,/spec_uihp/image/115.jpg,,
spec_uihp19,Engneering Building [1],,Exterior of the Engineering Building.,1903,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,engineering;,Buildings;,United States--Idaho--Latah County--Moscow,eng,"160 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-56-4,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,19,116.jpg,/spec_uihp/image/116.jpg,,
spec_uihp20,Engineering Building Construction,,Engineering Classroom Building during construction.,1950,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,engineering;classrooms;constructions sites,Buildings;,United States--Idaho--Latah County--Moscow,eng,"180 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-57-8,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,20,117.jpg,/spec_uihp/image/117.jpg,,
spec_uihp21,Ridenbaugh Hall [1],Sterner,Student bedroom in Ridenbaugh Hall.,1901,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (rooms),Buildings;,United States--Idaho--Latah County--Moscow,eng,"150 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-58-14,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,21,118.jpg,/spec_uihp/image/118.jpg,,
spec_uihp22,Ridenbaugh Hall [2],,Exterior of Ridenbaugh Hall.,1901,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (buildings),Buildings;,United States--Idaho--Latah County--Moscow,eng,"270 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-58-3,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,22,119.jpg,/spec_uihp/image/119.jpg,,
spec_uihp23,Dean Jeffers and Ricard H. Rutledge,,Dean Jeffers (Left) congratulating Richard H. Rutledge (right) after he received honorary degree.,1938,,"University of Idaho Student Organizations collection, 1890-1992, PG 2, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv867166,commencement;honoraria (awards),Graduation;,United States--Idaho--Latah County--Moscow,eng,270 dpi grayscale jpg displayed; Scanned using SilverFast scanning software on an Epson Expression 1640 XL flatbed scanner. Master file is a 400 dpi TIFF.,2010-05,2-109-18,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Student Organizations,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,23,12.jpg,/spec_uihp/image/12.jpg,,
spec_uihp24,Ridenbaugh Hall [3],,Entrance hall to Ridenbaugh Hall.,1901,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (buildings),Buildings;,United States--Idaho--Latah County--Moscow,eng,"200 dpi rgb jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-58-7,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,24,120.jpg,/spec_uihp/image/120.jpg,,
spec_uihp25,Student in Hays Hall,Publication Department,Students in dorm room in Hays Hall.,1936,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (rooms),Buildings;,United States--Idaho--Latah County--Moscow,eng,"280 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-59-11,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,25,121.jpg,/spec_uihp/image/121.jpg,,
spec_uihp26,Hays Hall [1],,Exterior of Hays Hall.,1926,,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (buildings),Buildings;,United States--Idaho--Latah County--Moscow,eng,"290 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-59-3,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,26,122.jpg,/spec_uihp/image/122.jpg,,
spec_uihp27,Hays Hall [2],,Living room in Hays Hall.,1932,y,"University of Idaho Campus photograph collection, 1890-1995, PG 1, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv382718,dormitories (rooms);living rooms,Buildings;,United States--Idaho--Latah County--Moscow,eng,"280 dpi grayscale jpg displayed. VueScan scanning software, Epson Expression 1640 XL, Master file is a 400 dpi TIFF.",2010-05,1-59-7,University of Idaho Library,University of Idaho Historical Photograph Collection,University of Idaho Campus Photographs,Image;StillImage,image/jpeg,Black and white prints,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at [libspec@uidaho.edu](mailto:libspec@uidaho.edu). The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,27,123.jpg,/spec_uihp/image/123.jpg,,
