title,creator,description,date,date is approximate?,subject (lcsh),subject,point of origin,destination,coverage,contributing institution,digital collection,relation,source,identifier,publisher digital,format original,format,type,digitization specifications,rights,rights (standardized),language,date digital,full text,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
"Letter from Frederick Burbidge to F.W. Bradley, June 26, 1899 [02]","Burbidge, Frederick",Burbidge informs of a legal brief sent separately; handwritten.,1899-06-26,,,legal disputes; mining claims,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_100,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/10,10,108.pdf,/bunkerhill/image/108.pdf,bunkerhill10
"Telegram from Frederick Burbidge to F.W. Bradley, June 26, 1899","Burbidge, Frederick",Telegram written in code.,1899-06-26,,,codes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_101,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/11,11,109.pdf,/bunkerhill/image/109.pdf,bunkerhill11
"Unsigned letter to W.W. Woods, April 01, 1899",,Explaining settlement options regarding damages incurred on property owned by a Mr. Root.,1899-04-01,,,settlements,United States;Idaho;Shoshone County;Kellogg,United States;Idaho;Shoshone County;Wallace,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_001,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/12,12,11.pdf,/bunkerhill/image/11.pdf,bunkerhill12
"List and descriptions of code words, no date",,code key; handwritten.,1900,yes,,codes,United States;Idaho;Shoshone County,,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_102,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/13,13,110.pdf,/bunkerhill/image/110.pdf,bunkerhill13
"Telegram from Frederick Burbidge to F.W. Bradley, June 27, 1899","Burbidge, Frederick","Telegram written in code, possibly about a witness in a trial.",1899-06-27,,,codes; travel; legal disputes,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_103,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/14,14,111.pdf,/bunkerhill/image/111.pdf,bunkerhill14
"Telegram from Frederick Burbidge to F.W. Bradley, June 28, 1899","Burbidge, Frederick","Telegram written in code, possible travel plans.",1899-06-28,,,codes; travel,United States;Idaho;Shoshone County;Wardner,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_106,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/15,15,112.pdf,/bunkerhill/image/112.pdf,bunkerhill15
"Letter from Frederick Burbidge to F.W. Bradley, June 28, 1899","Burbidge, Frederick",Burbidge requests Bradley to authenticate and sign enclosed form; handwritten.,1899-06-28,,,legal disputes,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_107,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/16,16,113.pdf,/bunkerhill/image/113.pdf,bunkerhill16
"Letter from Frederick Burbidge to F.W. Bradley, June 30, 1899","Burbidge, Frederick",Burbidge informs Bradley about Miners' Union funds.,1899-06-30,,,labor unions,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_108,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/17,17,114.pdf,/bunkerhill/image/114.pdf,bunkerhill17
"Letter from Frederick Burbidge to Alex Granger, June 19, 1899","Burbidge, Frederick","Burbidge requests that Granger clip newspapers, handwritten.",1899-06-19,,,advertisement; filing,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_092,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/18,18,115.pdf,/bunkerhill/image/115.pdf,bunkerhill18
"Letter from Frederick Burbidge to Alex Granger, June 21, 1899","Burbidge, Frederick",Burbidge inquires about amount of shares of stock.,1899-06-21,,,stocks,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_093,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/20,20,117.pdf,/bunkerhill/image/117.pdf,bunkerhill20
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [01]","Burbidge, Frederick",Burbidge explains the location of a flume as it is drawn on a blue print.,1899-07-15,,,blueprints; maps,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_011,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/21,21,118.pdf,/bunkerhill/image/118.pdf,bunkerhill21
"Letter from Frederick Burbidge to F.W. Bradley, July 15, 1899 [02]","Burbidge, Frederick",Burbidge explains level of detail of a recently sent statement; handwritten.,1899-07-15,,,reports,United States;Idaho;Shoshone County;Kellogg,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_85_012,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/22,22,119.pdf,/bunkerhill/image/119.pdf,bunkerhill22
"Telegram from F.W. Bradley to Alexander Granger, April 01, 1899","Bradley, F.W.",Telegram written in code regarding possible travel plans; handwritten.,1899-04-01,,,travel; codes,United States;Pennsylvania;Philadelphia County;Philadelphia,United States;California;San Francisco County;San Francisco,Coeur d'Alene Mining District (Idaho),"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",Bunker Hill Mining Company Labor History Collection,"MG 367, Bunker Hill Company. Records, 1887-1984. http://archiveswest.orbiscascade.org/ark:/80444/xv65328","MG 367, Bunker Hill Company. Records, 1887-1984, University of Idaho Library Special Collections and Archives",MG367_84_002,"University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/",Correspondence,application/pdf,Text,PDF displayed. High Resolution TIFF file kept as archival copy in digital archive.,"Material has passed into public domain. Digital reproduction permission has been granted by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu",https://creativecommons.org/publicdomain/mark/1.0/,eng,2012,,,2012-09-21,2018-02-21,http://digital.lib.uidaho.edu:80/cdm/ref/collection/bunkerhill/id/23,23,12.pdf,/bunkerhill/image/12.pdf,bunkerhill23
