title,creator,date,date is approximate?,description,subject,location,geonames,latitude,longitude,source,usfs number,publisher,identifier,format original,format,type,rights,rightsstatement,language,cdmid,objectid
"Slopes below Pine Creek, Salmon River","Swartz, U.S.",1926,,A view of the slopes below Pine Creek on the Salmon River in the Salmon-Challis National Forest.,national forests; trees; rivers; creeks; landscapes,Salmon-Challis National Forest;Idaho;United States; Payette National Forest;Idaho;United States,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.363582,-114.300708,,217468,United States Forest Service,IntermtnPics68,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,13,archivalidaho13
"Original Boise Airport, aerial",,1940,yes,"Aerial image and survey of first Boise Airport near Boise River, the current site of Boise State University",airport; air strip; landing field; runway; city; aerial; survey,Boise;Idaho;United States,,43.60294,-116.19845,,,United States Geological Survey,NARA10StlPht12,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,14,archivalidaho14
"Saw mill and millworkers on Lake Creek, Buffalo Hump",,1905,,Saw mill and millworkers on Lake Creek near Buffalo Hump.,mountains; forests; logging; industry; natural resources; saw mills; lumber; buildings; people; horses; national forests,Buffalo Hump;Idaho;United States,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC266,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,15,archivalidaho15
High water and debris at Spalding,"Johnston, S.L.",1938,,"Photo text: 'Clearwater River near Spalding, Idaho. High water during April, 1938, washed debris over rock-filled bank on Indian Fuel Wood Booming Grounds - No damage done. Nez Perce Reservation May, 1938' Note: This image is part of a pictorial supplement to a report on the North Idaho Agency and the Civilian Conservation Corps - Indian Division by Sidney L. Johnston, Assoc. Forest Engineer.",CCC; Civilian Conservation Corps; Indian; division;  roads; floods; flooding; debris,Spalding;Idaho;United States,,46.44683,-116.81737,NARA DC; RG 75; E 1000 CCC - Indian Division; North Idaho Agency; Box 151,,,NARA16DC234a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,16,archivalidaho16
CCC Camp F-92 in winter,,1934,,CCC Camp F-92 in winter,CCC; Civilian Conservation Corps; camps; winter; snow,Salmon-Challis National Forest;Idaho;United States,,45.363379,-114.299258,,,,Sal13Chal70,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,17,archivalidaho17
"Lardo, a summer resort on Big Payette Lake","Benedict, R.E.",1904,,"This is image is part of a report on the proposed Payette Forest Reserve by R.E. Benedict, 1904.",national forests; lakes; buildings; resorts; recreation,McCall;Idaho;United States,,44.912072,-116.119624,R-4 History Files Idaho NF Boundans Box 87,42454,United States Forest Service,OGDEN138,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,18,archivalidaho18
"Cabin at Smith Gulch, Magruder Ranger District",,1965,,"Photo text: 'July 28, 1965.'",watershed management; settlers; pioneers; homesteaders; homesteads; buildings; cabins; rivers; claims; national forests,Payette National Forest;Idaho;United States; Salmon-Challis National Forest;Idaho;United States,,45.485496,-114.975708,,,United States Forest Service,Payette33,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,19,archivalidaho19
Burnt Fork CCC Camp (F-12),"Swan, K.D.",1933,,A view of the Burnt Fork Civilian Conservation Corps Camp (F-12).,national forests; CCC; Civilian Conservation Corps; people; camps; buildings; tents,Burnt Fork;Idaho;United States,,47.31992,-116.23488,NARA College Park; RG 95; GP Series; Box 68,282322,United States Forest Service,NARA0815DC107,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,20,archivalidaho20
"Challis Dam site, reconnaissance",,1939,,"Photo text: 'Canyon Reservoir. Clearwater River looking West. A 300 foot Dam would make water about 200 feet deep at this point. Sept. 22, 1939.' This image is part of a Rivers and Harbors series.",national forests; rivers; dams,Challis;Idaho;United States,,46.52369,-116.29608,NARA College Park; Still Photo Branch,555,,SalmonR9,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,21,archivalidaho21
Governor Ross visits Salmon Road Project,,1930,yes,"Photo text: 'Gov. Ross (right), Ralph Knepper, owner Recorder Herald (middle), John Kinney, Salmon National Forest Supervisor (left).'",national forests; governor; government; official; rivers; roads; construction; machinery,Salmon-Challis National Forest;Idaho;United States,,45.180929,-116.302118,,,,Sal13Chal94,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,22,archivalidaho22
"Chief Wolf Necklace in regalia and blanket, studio glass negative",,1920,yes,Glass negative of Chief Wolf Necklace in traditional dress. Print is labeled as 'Paloos' also spelled 'Palus'.,Indian; tribes; reservations; Paloos; Palus; chief; portrait,Spalding;Idaho;Unites States; Nez Perce Reservation;Idaho;United States,,46.44683,-116.81737,NARA College Park; Still Photo Branch; RG106 Chief Wold Necklace. Palus; 1899; 1 May; IN_108,,,NARA16DC113,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,23,archivalidaho23
Construction of Sheepeater Lookout,,1976,,Construction of Sheepeater Lookout,fire lookouts; lookouts; ranger stations; peaks; points; buildings; national forests,Payette National Forest;Idaho;United States,,45.389857,-115.346894,,,United States Forest Service,Payette71,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,24,archivalidaho24
"Canyon road below Salmon, Idaho",,1939,,This image is part of a Rivers and Harbors series.,national forests; towns; cities; landscapes; roads,Salmon;Idaho;United States,,45.177772,-113.898531,NARA College Park; Still Photo Branch,1067,,SalmonR22a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,25,archivalidaho25
"Kellogg, Idaho, vertical aerial (CF-3-17)",,1937,,"Vertical aerial images of Kellogg, Idaho and Coeur d'Alene River (3 of 3).",cities; towns; aerial; buildings,Kellogg;Idaho;United States,,47.550936,-116.192283,,,United States Geological Survey,NARA10StlPht31,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,26,archivalidaho26
Aerial of Moose Creek Ranger Station and air field,,1957,yes,"This image is part of a series of aerials, images, and planning documents for the Moose Creek Ranger Station landing field and strips.",,Nez Perce-Clearwater National Forest;Idaho;United States; Selway-Bitterroot Wilderness;Idaho;United States,,46.12265,-114.925536,NARA Seattle; RG 95; R-1 Improvement Airstrips; G2 A 293; Box 5,,United States Forest Service,MooseCr127,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,27,archivalidaho27
Captain Guleke and small craft on Salmon River,,1919,,Photo text: 'July 1919.',national forests; rivers; boats; people,Salmon-Challis National Forest;Idaho;United States,,45.406546,-114.024335,,,,Sal13Chal80,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,28,archivalidaho28
Looking toward Lost River Mountains from Grants Peak,"Cox, W.T.",1904,,"This image is part of a document titled 'Report upon the proposed Salmon River Forest and additions to Sawtooth, Bitterroot, and Lemhi Reserves, Idaho.' Collected by William T. Cox, 1904.",mountains; ranges; peaks; points; basins; valleys; forests; landscapes; panoramas; national forests,Stanley;Idaho;United States; Salmon-Challis National Forest;Idaho;United States; Sawtooth National Forest;Idaho;United States,,43.888407,-114.612415,,57618,United States Forest Service,OGDEN7,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,29,archivalidaho29
"Men survey flood damage related to 1910 fire, Placer Creek","Swan, K.D.",1938,,"Photo text: 'Flood damage in Wallace, Idaho April 1938, caused by Placer Creek. The watershed of Placer Creek was burned by forest fires in 1910. Since that time Wallace has been menaced by periodic spring freshnets, caused by the rapid melting of deep snow on denuded slopes.'",big burn; flood; creek; national forests; fire; survey; people,Wallace;Idaho;United States,,47.473597,-115.926582,NARA College Park RG 95; Box 480,361719,United States Forest Service,NARA0315DC39,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,30,archivalidaho30
Sunbeam Dam on Salmon River,"Smith, E.S.",1920,,A view of Sunbeam Dam on the Salmon River in the Salmon-Challis National Forest.,rivers; dams,Salmon-Challis National Forest;Idaho;United States,Idaho Primitive Area; Frank Church River of No Return Wilderness,44.27038,-114.735939,,150261,United States Forest Service,IntermtnPics25,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,31,archivalidaho31
Buffalo Lake under Buffalo Hump,,1905,,Photo text: 'Buffalo Lake under the shadow of Buffalo Hump.',mountains; forests; national forests; lakes,Buffalo Hump;Idaho;United States,,45.620636,-115.70002,NARA DC; RG 49; E 918P; Reports; photos; and maps removed from Forest Files (E 912) Box 4 Buffalo Hump Album 1905,,,NARA16DC263,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,32,archivalidaho32
"Mountain sheep, on Salmon River out of Shupe","Murry, T.B.",1928,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; wildlife; sheep; landscapes,Stanley;Idaho;United States,,44.260435,-114.854448,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 39,,United States Fish and Wildlife Service,NARA0815DC73,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,33,archivalidaho33
Pack string crossing Big Creek,"Benedict, M.S.",1937,,A string of pack animals crossing Big Creek in Payette National Forest.,national forests; pack trains; pack strings; livestock; horse; riders; creeks,Payette National Forest;Idaho;United States; Frank Church River of No Return Wilderness; Idaho National Forest;Idaho;United States,Idaho Primitive Area; Frank Church River of No Return Wilderness,45.127066,-115.323808,,363491,United States Forest Service,IntermtnPics4,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,34,archivalidaho34
Biological survey over-night camp in snow,,1935,,"Photo text: 'Typical Biological survey over-night camp. 'You hope the trees are big and have a lot of branches.' Bottom: 'Elk and dog team, Fall River, Targhee National Forest, March, 1935.' These images were part of a report by the United States Department of Agriculture Biological Survey on predation and pests.",camps; surveys; people; national forests,Targhee National Forest;Idaho;United States,,44.350264,-111.338442,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 41,,,2017DC44,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,35,archivalidaho35
USDA Biological Survey and University of Idaho Extension mixing station,,1936,yes,This image is part of a report by the United States Department of Agriculture Biological Survey on predation and pests.,agriculture; pesticides; mixing stations; extension; predations; poison; buildings; exteriors,Aberdeen;Idaho;United States,,42.956818,-112.828407,NARA College Park; RG 22; E 179; Biological Survey Field Report; Box 27,,,2017DC2,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,36,archivalidaho36
"Avalanche destruction, Burke and Mace","Morris, W.W.",1910,yes,Photo text: 'The slide had gone from the top of Tiger Peak.' This image is part of a pictorial narrative by William W. Morris titled 'Experiences on a National Forest'.,national forests; trees; snow; winter; avalanches; snow slides; disasters; towns; cities; buildings,Burke;Idaho;United States,,47.521258,-115.817918,,,United States Forest Service,pic_2014-09-30_004707a,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,37,archivalidaho37
The 'Bunch' Selway Ranger Meeting,,1920,yes,Photo text: 'Major Feen sitting on bottom step (with tie.)' A list of the attendees was compiled on the back of the image. This was scanned with the image.,national forests; rangers; meetings; portraits; groups; people,Nez Perce-Clearwater National Forest;Idaho;United States,,46.101364,-115.546221,,,United States Forest Service,ClrwtrNF20,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,38,archivalidaho38
"Salmon River, 12 miles above Riggins","Jackson, H.H.T.",1941,,This is image is part of records by Fish and Wild Life Services.,national forests; mountains; ridges; peaks; points; landscapes,Riggins;Idaho;United States,,45.571421,-116.303336,NARA College Park; RG 22 Fish and Wildlife Services; Biological Survey Photos; WB; Box 11,,United States Fish and Wildlife Service,NARA0815DC49,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,39,archivalidaho39
Lakes and mountains around South for of Payette River,"Stevens, A.W.",1925,,"Photo caption: 'Looking SW from position over Mt. Cramer. Payette Peak in the upper left corner. All lakes shown drain into South Fork of the Payette River, which goes off the picture in timbered valley at right. This is very head of the SouthFork of the Payette River. Main Sawtooth Divide on left, Mt. in upper center with top cut off and snow spots near base is Glens Peak. Drainage thru the large lake in upper right is Tenlake Creek.'",mountains; peaks; drainage; rivers; creeks; lakes; ridges; aerial,Mount Cramer;Idaho;United States,,44.01102,-114.98258,,,,NARA10StlPht49,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,40,archivalidaho40
View from Oregon Butte Lookout,,1930,yes,View from Oregon Butte Lookout,mountains; peaks; points; valleys; forests; landscapes; lookouts; fire lookouts; national forests,Nez Perce-Clearwater National Forest;Idaho;United States; Nez Perce National Forest;Idaho;United States,,45.521604,-115.668829,,,United States Forest Service,Payette114,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,41,archivalidaho41
"Kellogg or Shoshone Airport site and Kellogg, aerial",,1938,,"Kellogg or Shoshone County Airport, Coeur d'Alene River, and Kellogg, Idaho.",airport; air strip; landing field; runway; city; aerial; survey,Kellogg;Idaho;United States,,47.550936,-116.192283,,,United States Geological Survey,NARA10StlPht32,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,42,archivalidaho42
Construction on walk area near Boise Veteran's Hospital.,,1927,yes,"Construction near Veteran's Hospital, Boise. Note: This image is part of a Work Progress Administration publicity series.",Works Progress Administration; WPA; buildings; towns; cities; surveys,Boise;Idaho;United States,,43.69073,-115.25369,NARA College Park; Still Photo Branch; RG 69 WPA; Series NS Publicity,,,NARA16DC150b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,43,archivalidaho43
Fish rearing pond,"Balderson, V.W.",1937,,"Project 145, Maintenance of rearing ponds, $200. Screens made for or repaired. Awaiting shipment of fish from Federal Hatchery. Remaining funds to be used in cleaning screens.' Note: This image is part of a report by V.W. Balderson to Director of Indian Affairs, D.E. Murphy on CCC-Indian Division Projects completed by the Fort Hall Agency, Fort Hall, Idaho.",CCC; Civilian Conservation Corps; Indian; division; tribes; reservations; Nez Perce; tribes; enrollees; reservations; fish; pond,Fort Hall Reservation;Idaho;United States,,42.96457,-112.36563,NARA DC; RG 75; E 1000 CCC - Indian Division; General Records; Box 102 Fort Hall,,,NARA16DC45,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,44,archivalidaho44
"Bungalow Ranger Station, from upstream near CCC Camp",,1935,yes,"Bungalow Ranger Station, from upstream near CCC Camp",ranger stations; guard stations; log; buildings; cabins; national forests; wilderness; rivers; bridges; CCC; Civilian Conservation Corps; camps; tents,Clearwater National Forest; Nez Perce-Clearwater National Forest;Idaho;United States,,46.628647,-115.506734,R-1 Engineering Division; Historical Facility Photo File; Missoula; MT,,United States Forest Service,R1EngrPics26b,black and white print,image/jpeg,image;stillimage,Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information; please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.,https://creativecommons.org/publicdomain/mark/1.0/,eng,45,archivalidaho45
