title,date,date is approximate?,description,location,latitude,longitude,subject,source,identifier,donor,collection,format original,type,format,language,rights,rightsstatement,cdm_url,collectionid,cdmid,objectid
"Challis jail. Challis, Idaho.",1892,y,"Johnnie Boyd in doorway, earl Dodge with pick, Joe Paul at corner, Arthur Fox, Donnie Rowels with pipe and Ralph Beardsley",Challis,44.505342,-114.230277,jails (buildings),Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2c,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/10,cities,10,cities10
"Interior of a butcher? shop. Challis, Idaho.",1920,y,,Challis,44.505333,-114.230233,interiors; stores,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2d,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/11,cities,11,cities11
Interior of an office or store displaying many pictures on the wall.,1920,y,,Challis,44.505344,-114.230244,interiors; stores,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-2e,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/12,cities,12,cities12
"Harrison Public School. Harrison, Idaho.",1905,y,,Harrison,47.457701,-116.781101,schools,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-3a,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/13,cities,13,cities13
"Challis cornet band. Challis, Idaho.",1892,y,"L-R: Maude Ebberts Clarington, Joseph Ebberts, Danny Stephens, Bill Ebberts, Sr., Jonathon Job, Frank Reed, Tom Horton, and Maurice Ashton",Challis,44.505355,-114.230255,bands (ensembles),Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-3a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/14,cities,14,cities14
"Buggy full of men and women pulled by four horses. Challis, Idaho.",1892,y,,Challis,44.505366,-114.230266,horses; wagons,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-4a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/15,cities,15,cities15
"Two men working on the street, others watching. Challis, Idaho.",1892,y,,Challis,44.505377,-114.230277,main streets,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-4b,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/16,cities,16,cities16
"Wagon load of people and several on horses. Challis, Idaho area.",1897,y,"In wagon: Franklin Cameron, charley Ebberts, Joe Paul, Dora Nover?, Miss Anderson, Ruth Leaton, ?, Arthur Gayle, Bill Cameron, Grace Leaton, Maude Ebberts, Effie McKendrick, Flora Donahue, Nell Bennetts, Hal Dodge, Ben Ebberts on horseback, etc.",Challis,44.505388,-114.230288,wagons,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5a,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/17,cities,17,cities17
"Sheepherders' Camp? Challis, Idaho.",1934,y,,Challis,44.505399,-114.230299,tents; camps; horses,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5b,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/18,cities,18,cities18
"Truck with sign 'For Sale. Salmon-River Views. Sawtooth Mountains. Challis, Idaho'.",1921,y,,Challis,44.505311,-114.230211,trucks,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-104-5c,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/19,cities,19,cities19
"Panoramic view of Clayton, Idaho.",1964,y,,Clayton,44.258328,-114.401402,panoramas,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-1,Challis Public Library,Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/20,cities,20,cities20
"Clayton, Idaho showing bridge across river and homes.",1964,y,,Clayton,44.258328,-114.401402,bridges; mountains; houses,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-2,Challis Public Library,Idaho Cities & Towns Collection,3.5x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/21,cities,21,cities21
"Clayton, Idaho showing bridge across river and homes.",1964,y,,Clayton,44.258328,-114.401402,bridges; mountains; houses,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-105-3,Challis Public Library,Idaho Cities & Towns Collection,2.75x4.5 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/22,cities,22,cities22
"Bayhorse, Idaho.",1946,y,,Bayhorse,44.397991,-114.31305,aerial views; towns; mountains,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-1,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/23,cities,23,cities23
"Lamb Bros. General Machinist and Blacksmithing. Harrison, Idaho.",1914,,"Man with pipe-Thomas Lamb, machinist who built the aerosleigh, to his left-Daniel E. Riley, the inventor of the aerosleigh",Harrison,47.455173,-116.784813,business enterprises,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-4a,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/24,cities,24,cities24
"Nevada Hotel in foreground. Bayhorse, Idaho.",1884,y,,Bayhorse,44.397991,-114.31305,hotels (public accommodations),Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-3,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/25,cities,25,cities25
"Shoup, Idaho showing dirt road with several buildings and old cars.",1946,y,,Shoup,45.37752391,-114.276856,access roads; trucks; houses,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-106-2,Challis Public Library,Idaho Cities & Towns Collection,3.75x4.75 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/26,cities,26,cities26
"Murray, Idaho. White building in center, Louisville Hotel.",1886,,,Murray,47.627012,-115.85848,aerial views; towns; mountains,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-107-1,Ruth V. Sellars,Idaho Cities & Towns Collection,8x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/27,cities,27,cities27
"Panoramic view of Murray, Idaho.",1906,y,,Murray,47.627012,-115.85848,aerial views; towns; mountains,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-107-2,,Idaho Cities & Towns Collection,7x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/28,cities,28,cities28
"Helmer School. Helmer, Idaho.",1906,y,,Helmer,46.800874,-116.470276,schools,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-108-1,Mr. & Mrs. Darrel Parks,Idaho Cities & Towns Collection,2.75x4.5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/29,cities,29,cities29
"Sunday School group standing in front of church building. Avon, Idaho.",1905,y,,Avon,46.822869,-116.614479,school children; churches,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-109-1a,Mr. & Mrs. Darrel Parks,Idaho Cities & Towns Collection,4.25x6.25 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/30,cities,30,cities30
"Elk Prairie, Idaho.",1909,y,"Caption on photo 'The new town of 'Elk Prairie' on the Chicago and Milwaukee Railroad, 15 miles above St. Joe, Idaho.'",Elk Prairie,47.315615,-116.363196,cabins,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-110-1a,"Dixie Ehrenreich, Living Farm Museum",Idaho Cities & Towns Collection,4x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/31,cities,31,cities31
"Panoramic view of Viola, Idaho.",1885,y,,Viola,46.84148,-117.024484,panoramas; towns,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-111-1a,"Dixie Ehrenreich, Living Farm Museum",Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/32,cities,32,cities32
"Panoramic view of Viola, Idaho looking south..",1914,,,Viola,46.84148,-117.024484,panoramas; main streets,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-111-1b,"Dixie Ehrenreich, Living Farm Museum",Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/33,cities,33,cities33
"Post Falls, Idaho.",1964,y,Postcard,Post Falls,47.709407,-116.95431,rivers; falls,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-112-1a,"Dixie Ehrenreich, Living Farm Museum",Idaho Cities & Towns Collection,4x5 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/34,cities,34,cities34
"Lamb Bros. General Machinist and Blacksmithing. Harrison, Idaho.",1913,,Jonathan Lamb working in the blacksmith shop,Harrison,47.455166,-116.784866,interiors; smithies; blacksmith,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-115-4b,,Idaho Cities & Towns Collection,3.5x5 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/35,cities,35,cities35
"Knox, Idaho.",1905,,"Located 24 miles northeast of Cascade, this site was established by man named Knox, who had a way station on the old Boise-Thunder Mountain Trail",Knox,44.682194,-115.679855,cabins,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-113-1a,David L. Whelchel,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/36,cities,36,cities36
"Crowd of people in street with band in foreground. DeLamar Mercantile in background. DeLamar, Idaho.",1902,y,,DeLamar,43.016344,-116.749735,main streets; business enterprises; bands (ensembles),Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-114-1a,Kenneth A. Dick,Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/37,cities,37,cities37
"Moscow Public Library Moscow, Idaho.",1906,,,Moscow,46.733504,-116.998515,libraries (buildings);,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-001-02aa,Moscow Public Library,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/38,cities,38,cities38
"Moscow Public Library Moscow, Idaho.",1906,,,Moscow,46.733504,-116.998515,libraries (buildings);,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-001-02bb,Moscow Public Library,Idaho Cities & Towns Collection,5x7 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/39,cities,39,cities39
"Moscow Public Library Moscow, Idaho.",1906,,,Moscow,46.733504,-116.998515,libraries (buildings);,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-001-02c,Rosa Forney Harrison,Idaho Cities & Towns Collection,8x10 black and white print,Image;StillImage,image/jpeg,eng,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/40,cities,40,cities40
"Moscow Public Library Moscow, Idaho.",1991-01-01,,,Moscow,46.733504,-116.998515,libraries (buildings);,Photo Group 5  | University of Idaho Library Special Collections & Archives | https://www.lib.uidaho.edu/special-collections/,5-001-02d,Marian Murta Bell,Idaho Cities & Towns Collection,4x6 black and white print,Image;StillImage,image/jpeg,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cities/id/41,cities,41,cities41
