objectid,identifier,title,description,creator,staff,relation,date,date is approximate,subject,location,latitude,longitude,source,type,format original,format,digital collection,contributing institution,language,rights,rightsstatement,cdm_url,cdmid,contentdm file name,contentdm file path
womenscenter011,ug71_f367-1997aprilmay,"Women's Center Vol. 25, No. 6 April-May 1997","The April-May 1997 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 25, No. 6 April-May 1997.""",Women's Center,,,1997-04,,stress; protection (sociological concepts); goddesses,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/10,10,441.pdf,/womenscenter/image/441.pdf
womenscenter012,ug71_f368-2000sepoct,"Women's Center Vol. 29, No. 1 Sept-Oct 2000","The September-October 2000 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 29, No. 1 Sept-Oct 2000.""",Women's Center,"Harvey, Jeannie; Anderson, Jill; Russo, Valerie; Wittinger, Chaucey; Lazzarini, Don; Klein, Virginia",,2000-09,,South African; throwing axes; ancient,"Pine and University Avenue, Moscow, ID",46.726975,-117.010944,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/11,11,280.pdf,/womenscenter/image/280.pdf
womenscenter013,ug71_b11_f382-033a,Fun Run [34],Someone sticking a race number to someone else's back.,,,,1997,yes,women; cars (automobiles); coats (garments),University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/12,12,204.jp2,/womenscenter/image/204.jp2
womenscenter014,ug71_b11_f381-020a,Two people standing near a booth at the first WomensWorks Arts and Crafts Fair,Two people standing near a booth at the first WomensWorks Arts and Crafts Fair in 1995 at the old SUB (now the Bruce M. Pitman Center). Rebecca Rod is standing behind the table.,,,,1995,,pottery (visual works); women; tables (support furniture),University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/13,13,61.jp2,/womenscenter/image/61.jp2
womenscenter015,ug71_f368-1999aprilmay,"Women's Center Vol. 27, No. 6 April-May 1999","The April-May 1999 issue of the Women's Center Newsletter, titled ""Women's Center Vol. 27, No. 6 April-May 1999.""",Women's Center,"Anderson, Jill; Lu S. Freano, Mary; Russo, Valerie; Lazzarini, Don; Pratt, Lisa",,1999-04,,masculine; cinema (discipline); contests,"East of Commons Construction, Moscow, ID",46.727411,-117.011823,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/14,14,402.pdf,/womenscenter/image/402.pdf
womenscenter016,ug71_b11_f381-017a,Fun Run [83],"Two people wearing flower crowns go to shake hands, while other people sit on a curb watching. The Administration Lawn can be seen in the background.",,,,1999,yes,crowns (headdresses); artificial flowers; outside,"Administration Lawn, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/15,15,84.jp2,/womenscenter/image/84.jp2
womenscenter017,ug71_b11_f381-007c,Two people smiling,Two people smiling at each other with their arms around each other. Tom Lamar is on the left. They sit on wooden chairs in front of two blue file cabinets.,,,,,,food; filing cabinets; couples,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/16,16,17.jp2,/womenscenter/image/17.jp2
womenscenter018,ug71_f364-1982oct,Women's Center October Programs,"The October 1982 issue of the Women's Center Newsletter, titled ""Women's Center October Programs.""",Women's Center,"Hannaford, Alayne; Dinauer, Sue; Kahm, Dawn; Ward, Peggy; Leamer, Bob; Lawson, Rebecca; Job, Robyn",,1982-10,,self defense; birth control; races (events),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/17,17,46.pdf,/womenscenter/image/46.pdf
womenscenter019,ug71_f370-2006octnov,Women's Center Zine (a.k.a. The Newsletter) Volume 7 2006 Oct/Nov Issue,"The October-November 2006 issue of the Women's Center Newsletter, titled ""Women's Center Zine (a.k.a. The Newsletter) Volume 7 2006 Oct/Nov Issue.""",Women's Center,"Harvey, Jeannie; Salsbury, Lysa; Sharp, Amy; Rod, Rebecca; Pope, Allison; Robertson, Meagan; Garcia, Cassie; Rose, Cheryl; Trana, Juliet; Ramirez, Sarahi; Kreger,",,2006-10,,hot springs; coming out; prayer flags,"Memorial Gym Room 109, University of Idaho, Moscow, ID",46.726536,-117.013331,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/18,18,132.pdf,/womenscenter/image/132.pdf
womenscenter020,ug71_f365-1988janfeb,Women's Center January/February Programs 1988,"The January/February 1988 issue of the Women's Center Newsletter, titled ""Women's Center January/February Programs 1988.""",Women's Center,"Balka, Peg",,1988-01,,pregnancy; legislation (declaration of laws); Modern art (style or period),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/19,19,334.pdf,/womenscenter/image/334.pdf
womenscenter022,ug71_b11_f380-018,Virginia (Ginny) Wolf,Virginia (Ginny) Wolf sitting at a desk.,,,,1970,yes,desks; women; necklaces,,,,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/21,21,161.jp2,/womenscenter/image/161.jp2
womenscenter023,ug71_b11_f378-004,Women's Center Palousafest Booth [01],"Val Russo (left), Jill Anderson, Lindy Wellyn, and Andrea Lloyd (far right) sit at a booth advertising the presence of Andrea Lloyd, a 1988 Gold Medalist, at the Women's Center Palousafest Booth. The booth also advertises face painting and a hoop shoot.",,,,1990,yes,sports; autographs (signatures); booths,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/22,22,103.jp2,/womenscenter/image/103.jp2
womenscenter024,ug71_b11_f379-020,Two women holding a baby,Two women holding a baby in the Women's Center.,,,,1980,yes,babies; women; couches (reclining furniture),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/23,23,366.jp2,/womenscenter/image/366.jp2
womenscenter025,ug71_b11_f381-002,Moving to the Annex building thumbnails,"Twenty thumbnails of photos on Photoworks roll #15410706 61, from May 31, 2000. The thumbnails depict a move to the Annex building while Jeannie Harvey was the Women's Center director. Women's Center relocation from the Old Journalism Building to the Theatre Annex, Summer 2000.",,,,2000-05-31,,thumbnails; photographs; people,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/24,24,228.jp2,/womenscenter/image/228.jp2
womenscenter026,ug71_b11_f382-018,Fun Run [06],A group of men posing for the camera. Most are wearing bathrobes.,,,ug71_b11_f382-028c.jpg,1997,yes,men; bathrobes; smiling,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/25,25,267.jp2,/womenscenter/image/267.jp2
womenscenter027,ug71_f366-1993sep,Women's Center September Programs 1993,"The September 1993 issue of the Women's Center Newsletter, titled ""Women's Center September Programs 1993.""",Women's Center,"Thomas, Betsy; Gregory-Garnet, Leslie; Bouchard, Kim; Snow, Gwen",,1993-09,,alcohol (general); discrimination; Mexican,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/26,26,195.pdf,/womenscenter/image/195.pdf
womenscenter028,ug71_b11_f381-009c,People serving food in the Women's Center,People serving food in the Women's Center. Jill Anderson is on the right wearing a pale gray cardigan and dark gray slacks. In the background are various colorful fliers and white bookshelves filled with books.,,,,,,food; events (activities); posters,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/27,27,515.jp2,/womenscenter/image/515.jp2
womenscenter029,ug71_b11_f380-001,Christmas celebration,"Corky Bush (cowl necked sweater), Maud Sterling (far right), and Lin Colson (woman with cup) at the Christmas celebration at the Women's Center.",,,,1982,,Christmas; celebrations; events (activities),"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/28,28,90.jp2,/womenscenter/image/90.jp2
womenscenter030,ug71_b11_f383-012,"Zinser Inauguration, April 6, 1990 [12]",Scene during Elizabeth Zinser's inauguration. Zinser was the first female president of the University of Idaho. Everyone on stage and in the audience stand.,,,,1990,yes,academic ceremonies; academic gown; audiences,University of Idaho,46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/29,29,468.jp2,/womenscenter/image/468.jp2
womenscenter031,ug71_b11_f379-028,Thanksgiving potluck,"Several women, including Jenny Rod, sitting in the Women's Center during the Thanksgiving Potluck. Jenny Rod is the woman sitting on the couch underneath the window, wearing purple pants and looking at a book with a yellow jacket. ",,,,1991-11,,Thanksgiving (holiday); books; women,"Women's Center, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,photograph removed from foamcore,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/30,30,164.jp2,/womenscenter/image/164.jp2
womenscenter032,ug71_f366-1994aprilmay,"Women's Center April-May, 1994","The April-May 1994 issue of the Women's Center Newsletter, titled ""Women's Center April-May, 1994.""",Women's Center,"Thomas, Betsy; Gregory-Garnett, Leslie; Bouchard, Kim; Twining, Amy; Porter, Sammantha",,1994-04,,higher education; herbs; international,"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/31,31,300.pdf,/womenscenter/image/300.pdf
womenscenter033,ug71_b11_f381-015c,Fun Run [78],Two people hold flower crowns in the foreground while people sit on the curb in the background. Construction of the Idaho Student Union Building can be seen in the background.,,,,1999,yes,crowns (headdresses); artificial flowers; outside,"Administration Lawn, University of Idaho",46.72662172,-117.0139368,UG71 Women's Center Records 1970-2013 Box 11,image; stillimage,negative,image/jpeg,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/32,32,444.jp2,/womenscenter/image/444.jp2
womenscenter034,ug71_f364-1987sepoct,Women's Center September-October Programs,"The September/October 1987 issue of the Women's Center Newsletter, titled ""Women's Center September-October Programs.""",Women's Center,"Thomas, Betsy; Caster, Carolyn; Carlson, Cindy; Bressette, Vicki; Eakin, Pam; Folk, Susan; Hecker, Mary; Saindon, Linn; Scannell, Serra; Stroud, Karleen",,1987-09,yes,dance (discipline); spiritual symbol; courts (judicial bodies),"Idaho and Line streets, Moscow ID",46.72785,-117.011932,UG71 Women's Center Records 1970-2013 Box 11,text,newsletter,application/pdf,UG71 Women's Center Records 1970-2013,University of Idaho Library Special Collections,eng,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/womenscenter/id/33,33,291.pdf,/womenscenter/image/291.pdf
