title,description,date,date is approximate,subject,campus event,campus organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format-original,type,format,language,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Phi Gamma Delta House [06],Phi Gamma Delta house on the northwest corner of University Avenue and Elm Street.,1935,yes,fraternities; fraternity houses,Greek Life,Phi Gamma Delta,46.727083,-117.008817,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015-06,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.5x3.5 black and white print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/99,99,131.jp2,/pg2/image/131.jp2,pg299
Phi Gamma Delta House [08],Phi Gamma Delta house on the northwest corner of University Avenue and Elm Street.,1961,yes,fraternities; fraternity houses,Greek Life,Phi Gamma Delta,46.726801,-117.008494,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015-08,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/100,100,69.jp2,/pg2/image/69.jp2,pg2100
Phi Gamma Delta House [09],Phi Gamma Delta house on the northwest corner of University Avenue and Elm Street.,1961,yes,fraternities; fraternity houses,Greek Life,Phi Gamma Delta,46.726956,-117.008546,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015-09,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/101,101,70.jp2,/pg2/image/70.jp2,pg2101
Phi Gamma Delta House [10],Phi Gamma Delta house on the northwest corner of University Avenue and Elm Street.,1961,yes,fraternities; fraternity houses,Greek Life,Phi Gamma Delta,46.726990,-117.008695,,University of Idaho Library Digital Initiatives,"PG 2, University of Idaho Student Organizations Collection",015-10,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/102,102,71.jp2,/pg2/image/71.jp2,pg2102
"Tau Kappa Epsilon house, 1030 Blake Avenue [01]","A street-view photo of Tau Kappa Epsilon house, located at 1030 Blake Avenue.",1955,yes,fraternity houses,Greek Life,Tau Kappa Epsilon,46.725563,-117.007971,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,019-06,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white film negative,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/153,153,154.jp2,/pg2/image/154.jp2,pg2153
"Tau Kappa Epsilon house, 1030 Blake Anenue [02]","An angled photo of Tau Kappa Epsilon house, located at 1030 Blake Avenue.",1955,yes,fraternity houses,Greek Life,Tau Kappa Epsilon,46.725423,-117.007831,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,019-07,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white film negative,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/154,154,155.jp2,/pg2/image/155.jp2,pg2154
"Photo of Tau Kappa Epsilon, Gammi Phi Beta, and Forney Hall","Three students walk across the Administration Lawn. Two fraternities and a residence hall can be seen in the background. From left: Tau Kappa Epsilon house, Gamma Phi Beta, and Forney Hall.",1940,yes,fraternity houses; group portrait,Greek Life,Tau Kappa Epsilon,46.726093,-117.008434,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,019-05,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/155,155,156.jp2,/pg2/image/156.jp2,pg2155
"Group in living room of Tau Kappa Epsilon house, 616 S. Jefferson",Four men sit in the living room of Tau Kappa Epsilon house at 616 S. Jefferson. Three men are reading and one tends to a dog.,1935,yes,fraternity houses; group portrait,Greek Life,Tau Kappa Epsilon,46.729941,-116.998351,Hodgins Photography Studio,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,019-08,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/156,156,157.jp2,/pg2/image/157.jp2,pg2156
"Sigma Alpha Epsilon house, 920 Deakin Avenue [01]","A photo of Sigma Alpha Epsilon house, located at 920 Deakin Avenue.",1935,yes,fraternity houses,Greek Life,Sigma Alpha Epsilon,46.726065,-117.006791,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,020-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpg,eng,2017-10-18,2017-10-18,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/157,157,158.jp2,/pg2/image/158.jp2,pg2157
Group picture outside Kappa Kappa Gamma house,Members of the Kappa Kappa Gamma sorority pose for a group photograph outside of their house.,1932-06-05,,sororities; sorority houses,Greek Life,Kappa Kappa Gamma,46.727558,-117.008476,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,047-07,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white film negative,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/208,208,209.jp2,/pg2/image/209.jp2,pg2208
Nickel Hop at Kappa Kappa Gamma [02],Seven students take a break from dancing at the Kappa Kappa Gamma Nickel Hop.,1960,yes,sororities; sorority houses; social dances,Greek Life,Kappa Kappa Gamma,46.727428,-117.008665,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,047-02,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/209,209,210.jp2,/pg2/image/210.jp2,pg2209
Squeal Day at Delta Gamma [02],Male students look on as returning members of Delta Gamma embrace the new members of the sorority.,1960,yes,sororities; recruiting; group portrait,Greek Life,Delta Gamma; Squeal Day,46.728650,-117.007706,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,048-06,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/210,210,211.jp2,/pg2/image/211.jp2,pg2210
Squeal Day at Delta Gamma [03],Part of a group photograph of Delta Gamma women preparing for a formal portrait after Squeal Day.,1960,yes,sororities; recruiting; group portrait,Greek Life,Delta Gamma; Squeal Day,46.728671,-117.007807,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,048-07,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/211,211,212.jp2,/pg2/image/212.jp2,pg2211
Squeal Day at Delta Gamma [04],Part of a group photograph of Delta Gamma women preparing for a formal portrait after Squeal Day.,1960,yes,sororities; recruiting; group portrait,Greek Life,Delta Gamma; Squeal Day,46.728610,-117.007777,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,048-08,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/212,212,213.jp2,/pg2/image/213.jp2,pg2212
Registration [09],Students wait in line to begin registering for second semester in the Memorial Gym.,1961,yes,students,Academics,Registration,46.726507,-117.013756,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",078-028,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/267,267,268.jp2,/pg2/image/268.jp2,pg2267
Registration [12],Students pass through the registrars tables after completing registration.,1961,yes,students,Academics,Registration,46.726499,-117.013998,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",078-031,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/268,268,269.jp2,/pg2/image/269.jp2,pg2268
Registration [13],Students complete registration for second semester courses in the Memorial Gymnasium.,1961,yes,students,Academics,Registration,46.726495,-117.014079,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",078-032,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/269,269,270.jp2,/pg2/image/270.jp2,pg2269
Registration [17],Students double-check schedule cards and discuss options with professors during registration in the Memorial Gymnasium.,1961,yes,students,Academics,Registration,46.726461,-117.014108,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",078-036,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/270,270,271.jp2,/pg2/image/271.jp2,pg2270
Registration [03],"Students sit and sill out schedule cards and wait in class lines during registration in the Memorial Gymnasium. The University reached 4,000 enrolled students this year.",1960,yes,students,Academics,Registration,46.726566,-117.014120,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",078-022a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/271,271,272.jp2,/pg2/image/272.jp2,pg2271
University Orchestra [14],"A group picture of the University Orchestra, under the direction of Professor Carl Claus.",1931,yes,Orchestras; students,Musical Groups,Orchestra,46.725901,-117.011420,"Hodgins Photography Studio. Hodgins, Gerald",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",081-015,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-10-19,2017-10-19,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/322,322,323.jp2,/pg2/image/323.jp2,pg2322
"Class of 1901 by old steps, 60th anniversary","Members of the Class of 1901 pose for their 60th anniversary photo by the stairs to Old Administration Building. Pictured from left to right: Carrie Tomer Hays, Minnie Galbreath Marcy, Homer David and Carroll Smith.",1961,yes,Pinus (genus); group portrait; students,Academics,Reunion,46.724969,-117.010557,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,076-09,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-23,2017-10-23,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/323,323,324.jp2,/pg2/image/324.jp2,pg2323
"Class of 1901, reunion, standing by tree they planted 50 years ago","The class of 1901 celebrates their 50th reunion next to a tree they planted near the Hello Walk. Includes: Dr. Carroll Smith, Minnie Marcy, Homer David, and other unidentified people",1951-06-02,,group portrait; anniversaries; students,Academics,Reunion,46.725532,-117.009310,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,076-12,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-23,2017-10-23,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/324,324,325.jp2,/pg2/image/325.jp2,pg2324
"Class of 1901 reunion, group picture by tree [01]",Members of the class of 1901 stand beside a large pine tree on the Administration Lawn during the Class of 1901 reunion.,1931,yes,group portrait; Pseudotsuga (genus),Academics,Reunion,46.725704,-117.009564,,University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,076-05,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3.5x5.75 black and white print,image;stillimage,image/jpg,eng,2017-10-23,2017-10-23,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/325,325,326.jp2,/pg2/image/326.jp2,pg2325
Class of 1901 group picture [03],The graduating class of 1901 poses together for a formal portrait in a photography studio. Individuals identified on mount.,1898,yes,group portrait; students,Academics,Class Photograph,46.725877,-117.010980,"Moore, Margaret McCallie",University of Idaho Library Digital Initiatives Department,PG2 University of Idaho Student Organizations Collection,076-04,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,9.75x7.25 black and white print,image;stillimage,image/jpg,eng,2017-10-23,2017-10-23,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/326,326,327.jp2,/pg2/image/327.jp2,pg2326
Homecoming queen Glennis Conner receives bouquet of flowers,"A closeup photo of Glennis Conner, Homecoming Queen.",1969,yes,group portrait,Homecoming,Royalty,46.726122,-117.018055,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-022c,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/382,382,383.jp2,/pg2/image/383.jp2,pg2382
Homecoming queen Celeste Jones and royalty [01],"Celeste Jones, Homecoming Queen, and her princesses stand on stage, holding their individual awards.",1960,yes,group portrait,Homecoming,Royalty,46.725654,-117.012513,"University of Idaho. Photo Center. Literal, Arden.",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-023,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/383,383,384.jp2,/pg2/image/384.jp2,pg2383
Homecoming queen Celeste Jones holding trophy,Celeste Jones sits on stage with an award after being crowned Homecoming Queen.,1960,yes,portrait,Homecoming,Royalty,46.725609,-117.012504,"University of Idaho. Photo Center. Literal, Arden.",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-024,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/384,384,385.jp2,/pg2/image/385.jp2,pg2384
Homecoming queen Celeste Jones and royalty [02],"Celeste Jones, Homecoming Queen, and her princesses stand on stage, holding their individual awards. Similar to 084-023",1960,yes,group portrait,Homecoming,Royalty,46.725542,-117.012520,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-025,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/385,385,386.jp2,/pg2/image/386.jp2,pg2385
Homecoming queen Glennis Conner [03],"Glennis Conner, Homecoming Queen, accepts a bouquet from an unidentified individual.",1969,yes,group portrait,Homecoming,Royalty,46.726371,-117.016909,University of Idaho. Publications Department,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-022d,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x7 black and white print,image;stillimage,image/jpg,eng,2017-10-26,2017-10-26,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/386,386,387.jp2,/pg2/image/387.jp2,pg2386
