title,description,creator,date,date is approximate?,subject,subject (lcsh),location,location (lcsh),latitude,longitude,digital collection,publisher digital,source,identifier,rights,rightsstatement,ordering information,format original,type,format,language,digitization specifications,date digital,date created,date modified,cdm_url,cdmid,contentdm file name,contentdm file path,objectid
Davids' mens' department about 1905 at the southeast corner of Third and Main streets,"Left to right: Homer David, Charles Togsted, Nels Larson and F.A. David. Grocery department in far end. Stove pipes to wall.",,1905,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-097,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/10,10,108.jp2,/ott/image/108.jp2,ott10
Davids' shoe department in 1940,"Davids' shoe department in 1940, located where the grocery department once was. Moscow.",,1940,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-100,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/11,11,109.jp2,/ott/image/109.jp2,ott11
Looking north at the east side of Main Street south of A Street,"No. 1, vinegar plant, 2- Grange Hall, 3- Moose Hall, 4- Corner Club, 5- Idaho Hotel razed 1977, 6- Elks Temple. Installing new lights.",,1977,yes,buildings; main streets,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.73443,-117.00124,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-011,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/12,12,11.jp2,/ott/image/11.jp2,ott12
Davids' dry goods department in 1912,Davids' dry goods department in 1912. Moscow.,,1912,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-101,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/13,13,110.jp2,/ott/image/110.jp2,ott13
Davids' dry goods department in 1940,Davids' dry goods department in 1940. Moscow.,,1940,yes,interiors; department stores; retail,Department stores--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-102,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/14,14,111.jp2,/ott/image/111.jp2,ott14
Davids' in Moscow,"In 1896 F.A. David rented a one room building with a 15-foot frontage on the west side of Main Street south of First Street and opened a store for the Spokane Eastern Trust Comapny to sell the stocks from a bankrupt Juliaetta store. Later in 1896 David bought the remaining goods with the aid of Frank L. White and named the store 'Badger' as David was from Wisconsin, the Badger State. In 1898 the store was moved across the street to the Spicer Block where it occuped two rooms with a 25 foot frontage. In 1898 B.T. Byrne's brother-in-law Wellington Ely came to Moscow and bought an interest in the Badger store. The title 'Badger Store' was abandoned, the firm being called David & Ely. In 1899 David & Ely purchased the Dernham & Kaufmann building at the southeast corner of Third and Main streets and opened its door as a full-fledged department store in 1900. Ely died in 1908 and B.T. Byrnes became an associate of David looking after the interest of Ely. In 1913 Byrnes disposed of the Ely interests to F.A. David, and his sons were made full partners in the store. The firm's name again was changed to F.A. David & Sons. At this time the name on the building was Davids'. In 1919-1920 all four stories of the building were modernized and remodeled. F.A. David died in 1919, and shortly after the store became known as Davids' Inc. The name on the building remained Davids'. In 1946 Davids celebrated their 50th anniversary as merchants in Moscow. When the David sons reached retirement age the store was sold in 1959 to Childers, a Spokane retail merchant. In 1976 Childers sold to Fargo Wilson Wells of Pocatello who was represented by Van Engelen. Fargo Wilson Wells went bankrupt and the store was vacated April 1970. The Davids' building is now owned by two Moscow attorneys, W.E. Anderson and Len Bielenberg. The above is from Homer David's Recollections, Business Saga, from the Spokesman-Review dated May 12, 1946 and the Idahonian dated September 6, 1979.",,1976-09-06,,clippings (information artifacts),Photograph captions,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732653,-117.001187,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-103,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/15,15,112.jp2,/ott/image/112.jp2,ott15
Looking south at Main Street with Third Street in the foreground,"Picture by Clifford M. Ott August 26, 1979.","Ott, Clifford M.",1979-08-26,,main streets; buildings,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-104,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted by University of Idaho Library. For other uses beyond educational use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/16,16,113.jp2,/ott/image/113.jp2,ott16
Looking north at Main Street with Second Street in the foreground,"Picture by Clifford M. Ott August 26, 1979.","Ott, Clifford M.",1979-08-26,,main streets; buildings,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732998,-117.001369,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-105,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/17,17,114.jp2,/ott/image/114.jp2,ott17
"First National Bank, circa 1921","August 8, 1921 by Hodgins Drug Store photographer.",,1921-08-08,,buildings; banks,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732189,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-107,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/18,18,115.jp2,/ott/image/115.jp2,ott18
First National Bank in December,Christmas tree outside the First National Bank in December 1914.,,1914-12-25,,buildings; banks,Bank buildings--Idaho--Moscow; Christmas trees--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732189,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-108,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/19,19,116.jp2,/ott/image/116.jp2,ott19
"Looking north at Main Street from Fourth Street in the 1920s, with Hotel Moscow bus",Hotel Moscow bus in front of the hotel used to pick up passengers from the depots. Bandstand across the street.,,1924,yes,buildings; cars; main streets,Buses--Idaho--Moscow; Central business districts--Idaho--Moscow; Shuttle services--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.731705,-117.001348,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-109,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction rights granted University of Idaho Library. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/20,20,117.jp2,/ott/image/117.jp2,ott20
First National Bank in 1906,Looking across Main Street at the southwest corner of Third and Main streets showing the First National Bank in 1906 by M.L. Romig. Moscow.,,1906-01-01,yes,buildings; banks,Bank buildings--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732189,-117.001551,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-106,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/21,21,118.jp2,/ott/image/118.jp2,ott21
Looking east across Main Street at Third Street,"No. 1- George Weber harness shop, 2- Saloon, one of several, 3- Langdon Hardware & Stage office. Picture 1885.",,1885,yes,buildings; main streets,Central business districts--Idaho--Moscow,Latah County;Moscow,United States--Idaho--Latah County--Moscow,46.732314,-117.001358,"Ott Historical Photograph Collection, http://www.lib.uidaho.edu/digital/ott/","University of Idaho Library Digital Initiatives, http://www.lib.uidaho.edu/digital/","PG 90, Clifford M. Ott Collection, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",90-02-109a,"Material determined to be in Public Domain based on date of publication. Material made available by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,"To order a reproduction, inquire about permissions, or for information about prices see: http://www.lib.uidaho.edu/special-collections/about.html",Black and white prints,Image;StillImage,image/jpeg,eng,150 dpi  jpg displayed; master file is a 400 dpi TIFF.,2011,2011-10-10,2018-03-08,http://digital.lib.uidaho.edu:80/cdm/ref/collection/ott/id/22,22,119.jp2,/ott/image/119.jp2,ott22
