title,description,creator,date,date is approximate,subjects,relation,latitude,longitude,source,identifier,rightsstatement,rights,format original,type,format,language,filename,oclc number,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,objectid
Horse-drawn sleigh load of logs passes over bridge,Horse-drawn sleigh load of logs passes over bridge.,,1908,yes,draft animals; sleighs; horses; drivers; bridges; road bridges; roads; loggers; timber; logs; dry conifer forests;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-182,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6.5x8.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/14,14,228.jp2,/treesgrewtall/image/228.jp2,trees14
"Sleigh, team, and riders in front of Harless Livery Stable, Bovill, Idaho","Sleigh, team, and riders in front of Harless Livery Stable, Bovill, Idaho. Left to right: John Donner, Lee Witty, Mrs. Harless, J. P. Harless.",,1916,yes,horses; draft animals; sleighs; stables; snow; liveries; traces; swingle trees; belfries; men; women; children; boys; passengers; coachmen;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-150,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",7x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/15,15,195.jp2,/treesgrewtall/image/195.jp2,trees15
"Fire at Gus Verndon's store, Bovill, Idaho","A fire that occured at Gus Verndon's store in Bovill, Idaho in 1905",,1905,,fire damage; snow; stores; women; men; children;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-136,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/16,16,90.jp2,/treesgrewtall/image/90.jp2,trees16
"Parks-Lawrence homestead, Avon, Idaho","The first cabin at Avon,  homestead of James Parks.",,1910,yes,homesteads; cabins; forests; stumps; women; children; fences;,"Latah County, Idaho",46.824599,-116.614424,John B. Miller,pg12-012,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/17,17,164.jp2,/treesgrewtall/image/164.jp2,trees17
A McGiffin log loader,"A McGiffin log loader. Bill Deary is in the front of the group of people standing on the car. In the center of the car is likely Frank Mallory. Log loaders are also called steam donkies, or yarders. The housing was a donkey house. The operator is called a donkey puncher.",,1910,yes,steam donkies; yarders; logging equipment; loggers;  engineers; loaders; railway cars; railway tracks; snow; dry conifer forests; booms; cables; men; women;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-161,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",7x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/18,18,144.jp2,/treesgrewtall/image/144.jp2,trees18
Minnie B. Miller and children,"Minnie B. Miller with her children Luzella (seated in chair), John B. Miller, and dog, Keno, in front of their home.",,1915,yes,group portraits; porches; families; mothers; sons; daughters; children; women; boys; girls; dogs; pets; rocking chairs; clapboards; curtains;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-144,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/19,19,113.jp2,/treesgrewtall/image/113.jp2,trees19
Bovill and Fosberry group photo,"Seated, left to right: Hugh Bovill and his daughter Dorothy. Standing, left to right: Charlotte Bovill, Gwendolyn Bovill, Forbes Fosberry and dog 'Di.'",,1905,yes,men; women; children; girls; husbands; wives; families; sisters; hats; homesteads; dogs; porches; fences; stairs; windows; doors;,"Latah County, Idaho",46.858789,-116.393659,John B. Miller,pg12-024,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",7x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/20,20,116.jp2,/treesgrewtall/image/116.jp2,trees20
White pine trees,A stand of white pine trees.,,1905,yes,Pinus monticola; timber; trees; dry conifer forests; forests;,"Latah County, Idaho",46.86,-116.395,John B. Miller,pg12-158,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x8 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/21,21,225.jp2,/treesgrewtall/image/225.jp2,trees21
"Gathering on the porch of the Carlson Hotel in Deary, Idaho",Located on the east side of Main Street. A large group of people are gathered on the porch.,,1906,yes,porches; hotels; group portraits; main streets; men;  strefronts; awnings; flags; boardwalks; stairs; windows; chairs; benches;,"Latah County, Idaho",46.799474,-116.55881,John B. Miller,pg12-258,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/22,22,235.jp2,/treesgrewtall/image/235.jp2,trees22
"Fire at the cedar yard, Bovill, Idaho","From Trees Grew Tall: 'More than 75,000 cedar posts go up in flames in the southwest part of the cedar yard. This one, in 1920, was the only serious fire ever to occur in the yard. Rails on track 1 were broken by the heat and curled into spirals. The woman in the foreground is Mrs. Ellison.'",,1920,,lumberyards; boardwalks; fences; barns; fires; automobiles; women; men; dogs;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-208,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/23,23,234.jp2,/treesgrewtall/image/234.jp2,trees23
"Loading logs near Bovill, Idaho","Loading logs near Bovill, Idaho. In the loader is Bill Melon. On the loader, left to right: Fred Wahler, Rosie Wandke, Henry Heidke, unidentified. Standing below, left to right: Betty Helmer, Leo Guilfoy.",,1916,yes,lumberyards; steam engines; winches; cranes; cables; rigging; engine houses; boxcars; flatcars; railway stations; depots; Cedrus deodora; engineers; railway tracks;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-207,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5.5x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/24,24,102.jp2,/treesgrewtall/image/102.jp2,trees24
Minnie and William Miller,"Minnie B. Miller, left, and William S. Miller at their homestead on Little Meadow, east of Bovill, Idaho.",,1935,yes,living rooms; radios; armchairs; strollers; mirrors; paintings; men; women; rugs; curtains; lamps; newspapers;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-214,http://rightsstatements.org/vocab/InC-EDU/1.0/,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x8 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/25,25,187.jp2,/treesgrewtall/image/187.jp2,trees25
"Armistice Day ceremony in Bovill, Idaho","Speeches were made at Armistice Day ceremony in Bovill. Not positively identified, the speaker shown here is probably banker Bill Nelson. At the far right on the platform in T.P. Jones.",,1918-11-01,,ceremonies; platforms; stages; flags; snow; people; men; women; children; girls; boys; formal wear;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-118,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4x6.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/26,26,180.jp2,/treesgrewtall/image/180.jp2,trees26
"Miller store, Helmer, Idaho","People identified on back. [Miller and Co.'s Cash Store: cash refers to payment option available, opposed to paying on credit.]",,1910,yes,storefronts; barnboard; siding; hotels; men; women; children; boys; girls; windows; porches; dogs; fishing rods; group portraits; dirt roads;,"Latah County, Idaho",46.868217,-116.412916,John B. Miller,pg12-058,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6.5x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/27,27,25.jp2,/treesgrewtall/image/25.jp2,trees27
"Bovill, Idaho school [2]","From photo caption in Trees Grew Tall: 'Bovill school in 1913. Of the identities, several are a little uncertain: 3. Olive Pike, 4. Gladys Haverland, 11. Harriet Shattuck, 13. Ralph Kellom, 14. Mrs. Taylor (teacher), 16. Ray Pelton, 17. Mr. Taylor (priniple), 26. Clair 'Happy' Hays, 27. Harry Alt, 28. Carlton Stockwell, 37. Delia St. Germain, 44. Adrian Pelton, 48. Kneeland Parker, 49. Clay Anderson, 61. Roberta Tarbox.",,1913,,bell towers; community schools; schools; principals; teachers; students; men; women; children; boys; girls; rural schools; bricks; masonry; windows; belfries; windows; chimnies; group portraits; elementary schools; high schools;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-081,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x10 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/28,28,143.jp2,/treesgrewtall/image/143.jp2,trees28
"Helmer, Idaho school","Left to right, back: Lilly Liner, Atlee Wilkins, Nona Wilkins, Floyd Lawrence, Ray Kennedy. Front: Anna Marie Anderson (teacher), Myrtle Compo, Mary Wilkins, Gladys Miller, Esther Liner, Eddie Kennedy, Hilda Liner.",,1910,yes,porches; baluster columns; teachers; women; children; boys; girls; students; rural schoolhouses; transom windows; doors; clapboard siding; gable roofs;,"Latah County, Idaho",46.868217,-116.412916,John B. Miller,pg12-057,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x7.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/29,29,160.jp2,/treesgrewtall/image/160.jp2,trees29
Hotel Bovill.',"A photograph of the interior of the Bovill Hotel parlor and fireplace, locate din the north end of the building. Note the beamed ceiling and the décor of skins, animal trophies, and an oriental rug.",,1910,yes,fireplaces; hunting trophies; armchairs; books; desks; lamps; Oriental rugs; books; bookshelves; rafters; beam ceilings; curtains; skins; pelts; mantels; urns; clocks;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-021,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/30,30,154.jp2,/treesgrewtall/image/154.jp2,trees30
"Roundhouse in Bovill, Idaho","A Potlatch Lumber Company roundhouse in Bovill, Idaho.",,1916,yes,loaders; railway tracks; lumberyards; logs; timber; engines; enginehouses; depots; booms; cranes;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-228,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/31,31,77.jp2,/treesgrewtall/image/77.jp2,trees31
A group of Boy Scouts at Camp Grizzly,"A group of Boy Scouts at Camp Grizzly. Jimmy Costello, left, and Leo Guilfoy are standing in front of the line.",,1922,,boys; men; women; camps; dry conifer forests; tents; scouts;,,,,John B. Miller,pg12-154,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",6x9 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/32,32,114.jp2,/treesgrewtall/image/114.jp2,trees32
Mr. and Mrs. E.K. Parker,Mr. and Mrs. E.K. Parker pictured standing amongst some trees.,,1905,yes,double portrait; dresses; suits; hats; men; women; husbands; wives; neckties;,,,,John B. Miller,pg12-088,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4x6.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/33,33,207.jp2,/treesgrewtall/image/207.jp2,trees33
Bovill hotel and store,The Bovill hotel and store are the tall buildings that can be seen through the trees on the left side of the photograph. Other structures are unidentified.,,1905,yes,hotels; cottages; stores; cabins; fences; meadows; horses; trees; forests; stables;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-025,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4x9.5 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/34,34,130.jp2,/treesgrewtall/image/130.jp2,trees34
"CCC Camp P208, Collins, Idaho","CCC Camp P208, Collins, Idaho.",,1933,yes,company towns; camps; tents; dirt roads; trails; trucks;,"Latah County, Idaho",46.85996,-116.395424,John B. Miller,pg12-215,http://rightsstatements.org/vocab/InC-EDU/1.0/,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",4x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/35,35,151.jp2,/treesgrewtall/image/151.jp2,trees35
Lumber and sawmill on Nora Creek [2],"There is no confirming knowledge, nor are there any landmarks, but there were, indeed, two separate mills at Nora. The terrain and character of the timber look as they should for the Nora area.",,1910,yes,logs timber; loggers; millers; sawmills; dry conifer forests;,"Latah County, Idaho",46.76448,-116.700859,John B. Miller,pg12-252,https://creativecommons.org/publicdomain/mark/1.0/,"No Copyright. Material made available by donor/contributing institution/source (as applicable). For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",5x7 black and white print,Image;Stillimage,image/jpg,eng,,,2020-08-27,2020-08-27,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/treesgrewtall/id/36,36,121.jp2,/treesgrewtall/image/121.jp2,trees36
