title,creator,creation_date,date,date is approximate,description,subjects,subject-lcsh?,keywords,location,location_old,latitude,longitude,source,finding_aid,digital collection,holding insititution,identifier,format,format_original,type,digitization_specifications,rights,rightsstatement,language,date_digital,website,metdata_cataloger_and_scanner_technician,date_created,date_modified,cdm_url,cdmid,contentdm_file_name,contentdm_file_path,objectid
"Fisher family census records from 1880, 1910, and 1930",United States. Bureau of the Census.,1930,1930,,"Printed copies of census records of the Fisher Family, including Stanton Fisher's immediate family and records of his children.",census records,,Stanton Gilbert Fisher; Don Custer Fisher,Idaho,United States;Idaho;Custer County;Challis; United States;Idaho;Nez Perce County; Lewiston; United States;Idaho;Ada County;Boise;,43.616382,-116.251448,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_08_06,application/pdf,Legal Document,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-08,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/43,43,77.cpd,/fisher/supp/43/index.pdf,fisher43
The Last of the Indian Chiefs,"Crawford, Jack, 1847-1917",01 February 1905,1905-02-01,,Article on several famous Indian chiefs published in Munsey's Magazine.,articles; Native American,,Chief Joseph; Geronimo; Sitting Bull; Spotted Tail; Red Cloud,New York,United States,40.709664,-74.006433,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_04_03,application/pdf,Magazine Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/55,55,89.cpd,/fisher/supp/55/index.pdf,fisher55
Some Old Scouts and Their Deeds,"Lansing, David",01 June 1905,1905-06-01,,Article on several famous U.S. scouts published in Outing (Magazine).,articles;,,Indian Wars; Scouts,"Deposit, New York",United States,42.060309,-75.427478,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_04_04,application/pdf,Magazine Article,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/67,67,101.cpd,/fisher/supp/67/index.pdf,fisher67
Stanton Gilbert Fisher's 1888 Trail Diary,"Fisher, Stanton Gilbert, 1840-1915",19 April 1888,1888-04-19,,Journal written by S. G. Fisher as he traveled across Idaho to a mining camp in 1888.,diaries,,Stanton Gilbert Fisher,Idaho,United States;Idaho,45.977802,-115.530002,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_07_01,application/pdf,Diary,Text,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/86,86,120.cpd,/fisher/supp/86/index.pdf,fisher86
"Incidents Connected With The Early Settlement of Fort Hall, Idaho","Fisher, Stanton Gilbert, 1840-1915",1900,1900,,"Journal containing a number of stories concerning the early years of Fort Hall, Idaho. Stanton Fisher wrote this to record the tales he was told while living in the area.",diaries,Fort Hall (Idaho : Fort),Stanton Gilbert Fisher,"Fort Hall, Idaho",United States;Idaho;Bannock County;Fort Hall,43.030713,-112.435528,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_07_02,application/pdf,Journal,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-07,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/127,127,161.cpd,/fisher/supp/127/index.pdf,fisher127
Collection of Short Stories by Stanton Fisher,"Fisher, Stanton Gilbert, 1840-1915",1900,1900,,"Journal containing three short stories written by Stanton Fisher: ""A Race That Wasn't Thrown"" and two untitled tales.",diaries; short stories,,Stanton Gilbert Fisher,Idaho,United States;Idaho; United States;Montana,45.977802,-115.530002,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_07_03,application/pdf,Journal,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-07,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/172,172,206.cpd,/fisher/supp/172/index.pdf,fisher172
Fisher's Memoirs (1890 - 1935),"Fisher, Stanton Gilbert, 1840-1915",1935,1935,,"Fisher's Memoir's, with chapters covering: the journey to the Buffalo Country, Chief Tendoy and his camp, Indian Medicine and belief, Hunting buffalo on horseback, trouble with the cow Indians, Frank Fisher's Experience, Story of the Early Indian battles, Suffering during the winter of 1871-72, At the crow Indian agency, arrested for trading with the Indians, ,Stories of Ben Johnson, ""Fighter"", and Some Montana game and its habits.",memoirs; Native American,,Stanton Gilbert Fisher; Chief; Crow Indians; Buffalo; Yellowstone,"Fort Hall, Idaho",United States;Montana;Park County;Yellowstone National Park; United States;Idaho;Bannock County;Ross Fork,43.030713,-112.435528,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,fishermemoir,application/pdf,Memoir,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-09,http://www.lib.uidaho.edu/digital/,Lynette Andersen,2018-11-02,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/257,257,291.cpd,/fisher/supp/257/index.pdf,fisher257
Letter from Robert H. Fletcher to Stanton Gilbert Fisher,"Fletcher, Robert H.",03 September 1873,1873-09-03,,"Letter from the Nez Perce War informing Stanton Fisher of troop movements, giving him and his scouts directions.",correspondence,,Nez Perce War; Stanton Gilbert Fisher; Robert Fletcher;,"Camp Fitzgerald, Montana",United States;Montana;Park County;Yellow Stone National Park;Camp Fitzgerald,44.172796,-110.297924,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_01_01,image/jpeg,Letter,Text,Original is 600 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/258,258,1.jp2,/fisher/image/1.jp2,fisher258
Postcard of Nez Perce Indian war dance,National Photography Company,1912,1912,,"Postcard with photograph of Nez Perce Indian war dance from Grangeville, ID.",postcards; Native American,,Nez Perce; Grangeville,"Grangeville, Idaho",United States;Idaho;Idaho County;Grangeville,45.926235,-116.122023,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_A_06,image/jpeg,Postcard,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/259,259,10.jp2,/fisher/image/10.jp2,fisher259
Stanton Gilbert Fisher,,1880,1880,,"Portrait of Stanton Gilbert Fisher, pioneer and volunteer U.S. scout during the Nez Perce War.",portraits,"Fisher, Stanton Gilbert, 1840-1915",Nez Perce War; Stanton Gilbert Fisher,Idaho,United States,43.616382,-116.251448,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_A_08,image/jpeg,Photograph,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/260,260,11.jp2,/fisher/image/11.jp2,fisher260
Postcard of Chief Yellow Bull of the Nez Perce Tribe,National Photography Company,1912,1912,,"Postcard with photograph of Chief Yellow Bull of the Nez Perce Tribe at Border Days in Grangeville, ID.",postcards; Native American,,Nez Perce; Yellow Bull; Grangeville,"Grangeville, Idaho",United States;Idaho;Idaho County;Grangeville,45.926235,-116.122023,"Collection on Stanton G. Fisher, 1877-1988, MG 454, University of Idaho Library Special Collections and Archives",https://archiveswest.orbiscascade.org/ark:80444/xv28329,Stanton Gilbert Fisher Collection,University of Idaho Library,MG454_01_03_A_07,image/jpeg,Postcard,Image;StillImage,Original is 1200 dpi TIFF. Displayed is 150 dpi jpg.,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at (libspec@uidaho.edu)[libspec@uidaho.edu]. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,2011-05,http://www.lib.uidaho.edu/digital/,Jessica Hayes,2011-09-21,2018-11-02,http://digital.lib.uidaho.edu:80/cdm/ref/collection/fisher/id/261,261,12.jp2,/fisher/image/12.jp2,fisher261
