title,description,creator,recipient,point of origin,date,date is approximate,subject,relation,latitude,longitude,digital collection,contributing institution,source,identifier,rights,rightsstatement,format original,type,digital format,language,file name,OCLC number,date created,date modified,reference URL,cdmid,CONTENTdm file name,CONTENTdm file path,objectid
U.P. 248 Engine Stuck In The Snow [2],A photograph of Union Pacific Engine 248 stuck in its place on the tracks near Grangeville because of the immense amounts of snow. There are several workers in the photograph that are working to dig the train out.,"Meckstroth, Wally",,,1957,yes,freight trains; railroads (infrastructure);,,45.926713,-116.121637,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F23_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/10,10,280.jp2,/riegger/image/280.jp2,riegger10
Toppled Train Engine [2],"A photograph of a toppled, partly submerged train engine being raised out of the water using construction machinery. Captured in the background is a group of several people watching the process happen.","Cash, Earl",,,1931,yes,construction (assembling); freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/11,11,204.jp2,/riegger/image/204.jp2,riegger11
Winchester Lake and Mill,Winchester Lake and mill in background. Winchester Lake was a man-made lake for the mill's operation. People pictured swimming in the lake.,Winchester Museum,,,1915,,lakes; lumber mills; logs; trees; swimmers; water towers;,,46.23958325,-116.6234488,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_007,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/12,12,61.jp2,/riegger/image/61.jp2,riegger12
Freight Car off the Tracks,A color photograpgh of what appears to be a runaway freight car covered in snow.,Don Wayt,,,,,freight cars; logs; trees;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F34_021a,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/13,13,402.jp2,/riegger/image/402.jp2,riegger13
Earl Cash Interview Transcript,Transcript from Hal Riegger's interview with retired railman Earl Cash.,,,,1983,yes,railroads;interviews;transcripts;,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F37_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Transcipt,text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/14,14,84.pdf,/riegger/image/84.pdf,riegger14
"Winter Scene of Mill, Winchester",Scene of winter at the Winchester mill in Idaho.,Winchester Museum,,,,,lumber mills; water towers; logs;,,46.23958325,-116.6234488,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F33_008,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/15,15,17.jp2,/riegger/image/17.jp2,riegger15
Northern Pacific Passenger Car,"Northern Pacific passenger car pictured at a train station in Moscow, Idaho.",Will Whittaker,,,1958-05-31,,passenger cars; train station;,,46.73249713,-117.0001401,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F32_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/16,16,46.jp2,/riegger/image/46.jp2,riegger16
"Letter from Hal Riegger to Patrick W. Stafford, February 1, 1984",A letter from Hal Riegger to Patrick W. Stafford regarding track laying records for several Northern Pacific lines.,"Riegger, Hal","Stafford, Patrick W.",United States; California; Nevada County; Penn Valley;,1984-02-01,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_014,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/17,17,132.pdf,/riegger/image/132.pdf,riegger17
Log Chute - Construction In Potlatch,"A photograph of the construction of a railroad in Potlatch, specifically a log chute transporting water and lumber, as part of the Clearwater Unit of Potlatch Forests, Inc.",Gruber,,,1905-04-10,yes,construction (assembling); freight trains; railroads (infrastructure);,,46.642283,-115.804161,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F18_002,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/18,18,334.jp2,/riegger/image/334.jp2,riegger18
Construction To Move NP&I 4,A photograph of three men in the process of building a track for Nez Perce & Idaho Train Engine no. 4 to be moved to the 4-spot for transport to Lewiston. Herb Banks had charge of conditioning the engine for movement to Lewiston.,"Nixon, Ron",,,1905-05-04,yes,freight trains; railroads (infrastructure);,,46.242196,-116.472788,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_015,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/19,19,183.jp2,/riegger/image/183.jp2,riegger19
NP 1521 Switching At Craigmont [2],Northern Pacific Train Engine 1521 switching with NP&I Engine 9 at Craigmont to take Engine 4 all the way to Lewiston. More views of the switching of engines.,"Nixon, Ron",,,1951-05-22,,freight trains; railroads (infrastructure);,,46.241535,-116.467331,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_023,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/20,20,161.jp2,/riegger/image/161.jp2,riegger20
Paper Copy of Photograph of  Rutledge,A paper copy of a photograph of the Rutledge logging operation near Clarkia.,"Butler, Al","Riegger, Hal",United States; Idaho; Kootenai County; Coeur d'Alene,1927-06-18,yes,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_017,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/21,21,103.jp2,/riegger/image/103.jp2,riegger21
Famous Picture Of NP Engine 684,"A photograph of Northern Pacific Train Engine 684, taken by famous Norther Pacific photographer Warren McGee, who took many renowned photos of the Northern Pacific Railroad.","McGee, Warren",,,1953-04-04,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_027,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/22,22,366.jp2,/riegger/image/366.jp2,riegger22
Submerged Bridge 5,"A photograph of Bridge 5, broken and submerged, underneath Orofino Creek.","Cash, Earl",,,1905-04-17,,freight trains; railroads (infrastructure);,,46.482101,-116.207343,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_054,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/23,23,228.jp2,/riegger/image/228.jp2,riegger23
Motors Rest Near Turntable,A photograph of a few stationary train engines resting near the turntable in the Lewiston Train Yard.,"Hastings, Phil",,,1951-05-28,,freight trains;,,46.488083,-116.260967,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_021,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/24,24,267.jp2,/riegger/image/267.jp2,riegger24
"Bridge 50.1, Kamiah Mine Fire [2]",A photograph of Bridge 50.1 on the Camas Prairie Railroad next to the Kamiah Mine. Smoke billows from a fire on the railroad bridge. People can be seen on the bridge walking toward the fire.,"Leiterman, Ray",,,1905-05-25,,freight trains;,,46.22694,-116.029859,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_015,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/25,25,195.jp2,/riegger/image/195.jp2,riegger25
Small Paper Describing Snow Removal Unit,"A small slip of paper describing small snow removal units in Orofino, Idaho, used to remove snow to allow trains to continue to traverse across the state.",,"Riegger, Hal",United States; Idaho; Clearwater County; Orofino;,1905-06-06,yes,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_037,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/26,26,90.jp2,/riegger/image/90.jp2,riegger26
Engines In Front Of Roundhouse,A photograph of train engine U.P. SW-10 #1236 and engine B.N. SW-1200 #192 sitting stationary in fron of the roundhouse at the Lewiston Train Yards,"Hastings, Phil",,,1983-09-26,,freight trains;,,46.488083,-116.260967,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_032,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/27,27,468.jp2,/riegger/image/468.jp2,riegger27
"Letter from Ken Brovald to Hal Riegger, November 11, 1983",A letter from Ken Brovald to Hal Riegger regarding some photographs that Brovald is sending Riegger for his railroad research.,"Brovald, Ken","Riegger, Hal",United States;Alaska;Anchorage;,1983-11-11,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1992",MG183_F11_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Text,Text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/28,28,164.pdf,/riegger/image/164.pdf,riegger28
East Guill End of Tunnel No. 5,"A photograph of the East Guill End of Tunnel No. 5 on the Lapwai Branch of the Camas Prairie Railroad. In this picture, you can see all the way through the tunnel.","Leiterman, Ray",,,1949-08-24,,freight trains;,,46.405064,-116.805835,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_023,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/29,29,300.jp2,/riegger/image/300.jp2,riegger29
"Bridge 50.1, Kamiah Mine Fire [5]",A photograph of Bridge 50.1 on the Camas Prairie Railroad next to the Kamiah Mine. Smoke billows from a fire on the railroad bridge. People can be seen on the bridge walking toward the fire.,"Leiterman, Ray",,,1905-05-25,,freight trains;,,46.22694,-116.029859,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_018,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/30,30,444.jp2,/riegger/image/444.jp2,riegger30
Camas Prairie Railroad Station in Lewiston [1],"The Camas Prairie Railroad Station in Lewiston, Idaho.","Rikerd, Maynard",,,1905-05-31,,color photographs; freight trains;  railroads (infrastructure);,,46.400248,-117.00087,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_019,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/31,31,291.jp2,/riegger/image/291.jp2,riegger31
"Letter from Hal Riegger to Todd Sullivan, August 24, 1982","Hal Reigger addresses previous correspondence and asks about specific photos that he would be interested in for his book. Reigger also provides specific examples of what he is looking for including print sizes, locations, and specific locomotives.","Riegger, Hal","Sullivan, Todd",United States; California; Nevada County; Penn Valley;,1983-08-24,,letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_020,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,text,text,application/pdf,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/32,32,370.pdf,/riegger/image/370.pdf,riegger32
Rear of Superintendent's Private Train Car,"A photograph of the 'rear of private car ssigned to Division Superintendent George Slorah, on train 311, is gas-electric B12.' Seen at Arrow Junction.","Butler, Bruce",,,1954-06-23,,passenger cars;,,46.479243,-116.767672,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F13_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/33,33,484.jp2,/riegger/image/484.jp2,riegger33
Winchester Lumber Mill Engine,The Winchester Lumber Mill Engine making a delivery to Camas Prairie.,"Rikerd, Maynard",,,1905-05-25,yes,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_030,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/34,34,144.jp2,/riegger/image/144.jp2,riegger34
Railroad Worker Climbing a Car,A photograph of a railroad worker climbing up a car to reach the cabin. Another worker looks out from a window in the cabin.,"Meckstroth, Wally",,,1958-10-01,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F23_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/35,35,113.jp2,/riegger/image/113.jp2,riegger35
"Paper Copy of Photograph of ""Big Hook""","A paper copy of a photograph of Camas Prairie's 'big hook' at the Lewiston roundhouse in 1949. In later years, the Camas Prairie relied on MofW equipment from parents UP and NP, and still later from the UP and BN.",,"Riegger, Hal",United States; Idaho; Nez Perce County; Lewiston;,1949-08-18,,freight trains; letters (correspondence);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_040,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,image;stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/36,36,116.jp2,/riegger/image/116.jp2,riegger36
Train Engine in Lewiston Train Yard,A photograph of the front-facing view of a stationary locomotive engine in Lewiston Train Yards. It appears as if the train is headed straight toward you. 'UP 2-3-2 #2100 (name of engine) sits next to the roundhouse. The private car of NP Idaho Division superintendant B.L. Slorah is on the turntable in the background.',"Butler, Bruce",,,1954-06-23,,freight trains;,,46.40035,-117.004475,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F13_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/37,37,225.jp2,/riegger/image/225.jp2,riegger37
Workers Pulling Train Out Of River [1],"A photograph of several construction workers standing atop a bridge, pulling a train engine out of a river. The train engine is not pictured in the photograph captured.","Cash, Earl",,,1905-04-04,,freight trains; railroads (infrastructure);,,,,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_041,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpg,eng,,,2021-07-15,2021-07-15,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/38,38,235.jp2,/riegger/image/235.jp2,riegger38
