title,description,subject,date,date is approximate,source,latitude,longitude,subject (lcsh),format-original,donor,identifier,format,language,type,rights,rights (standardized),date created,filename,date created,date modified,reference url,cdmid,contentdm file name,contentdm file path,object-id,reference_url
"Bullock cart [01]","Men and boys loading a bullock cart pulled by two oxen. (1 duplicate)","Oxen; Hay -- Handling; Livestock;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Oxen; Hay -- Handling; Livestock;","","","MG 76, Box 2, Slide 022","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/332","332","","","","http://localhost:4000/digital/iddings/items/spec_ji332.html"
"Bullock cart [02]","Men and boys posing by a bullock cart pulled by two oxen.","Oxen; Hay -- Handling; Livestock;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Oxen; Hay -- Handling; Livestock;","","","MG 76, Box 2, Slide 023","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/333","333","","","","http://localhost:4000/digital/iddings/items/spec_ji333.html"
"Bullock cart [03]","Bullock cart pulled by an ox","Ox; Livestock;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Ox; Livestock;","","","MG 76, Box 2, Slide 024","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/334","334","","","","http://localhost:4000/digital/iddings/items/spec_ji334.html"
"Canterbury Agricultural College, New Zealand","Canterbury Agricultural College in New Zealand","Lincoln (N.Z.);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Lincoln (N.Z.);","","","MG 76, Box 2, Slide 025","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/335","335","","","","http://localhost:4000/digital/iddings/items/spec_ji335.html"
"Man and woman in front of criosphinxes","A man and two women posing in front of the criosphinxes (ram-headed) that represent the god Amon, which leads to the entrance to the Karnak Temple. Luxor, Egypt","Egypt -- Antiquities; Temples -- Egypt; Luxor (Egypt);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Egypt -- Antiquities; Temples -- Egypt; Luxor (Egypt);","","","MG 76, Box 2, Slide 010","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/336","336","","","","http://localhost:4000/digital/iddings/items/spec_ji336.html"
"Experimental Institute for Livestock in Rome, Italy","Istituto Sperimentale Zootecnica di Roma. Italy (Experimental Institute for Livestock in Rome, Italy.)","Rome (Italy);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Rome (Italy);","","","MG 76, Box 2, Slide 026","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/337","337","","","","http://localhost:4000/digital/iddings/items/spec_ji337.html"
"Maud Iddings at a hot springs","Maud Iddings with unidentified woman at a hot springs.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 027","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/338","338","","","","http://localhost:4000/digital/iddings/items/spec_ji338.html"
"Maud Iddings outside a ceremonial building","Maud Iddings with unidentified woman outside a small ceremonial building, the external walls of which are exquisitely decorated. [Bath house?]","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 028","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/339","339","","","","http://localhost:4000/digital/iddings/items/spec_ji339.html"
"Mountains, boats, and buildings with a body of water in the foreground","Mountains, boats, and buildings from an unknown location with a body of water in the foreground.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 029","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/340","340","","","","http://localhost:4000/digital/iddings/items/spec_ji340.html"
"House with water tank","House with water tank at the back. A wire fence surrounds the building.","Dwellings;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Dwellings;","","","MG 76, Box 2, Slide 030","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/341","341","","","","http://localhost:4000/digital/iddings/items/spec_ji341.html"
"Two cars in front of a building","Two cars are parked in front of a building; a brick structure consisting of two joined cylinders stands in the back.",";transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 031","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/342","342","","","","http://localhost:4000/digital/iddings/items/spec_ji342.html"
"Bullock cart [04]","Bullock cart pulled by an ox, in front of a drapery store. A sign on the cart reads: W. R. Perera","Ox; Livestock;transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Ox; Livestock;","","","MG 76, Box 2, Slide 032","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/343","343","","","","http://localhost:4000/digital/iddings/items/spec_ji343.html"
"Street parade in Belgium","Street parade with a group of persons carrying Rotary International logo in Belgium.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 033","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/344","344","","","","http://localhost:4000/digital/iddings/items/spec_ji344.html"
"Boats in a harbor","Boats in a harbor",";transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 034","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/345","345","","","","http://localhost:4000/digital/iddings/items/spec_ji345.html"
"Two women and a man in front of tombs","Two women and a man standing at the entrance of what appears to be a tomb in the style of the pyramids.","Tombs -- Egypt; Great Pyramid (Egypt);","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Tombs -- Egypt; Great Pyramid (Egypt);","","","MG 76, Box 2, Slide 011","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/346","346","","","","http://localhost:4000/digital/iddings/items/spec_ji346.html"
"Group of people in front of a building","Group of men, women, children, and a dog posing outside a residential building. No individuals able to be identified.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 012","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/347","347","","","","http://localhost:4000/digital/iddings/items/spec_ji347.html"
"Street parade","Women follow behind a group of individuals carrying feather topped poles.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 035","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/348","348","","","","http://localhost:4000/digital/iddings/items/spec_ji348.html"
"Stable","A building. Inscription in Italian above one of the doors reads: Stalla [stable]","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 040","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/349","349","","","","http://localhost:4000/digital/iddings/items/spec_ji349.html"
"Men carrying heavy containers","Three men leaning on sticks carrying loaded bags on their shoulders. Behind them what appears to be a man unloading a donkey. (1 duplicate)",";transport; transportation","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 041","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/350","350","","","","http://localhost:4000/digital/iddings/items/spec_ji350.html"
"Facade of a building [01]","Facade of a building in Italy.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 042","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/351","351","","","","http://localhost:4000/digital/iddings/items/spec_ji351.html"
"Plants in pots","People looking at pots of plants and flowers arranged on the ground on a street","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 043","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/352","352","","","","http://localhost:4000/digital/iddings/items/spec_ji352.html"
"Panoramic view of a city","Panoramic view of a city","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 044","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/353","353","","","","http://localhost:4000/digital/iddings/items/spec_ji353.html"
"Maud Iddings in front of a cathedral","Maud Iddings poses in front of a cathedral in an unknown location.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 045","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/354","354","","","","http://localhost:4000/digital/iddings/items/spec_ji354.html"
"Men judging a pig","Men observing a pig, likely for purchasing consideration. (1 duplicate)","Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Livestock;","","","MG 76, Box 2, Slide 036","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/355","355","","","","http://localhost:4000/digital/iddings/items/spec_ji355.html"
"Facade of a building [02]","Facade of a building in the distance in an unknown location. Two men are seen in the foreground.","","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","","","","MG 76, Box 2, Slide 046","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/356","356","","","","http://localhost:4000/digital/iddings/items/spec_ji356.html"
"Bullock cart [05]","A loaded bullock cart pulled by three oxen, with driver","Oxen; Livestock;","1927","","MG 76, Edward John Iddings. Scrapbooks, 1904-1954, University of Idaho Library Special Collections and Archives","","","Oxen; Livestock;","","","MG 76, Box 2, Slide 047","image/jpg","eng","Image;StillImage","Material has been determined to be in Public Domain as it was created by a University of Idaho professor. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.","https://creativecommons.org/publicdomain/mark/1.0/","","","","","http://digital.lib.uidaho.edu:80/cdm/ref/collection/spec_ji/id/357","357","","","","http://localhost:4000/digital/iddings/items/spec_ji357.html"
